Speaker,Brazilian Portuguese (PT)
,"Quando seu castelo é atacado, o verdadeiro inimigo não é o medo invisível.{n}Mas se manter nessa situação eternamente."
,"Maria tinha ficado entediada e começou a fazer um alvoroço porque queria assistir televisão. Como não havia televisão no lobby, ela decidiu retornar ao quarto dos primos no andar de cima."
,"Os adultos provavelmente não queriam deixar Maria por conta própria, entre outras razões. Eles disseram para todas as crianças irem ao quarto dos primos no andar de cima."
,"George, com o coração ferido pela perda de sua noiva, não tinha força de vontade para resistir àquilo, e guiou os primos para cima."
,"De início, Nanjo estava lendo um livro no lobby, mas quando ele percebeu que os parentes pareciam querer falar sobre algo sombrio, ele disse ""Parece que estou atrapalhando..."" e voltou para seu quarto no andar de cima."
Ushiromiya Rudolf,""".........Estou faminto. E se eu continuar apenas sentado por aí, meu sono ficará ainda pior."""
Ushiromiya Rosa,"""É algo natural. Pois não dormimos na noite passada."""
Ushiromiya Krauss,"""...Provavelmente vamos acabar entrincheirados aqui por 24 horas inteiras.{n}Pode ser mais sábio tirar cochilos em turnos, em vez de nos estressarmos em demasia."""
Ushiromiya Natsuhi,"""Concordo. Meu marido e eu vamos ficar aqui, então qualquer um que ache isto difícil deve descansar sem abusar."""
Ushiromiya Eva,"""O culpado pode estar esperando por isso, sabiam? Talvez ele não seja capaz de derrotar esse tanto de pessoas, mas se o número for reduzido até uma certa quantidade, ele pode usar isso a seu favor."""
Ushiromiya Kyrie,"""Há sete de nós aqui. Dois de nós poderiam descansar por três horas de cada vez. ......É um longo tempo até amanhã de manhã. Ainda temos alguma energia agora, mas esta noite vai ser difícil."""
Ushiromiya Hideyoshi,"""Com certeza. Alguém está com sono? Não se forcem, descansem."""
,"Hideyoshi olhou ao redor em direção a todos para ver quem queria dormir primeiro, mas ninguém se voluntariou."
,"...Todos estavam muito cansados, mas ninguém era corajoso o suficiente para ser capaz de dormir agora. ......O medo que todos tinham do culpado desconhecido era tão forte quanto o sono deles."
Ushiromiya Hideyoshi,"""......Ninguém? Bem, não se forcem, pessoal."""
Ushiromiya Eva,"""Se ficarmos com sono, podemos pensar sobre isso então. ......Certamente estou cansada, mas não estou no clima para dormir agora."""
,"Eva falou de forma afiada, e então leu mais uma vez a segunda carta de {f:5:Beatrice}, que tinha sido encontrada na sala da caldeira."
,{f:5:Beatrice} havia enviado duas cartas a eles e dito repetidas vezes para resolverem o enigma do epitáfio.
,"E até mesmo os provocou dizendo que desistiria da herança, tantos dos bens como a liderança da família, se o enigma pudesse ser resolvido..."
,Eva puxou um caderno e abriu na página onde o epitáfio tinha sido copiado.
Ushiromiya Kyrie,"""............Esse é o epitáfio?"""
Ushiromiya Eva,"""Sim. ......Apesar de ser perturbador fazer o que o culpado quer, temos tempo para desperdiçar. Acho que é a forma perfeita de protelar o tédio."""
Ushiromiya Krauss,"""...Não é um jeito ruim de matar o tempo. Por que não desafiamos o enigma juntos, como irmãos?"""
Ushiromiya Kyrie,"""......Eu posso pegar isso emprestado? Vou reescrevê‐lo só um pouco maior. Natsuhi‐san, você tem um pedaço de papel um pouco maior?"""
Ushiromiya Natsuhi,"""Deve ter papel na sala dos serviçais. Vou buscar algumas folhas."""
,Natsuhi imediatamente trouxe uma folha de papel B4 em branco da sala dos serviçais.
,"Kyrie pegou emprestado o caderno diário de Eva, escreveu o epitáfio no papel, e o estendeu na mesa."
,Todos imediatamente olharam para ele.{n}...Todos começaram a se amontoar naturalmente.
Ushiromiya Hideyoshi,"""Eu ouvi sobre isso, mas......realmente, este é um enigma difícil. Não faço ideia do que isso quer dizer."""
Ushiromiya Rosa,"""Em certo momento, também fiz meu melhor para desafiá‐lo, mas fiquei completamente sem ideias."""
Ushiromiya Rudolf,"""Se soubéssemos, não teríamos percorrido todo o caminho até aqui com um plano para conseguir dinheiro. Afinal, são dez toneladas de ouro."""
Ushiromiya Kyrie,"""............Esta é a primeira vez que li isto seriamente, mas......falando de modo simples, o enigma não poderia ser dividido em três partes?"""
Ushiromiya Krauss,"""...Estive pensando nisso desde a noite passada, mas você realmente parece ser uma pensadora sagaz, Kyrie‐san. É possível que possa resolver facilmente este enigma que não conseguimos."""
Ushiromiya Rudolf,"""Sim. A Kyrie é afiada. ......Ela pode ser capaz de enfrentar o enigma de uma forma interessante se não dermos a ela nenhuma pré‐concepção estranha."""
Ushiromiya Eva,""".........Sim. Kyrie‐san. Você nos deixará ouvir seus pensamentos honestos, tendo lido o epitáfio?"""
Ushiromiya Kyrie,"""Acho que provavelmente não serei muito útil para vocês. Todos me dão crédito demais."""
Ushiromiya Rudolf,"""De forma alguma, qualquer coisa que vier à sua mente vai ser útil. Deixe‐nos ouvir o que você tem a dizer. ......Suas dicas sempre me ajudam quando estou preocupado."""
Ushiromiya Kyrie,"""Ora, então elas foram úteis? É bom finalmente ouvir a respeito disso."""
Ushiromiya Rudolf,"""Chega disso, vamos, eu não agradeço sempre?"""
Ushiromiya Rosa,"""Vocês dois se dão tão bem. Fico até com inveja."""
Ushiromiya Eva,"""E o resto de nós também amaria aceitar suas dicas. Está tudo bem, estamos só matando o tempo de qualquer forma, então por que não relaxamos?"""
,Kyrie ficou surpresa com os elogios que ela estava recebendo repentinamente.
,"...Mas eles tinham bastante tempo. Ela percebeu que esta era só uma forma de desperdiçar o tempo, e decidiu aceitar o papel que foi imposto a ela..."
Ushiromiya Kyrie,"""......Tenho certeza que direi algo fora da curva, mas...bem, irei seguir com meu raciocínio."""
Ushiromiya Krauss,"""Mmhm. ......O que você quis dizer antes, falando de modo simples, sobre como ele poderia ser dividido em três partes?"""
Ushiromiya Kyrie,"""Bem...exatamente o que significa.{n} Acho que, de forma geral, o epitáfio pode ser dividido em três partes."""
Ushiromiya Kyrie,"""Em primeiro lugar, há cinco linhas até a parte que inclui ""Lá dorme a {loghint:kagi:chave} para o {loghint:ougon:ouro}"".{n} Até este ponto é a primeira parte, que aponta para a localização da chave."""
Ushiromiya Kyrie,"""E então temos a parte formada pelas onze linhas até o décimo crepúsculo, que se referem à localização da {loghint:ougonkyou:Terra Dourada} em si."""
Ushiromiya Kyrie,"""E as seis linhas restantes formam a parte depois da Terra Dourada ter sido alcançada."""
Ushiromiya Natsuhi,"""Entendo. A chave, a Terra Dourada e o {loghint:takara:tesouro} da Terra Dourada; ele pode ser dividido nessas três partes."""
Ushiromiya Krauss,"""Até nós fomos capazes de compreender esse tanto. As três seções se referem à chave, à porta e ao tesouro."""
Ushiromiya Eva,"""...Nii‐san, não se intrometa mais do que deve! Deixe a Kyrie‐san expor suas ideias livremente."""
Ushiromiya Rudolf,"""Kyrie. Por favor, continue. ......Reconhecemos a mesma coisa quanto ao que você disse. E então?"""
Ushiromiya Kyrie,"""......Me pergunto o que aquela coisa no início, a ""{loghint:natsukashiki:amada} {loghint:kokyou:cidade passada}"", significa. Pensando nisso normalmente, não pode ser uma referência ao lar do vovô?"""
Ushiromiya Kyrie,"""Como ele mencionou explicitamente como sendo a {loghint:natsukashiki:amada}, posso imaginar que é um lar no qual ele detinha de profundos sentimentos. ......O pai não veio de Odawara?"""
Ushiromiya Eva,""".........Odawara definitivamente é onde ele nasceu, mas eu não acho que este lar que o pai amava seja Odawara. Acredito que todos nós irmãos estejamos pensando no mesmo lugar."""
Ushiromiya Rosa,"""...Sim. Esta provavelmente não é Odawara. Pelo que ouvi, ele se divertiu muito quando era jovem."""
Ushiromiya Rudolf,"""Hahhaha. ...O maior azar do pai em sua vida provavelmente foi ter sido escolhido como o chefe da família Ushiromiya."""
Ushiromiya Krauss,"""......Provavelmente. O pai realmente não queria se tornar o chefe da família Ushiromiya."""
Ushiromiya Kyrie,"""Então, onde é? E lá tem um {loghint:kawa:rio} onde os ayus nadam?"""
Ushiromiya Eva,"""......Talvez tivesse na época. Tenho certeza de que há bastante desenvolvimento por lá agora, então os ayus podem ter desaparecido. Poderia ser extremamente difícil investigar se haviam ayus lá durante o tempo em que o vovô era um garoto."""
Ushiromiya Krauss,"""Além disso, não há apenas um rio. Acredito que todos nós investigamos minuciosamente em um sentido geográfico. ......Você até foi ao local para investigar diretamente, não foi, Eva?"""
Ushiromiya Eva,"""Aquilo foram apenas férias. ......Mas a paisagem urbana mudou completamente desde o tempo do pai. Afinal, houve uma guerra no meio. Foi impossível até mesmo descobrir onde o pai chegou a morar. ...Provavelmente, mesmo se o pai se arrastasse até o lugar, agora, nem ele seria capaz de determinar onde foi que ele viveu."""
Ushiromiya Rudolf,"""Teve um renascimento memorável por lá, afinal..."""
Ushiromiya Kyrie,"""............Nenhum lugar vem claramente à mente depois de ouvir ""{loghint:ayu no kawa:rio dos ayus}""?"""
Ushiromiya Rudolf,"""Claro que não. Quero dizer, são ayus, certo? As pessoas dizem que eles vivem em rios com {loghint:mizu:água} {loghint:kirei:limpa}, então há incontáveis rios que poderíamos escolher. Qualquer {loghint:ogawa:corrente} em que o pai ia inocentemente {loghint:ayuzuri:pescar ayus} provavelmente foi enterrada pelo desenvolvimento posterior. Seria diferente se tivéssemos um mapa de antes da guerra ou uma pessoa que soubesse bastante sobre como a área era antes da guerra, mas..."""
Ushiromiya Kyrie,"""......Provavelmente não é algo assim."""
Ushiromiya Krauss,"""O que você quer dizer...?"""
Ushiromiya Kyrie,""".........O rio dos ayus passa pela minha amada cidade passada. Aqueles que almejam pela Terra Dourada, sigam rio abaixo e procurem pela chave. ...Depois dessas duas linhas, há uma única linha em branco."""
Ushiromiya Kyrie,"""...Algo está sendo apresentado só com essas duas linhas. Eu suporia que as três linhas seguintes continuam baseadas em algo desse tipo."""
Ushiromiya Hideyoshi,"""Eu me pergunto o que é que está sendo apresentado, então...?"""
Ushiromiya Kyrie,"""......Eu não sei. Em qualquer caso, depois dessas duas linhas, não é algo vago como se você não soubesse qual é o rio...você é capaz de diminuir as opções e dizer especificamente de qual ""{loghint:kawa:rio}"" o epitáfio está falando."""
Ushiromiya Kyrie,"""......Pode ser que este não seja um ""rio"" com água fluindo nele. ...O ""rio de ayus"" poderia ser algum tipo de metáfora. ......A palavra ayu remete a que tipo de imagem?"""
Ushiromiya Hideyoshi,""".........Ayus são como {loghint:shake:salmões}. Eles são {loghint:tansui‐gyo:peixes de água doce}, mas vão para o {loghint:umi:mar} logo depois que nascem. E quando ficam grandes, eles retornam ao rio para morar nele, e então eles {loghint:sanran:proliferam} ali e terminam suas vidas ali."""
Ushiromiya Hideyoshi,"""Bem, eles deixam seu lar em algum momento, mas a parte sobre eles crescendo e voltando para ele a fim de pôr seus {loghint:tamago:ovos} pode ser um tipo de imagem de prosperidade familiar."""
Ushiromiya Rudolf,"""Hã? Eles são peixes de água doce, mas conseguem viver no {loghint:kaisui:oceano}? Eu não sabia disso. Pensei que eles eram {loghint:kawa‐zakana:peixes de rio}, então não poderiam ir para o mar."""
Ushiromiya Natsuhi,"""E eles também são chamados de {ruby:kougyo:{p:0:香魚}} (peixes aromáticos) porque têm um cheiro agradável. Nunca comi um, mas ouvi que são muito deliciosos quando {loghint:shioyaki:grelhados com sal}."""
Ushiromiya Hideyoshi,"""Como assim, Natsuhi‐san? Você nunca comeu ayus grelhados com sal?! Eles são deliciosos! Vou te comprar um alguma hora!"""
Ushiromiya Krauss,"""É uma comida para plebeus. Não é apropriada para sua boca."""
Ushiromiya Rosa,"""......Esta é só uma ideia maluca minha, ...mas a imagem que tenho de um rio de ayus me fez suspeitar de uma {loghint:kakeizu:árvore genealógica} antes. Os ayus vão para o oceano por um tempo, mas eles retornam ao rio onde nasceram para se proliferarem, certo? .........Isso me faz pensar sobre eu mesma."""
Ushiromiya Eva,"""......Você está certa. Posso confessar agora...que às vezes suspeitei que isso se referia a você e Maria‐chan."""
Ushiromiya Krauss,"""Entendo. ......Quando você descer o rio, encontrará um vilarejo. O único ""vilarejo"" ({ruby:sato:{p:0:里}}) que você vai encontrar descendo a árvore genealógica é aquele no nome da Maria ({p:0:真里亞})."""
Ushiromiya Rosa,"""Não é?! ......Mas como todos vocês sabem, o pai não gosta da Maria, e ele quase nunca falou com ela."""
Ushiromiya Rosa,"""Além disso, uma vez o pai disse para dar à Maria um nome completamente diferente. Eu escolhi Maria por conta própria. O pai ficou muito bravo por causa disso."""
Ushiromiya Rosa,"""......Se você pensar sobre a história, eu realmente não posso imaginar que ele iria se referir ao nome da Maria em seu precioso epitáfio sobre quem herdaria a fortuna dele e a liderança da família."""
Ushiromiya Kyrie,"""Você já deixou Maria‐chan ler o epitáfio?"""
Ushiromiya Rosa,"""S‐Sim. É claro. Mas ela não pareceu entender. ......Ela não fazia nenhuma ideia do que seria, e continuou falando sobre aquelas coisas de ocultismo, sobre como o epitáfio era uma {loghint:gishiki:cerimônia} de {loghint:fukkatsu:ressurreição} para a bruxa."""
Ushiromiya Krauss,"""............Uma conexão entre o pai e a Maria? ...Sem dúvida, os dois compartilham aquele hobby ocultista, mas nunca interagiram. ...Também não consigo imaginar que ele estivesse se referindo à Maria."""
Ushiromiya Kyrie,"""......O que mais me interessa é o fato de que ele adicionou explicitamente a palavra ""{loghint:natsukashiki:amada}"" no início. ......Como todos vocês disseram ainda há pouco, se o pai estava relutante em se tornar o chefe da família Ushiromiya, ele descreveria isso dessa forma? ...Não acho que seja Odawara, o que apontaria de volta para a {loghint:honke:família principal} Ushiromiya."""
Ushiromiya Kyrie,"""......Acredito que esta palavra ""amada"" aqui no início...definitivamente se refere a um lugar cheio de memórias muito importantes para o pai."""
Ushiromiya Rudolf,"""...............Hmmmmmm. ...Bem, está certo. Seria difícil apontar como não temos um mapa daquele tempo, mas de qualquer forma, provavelmente havia diversos rios com ayus nadando neles próximos à casa do pai durante a juventude dele."""
Ushiromiya Eva,"""Isto é se for um rio com água fluindo nele, certo?{n}E então? Continue, Kyrie‐san."""
Ushiromiya Kyrie,"""......Não entendo realmente as três linhas começando com ""Quando você descer o rio, encontrará um vilarejo"". ...Essas provavelmente estão acopladas com as duas linhas sobre o rio de ayus."""
Ushiromiya Kyrie,"""Provavelmente é algo que entenderíamos automaticamente se soubéssemos o que o rio de ayus realmente é. ...Contanto que entendamos isso, provavelmente é inútil tentar resolver essas três linhas ainda mais."""
Ushiromiya Rudolf,"""Então estamos sem rumo a menos que saibamos o que o ""rio de ayus"" realmente é... E não há garantia que ele ao menos signifique literalmente um rio."""
Ushiromiya Rudolf,"""...Sinceramente. Que diabos o epitáfio quer dizer com ayus? Eles eram o {loghint:koubutsu:prato favorito} do pai? Ou há algum significado especial? É inútil pensar muito profundamente nisso?"""
Ushiromiya Eva,"""...Se você não tem ao mesmo uma perspectiva micro e uma macro, seu campo de visão fica estreito. ......Não pense muito profundamente, sobre um rio com {loghint:sakana:peixes} nadando nele, ou algum tipo de {loghint:nagare:fluir}, ...algo que você possa {loghint:kudaru:descer} ou {loghint:noboru:subir}, mantenha esses tipos de imagens abstratas em mente e podemos ser capazes de ter mais ideias fora da caixa."""
Ushiromiya Rosa,"""E, nas três linhas que se seguem, a resposta para o ""rio de ayus"" termina na ""chave para a Terra Dourada""..."""
Ushiromiya Kyrie,"""Se você pensar dessa forma, me pergunto se foi um engano dividi‐lo em três partes. Na verdade, há quatro partes. ......‘Descer o rio de ayus’, ""encontrar a chave para a Terra Dourada"", ""jornada à Terra Dourada"", e ""o tesouro da Terra Dourada""."""
Ushiromiya Krauss,"""Hummm... Realmente interessante. Enquanto temos esta oportunidade, você se importaria de continuar e nos contar sua opinião sobre a porção central do {loghint:hibun:epitáfio}, até o {loghint:dai‐juu no ban:décimo crepúsculo}, quando chegamos à Terra Dourada?"""
Ushiromiya Rosa,"""......Essa é a parte mais simbólica... e também a mais perturbadora."""
Ushiromiya Eva,"""Como ele continua mencionando a palavra {loghint:ikenie:sacrifício}, não consigo evitar de pensar que tem algo a ver com os {loghint:gishiki:rituais} ocultistas do pai... .........Como você vê isso, Kyrie‐san?"""
,"Kyrie cruzou seus braços diversas vezes, fitando o papel com o epitáfio copiado, como se estivesse olhando através dele..."
Ushiromiya Kyrie,"""........................... .........Isto é... muito difícil. ...Começando com ""Aquele que {loghint:te:obtiver} a chave"", isso provavelmente quer dizer que você não será capaz de continuar sem entender o que é a chave. ...Terei que desistir dessa parte, mas tentarei de qualquer forma."""
Ushiromiya Eva,"""......Assim como o ""rio de ayus"" não é necessariamente um rio com água fluindo nele, também é duvidoso de que a ""chave"" seja realmente algo com forma de chave."""
Ushiromiya Kyrie,"""Certo. Também há a possibilidade de que seja uma espécie de código ou uma palavra‐chave. ......Afinal, esta chave não é algo para ser enfiado em uma fechadura. É algo que seleciona as seis pessoas para serem sacrifícios para o primeiro crepúsculo."""
Ushiromiya Kyrie,"""Nesse sentido, podemos afirmar que esta chave não é algo para abrir a porta para a Terra Dourada."""
Ushiromiya Natsuhi,"""......Mas que chave perturbadora. Uma chave que consegue selecionar seis pessoas para serem os sacrifícios..."""
Ushiromiya Hideyoshi,"""Como uma chave {loghint:erabu:selecionaria} alguma coisa? ...Ela gira como uma roleta...?"""
Ushiromiya Kyrie,"""Esta chave aponta em direção a um certo grupo específico de {loghint:roku‐nin:seis pessoas}. ......Não, deveríamos dizer que ela aponta para um certo grupo específico de {loghint:muttsu:seis coisas}. ......Se isto não significar um comando literal para oferecer sacrifícios. ...Por exemplo, poderia ser um anagrama."""
Ushiromiya Krauss,"""Um anagrama? Você quer dizer um jogo de palavras...?"""
Ushiromiya Kyrie,"""Sim. Desde que Rosa começou a falar sobre a árvore genealógica e como ""vilarejo"" era parte do nome de Maria‐chan, isto esteve passando pela minha mente constantemente."""
Ushiromiya Kyrie,"""......Parece como se o Rudolf‐san, por exemplo, correu com as palavras ""amada cidade passada"", e está assumindo que isso tem algo a ver com {loghint:chikei:geografia} ou {loghint:zahyou:coordenadas}, mas isso pode não ser verdade. Isto poderia ser algum tipo de quebra‐cabeça, ...ou talvez uma brincadeira com caracteres."""
Ushiromiya Natsuhi,"""......Desculpe. O que você quer dizer com brincar com caracteres?"""
Ushiromiya Rudolf,"""Ah, é como ""pegada danada da daminha picada"".{n}O que te sobra depois que você tira os ‘da’? Tipo isso. Você foi bem educada, Natsuhi‐san, por isso não deve conhecer essa."""
Ushiromiya Natsuhi,"""Tirar os ‘da’? Hã? ???"""
Ushiromiya Krauss,"""Não tente. É uma brincadeira indigna, inapropriada para você."""
,Apenas Natsuhi não compreendeu e tinha um olhar vazio em seu rosto.
,"Parecia que ela tinha suposto que a resposta deveria ser algo indigno, logo após ouvir os risinhos de Rudolf e Eva."
Ushiromiya Rosa,"""Ah, ...Natsuhi nee‐san, é algo assim! Tem algo parecido no livro de enigmas da Maria. Sabe aquela coisa chamada de Caderno Tanuki?"""
Ushiromiya Rosa,"""É um caderno escrito em algum tipo de código, com um monte de ""ta"" misturados, e se você ""{ruby:nuki:remover}"" todos os ""ta"", as verdadeiras frases surgem. É um jogo desse tipo."""
Ushiromiya Natsuhi,"""Ah......agora eu entendi. .........??"""
,"Natsuhi finalmente percebeu a resposta para o enigma indigno que Rudolf havia proposto e seu rosto ficou vermelho enquanto ela abaixava a cabeça, constrangida."
Ushiromiya Eva,"""...............Então, é possível que essa parte de ""remover"" possa estar representada por ""{loghint:korosu:matar}""...?"""
Ushiromiya Kyrie,"""Sim. Eu estava pensando nisso também. É possível que a chave para a Terra Dourada seja uma palavra com {loghint:roku‐moji:seis caracteres}."""
Ushiromiya Hideyoshi,"""Em outras palavras, ...o ""ta"" do Caderno Tanuki...é, na verdade, seis caracteres aqui...? Hmmm, ...isso está ficando complicado..."""
Ushiromiya Krauss,"""Brincar com letras, é...? ......Hmmm. No Japão, isso realmente parece um jogo de criança, mas parece que essa é uma forma estilosa de humor entre intelectuais no mundo falante de inglês. ...É fácil imaginar o pai se interessando por isso."""
Ushiromiya Kyrie,"""......Mas nessa parte aqui, eu rapidamente perdi minha habilidade de entender. Até este ponto, enquanto ele estava cheio de mistério, era extremamente sequencial."""
Ushiromiya Kyrie,"""‘Rio de ayu’, ""siga‐o"", ""então encontre a chave"" é tudo extremamente sequencial.{n}E podemos adivinhar que ganhamos uma chave de seis caracteres como um resultado, ......mas nesse caso, não sabemos {i:do que} matamos os seis caracteres."""
Ushiromiya Rudolf,"""Esse é um ponto. Do que subtraímos os seis caracteres? Ele não nos diz."""
Ushiromiya Kyrie,"""...No segundo crepúsculo, diz ""{loghint:nokosareshi mono wa:os remanescentes}"". ......O que significa que, no mínimo, esse ""algo"" tem um número finito de caracteres. Você poderia ler como se estivesse lhe dizendo para continuar com os caracteres {loghint:nokotta:restantes} depois dos seis caracteres serem removidos."""
Ushiromiya Kyrie,""".........E ainda assim, não sabemos o que é este ""algo"", mesmo que ele devia ter sido mostrado a nós no início. ...Estávamos errados até em assumir que isto é brincar com letras...?"""
Ushiromiya Hideyoshi,""".....................hmmmmm..."""
