Speaker,Brazilian Portuguese (PT)
,Todos cruzaram seus braços e caíram em silêncio.
,Parecia como se eles estivessem prestes a alcançar um novo entendimento que não tinham sido capazes antes...mas tropeçaram só a um passo disso.
,"Naquela hora, a barriga de Hideyoshi roncou animadamente."
,O silêncio até então foi quebrado pela risada.
Ushiromiya Hideyoshi,"""Desculpe, desculpe. Girando as engrenagens na minha cabeça para uma mudança, minha barriga ficou completamente vazia. Parece que pular o café da manhã realmente cobra seu preço em mim...wahahahahaha."""
Ushiromiya Krauss,"""Natsuhi. Não há nada aqui?"""
Ushiromiya Natsuhi,"""Deveria haver pelo menos o suficiente para o café da manhã. Vou preparar."""
Ushiromiya Rudolf,"""Também estou faminto. Aposto que aqueles pirralhos lá em cima estão famintos também. ...Mas duvido que tenha o suficiente para 18 pessoas aqui, e para três refeições."""
Ushiromiya Hideyoshi,"""Você está certo. Será uma maratona até amanhã. Pode ser melhor se fizermos uma viagem de volta à mansão e procurarmos por um pouco de comida enlatada ou algo assim na cozinha."""
Ushiromiya Natsuhi,"""Não há nada mais que biscoitos e petiscos, mas se estiver tudo bem, posso prepará‐los. Mas, com tantas pessoas, pode não sobrar nada para o almoço..."""
Ushiromiya Krauss,"""Isso estará bom por ora. Desculpe, mas você prepararia para nós?"""
,Parecia que os homens tinham sido tomados por um apetite que parava todo o pensamento.
,O clima ficou mais pacífico e o encontro de investigação do epitáfio se quebrou por enquanto.
,Mas Eva continuou encarando o papel em que o epitáfio estava escrito como se fosse queimar um buraco através dele...
Ushiromiya Kyrie,"""............Um jogo de palavras não foi nada mais que a minha teoria. Há uma chance de que eu estar enganada. Eva‐san, não leve isso tão a sério, certo...?"""
Ushiromiya Eva,""".........Obrigada. Isto é algo que decidi fazer por conta. Você se importaria de me deixar sozinha?"""
,Eva falou friamente.
,"...Kyrie não a incomodou mais, e foi ajudar Natsuhi a preparar o café da manhã."
Ushiromiya Rosa,"""Nee‐san. Não devíamos ajudar a preparar o café da manhã também?"""
Ushiromiya Eva,"""Então você vai ajudar. Estou ocupada resolvendo isso!"""
Ushiromiya Rosa,"""D‐Desculpe... E‐Então irei ajudar..."""
Ushiromiya Eva,""".........Sinceramente! Por que você é assim?"""
Ushiromiya Rosa,"""......Hã?"""
Ushiromiya Eva,"""A herança da família Ushiromiya será dada à pessoa que resolver este epitáfio. Você parece ter desistido desde o início, como se isso não tivesse nada a ver com você, mas se conseguisse resolvê‐lo, até você teria a oportunidade de herdar a liderança da família."""
Ushiromiya Eva,"""......Esta é uma chance para roubar tudo do nii‐san. Por que você não está tentando resolvê‐lo a sério, com essa chance única na vida?"""
Ushiromiya Rosa,"""...Bem, .........bem, ......eu......"""
,"Rosa abaixou sua cabeça, incomodada sobre como ela deveria responder.{n}...Ela se arrependeu, pela primeira vez depois de muito tempo, de falar de forma descuidada com a sua irmã quando a mesma estava de mau humor."
Ushiromiya Eva,"""Se você notou alguma coisa, diga. Mesmo que a Kyrie‐san e eu estivéssemos raciocinando seriamente, você só ficou assentindo com sua cabeça, não é mesmo? Vamos! Não tem alguma coisa que você percebeu? Vamos!!"""
Ushiromiya Rosa,""".........Hmm, .........bem, ......... ......Isso não é...estranho?"""
Ushiromiya Eva,"""...Estranho? O que é estranho?"""
Ushiromiya Rosa,"""Bem, ......esta palavra, {loghint:ougonkyou:Terra Dourada}. A palavra Terra Dourada aparece diversas vezes."""
Ushiromiya Eva,"""E daí? Você consegue algumas palavras‐chave dividindo os caracteres em ""Terra Dourada""?"""
Ushiromiya Rosa,"""Hmm, bem, não é isso. ......Olhe, só o décimo crepúsculo não é estranho?"""
Ushiromiya Eva,"""...............Hã? ......ah."""
Ushiromiya Rosa,"""Mesmo que esteja sempre escrito a ""Terra Dourada"" ({ruby:ougonkyou:{p:0:黄金郷}}), por alguma razão neste único lugar está como a ""Vila do Ouro"" ({ruby:ougon no sato:{p:0:黄金の郷}}). Ele explicitamente misturou o caractere {ruby:no:{p:0:の}}, mudando a pronúncia. Me incomodou vagamente que esteja dito diferentemente apenas aqui..."""
Ushiromiya Rosa,""".........Ah, bem, ...não é como se isso signifique algo. É do pai que estamos falando. Poderia ser só uma mudança coincidente em como ele disse a palavra."""
Ushiromiya Eva,""".........................................."""
{f:5:Beatrice},""".........Tedioso."""
{f:5:Virgilia},"""Oh? O que é tedioso...?"""
{f:5:Beatrice},""".........Tedioso, tedioso!"""
{f:5:Virgilia},"""Pois bem. Não tenho mais a mínima ideia do que esta criança está resmungando."""
Ronove,"""Ela provavelmente está insatisfeita que você deu várias dicas ao Battler‐sama, Madame."""
{f:5:Beatrice},"""......Até parece... Não estou insatisfeita com isso. Na verdade, estou {i:mais} satisfeita agora que aquele imprestável do Battler finalmente alcançou o nível onde ele consegue ir junto comigo."""
{f:5:Virgilia},"""Hoh‐hoh‐ho... Fui um pouco amigável demais com o Battler‐kun? Talvez fosse melhor se as pessoas velhas fossem embora e deixassem tudo para as crianças."""
Ronove,"""Pu ku ku ku ku..."""
,"Quando {f:5:Virgilia} e Ronove deram risadinhas e gargalharam, o medidor de irritação de {f:5:Beatrice} finalmente alcançou seu limite."
{f:5:Beatrice},"""Ahhhh, vocês dois estão juntando forças e rindo de mim! Ronove, esconda‐se por algum tempo! Vá embora, vá emboooora!"""
Ronove,"""Certamente. Então, vou descansar por um tempo. Pukkukukuku..."""
,"Ronove curvou sua cabeça, ainda rindo, e escondeu‐se."
,"Depois daquilo, tudo que permaneceu foi a figura de {f:5:Beatrice}, que estava rabugenta e irritada, e {f:5:Virgilia}, que estava friamente aproveitando seu chá."
{f:5:Virgilia},"""...............Quando você disse ""{p:1:Não há mais que 18 pessoas nesta ilha}"", você acabou por se encurralar."""
{f:5:Beatrice},""".........Realmente... ............Eu pensei que podia ter sido um {i:pouco} cedo demais, mas... ......Acho que realmente foi......"""
{f:5:Virgilia},"""Se você tivesse guiado‐o ainda mais para longe de antemão, as coisas poderiam ter sido diferentes, mas realmente foi um trunfo fútil. Ao invés disso, você o agitou."""
,"Em adição à condição de vitória dele de negar a bruxa, Battler tinha se agarrado a uma condição de vitória diferente, já que ele queria explicar as coisas sem suspeitar de nenhum dos 18."
,Ele não estava mais fraco quando estava sendo atirado por aí por essas duas metas opostas?
,"Porém, {f:5:Beatrice} havia usado o vermelho descuidadamente, e tinha proclamado que não havia mais que 18 pessoas."
,"...Por causa disso, Battler tinha sido forçado a suspeitar de um dos 18, .........e finalmente começado a construir a prontidão que ele precisava para aceitar isso."
,"Battler era teimoso, mas por causa disso, quando ele era atingido onde era frágil, fissuras rachariam por ele todo, como porcelana quebrando."
,Isso em si devia ter sido o maior ponto fraco dele...
{f:5:Beatrice},""".........Kuuuuuu. ......Talvez eu tenha ficado um tanto descuidada demais depois da minha vitória avassaladora da última vez......"""
{f:5:Virgilia},"""Sim, você foi descuidada demais. ...O último jogo foi difícil para o Battler‐kun, mas parece...que este jogo se provará difícil {i:para você}."""
{f:5:Beatrice},"""......Um vaso quebrado definitivamente nunca retornará à sua forma original.{n}...É mais construtivo pensar em seu próximo movimento do que ficar juntando seus pedaços, arrependida, sem saber quando desistir."""
{f:5:Beatrice},""".........Mas agora que o Battler tem todas as ideias certas em sua cabeça, o que eu devo armar para ele...?"""
{f:5:Virgilia},"""Hoh‐hoh‐ho. Seu rosto incomodado é um petisco ainda melhor que os cookies do Ronove."""
{f:5:Beatrice},"""......Uu. Você e o Battler, e até o Ronove, continuam me tratando como um petisco. ...Mesmo que eu não seja tãoooo doce."""
,"Com um rosto culpado e infantil, que ela nunca teria mostrado na frente de Battler, {f:5:Beatrice} rolou sua cabeça sobre a mesa."
{f:5:Beatrice},"""............Professoraaa. .........Pelo menos uma diiica."""
{f:5:Virgilia},"""Oh? Que tipo de dica?"""
{f:5:Beatrice},"""Se você conhecer um movimento habilidoso que deixará o Battler sem palavras, e fará ele querer me aceitar, não vou lhe pedir para dizer isso direto, então, bem, ...mesmo se for só uma dica..."""
{f:5:Virgilia},"""Hoh‐hoh‐ho, não posso. Estou agindo como aliada de Battler‐kun no momento, então não posso lhe ensinar algo que lhe daria uma vantagem."""
{f:5:Beatrice},"""...Você não tem que ser tão estrita... Sua pupila está em apuuuros..."""
{f:5:Virgilia},"""Acredito que você se gabou severamente que tinha ultrapassado sua professora, correto?"""
{f:5:Beatrice},""".........Uu... Por favor, aja como a velha que você é e me dê só um pouco da sua sabedoria afiada... Por favoor... É maldade ficar ajudando só o Battleeer..."""
{f:5:Virgilia},"""Poxa... Você ainda é uma criança mimada."""
{f:5:Virgilia},"""......Mas é verdade que posso ter dado ao Battler‐kun dicas demais. Isso serviu como uma repreensão para você, mas talvez suporte demais para um jogo justo."""
{f:5:Beatrice},"""Isso mesmo, isso mesmo...! Por favor, professoraaa, pelo menos só uma dica para me ajudar..."""
{f:5:Virgilia},"""..................Só uma dica. Pense sozinha sobre o que ela significa, tudo bem?"""
{f:5:Beatrice},"""Sim, sim! Vou pensar sozinha, então, por favor! Por favor, me dê diga algo deixará Battler para baixo, professoraaaa."""
,"Era verdadeiramente vergonhoso como ela se comportava quando Battler não estava por perto, mesmo que agisse perfeitamente como uma Grande Bruxa na frente dele."
,"{f:5:Virgilia} suspirou, lamentando sob sua respiração que Beato nunca parecia crescer."
{f:5:Virgilia},"""Então, só uma dica. ......Você conhece a fábula de Esopo, o Vento Norte e o Sol?"""
{f:5:Beatrice},"""É claro. É uma história sobre como o vento norte e o Sol se desafiaram para roubar o manto de um viajante, certo?"""
{f:5:Virgilia},"""Isso mesmo. A moral é que métodos violentos ou impacientes nem sempre são, necessariamente, as melhores decisões."""
{f:5:Beatrice},"""......Não precisa ficar me dizendo isso. Eu já refleti no fato que me apressei rápido demais em direção à vitória."""
{f:5:Virgilia},"""............... Pense bem sobre o que isto significa. E mais, ......apesar de parecer que o Battler‐kun teve um ligeiro mal entendimento, você também parece estar sob um equívoco. Você entende as condições de vitória deste jogo?"""
{f:5:Beatrice},"""...O que há além de fazer Battler submeter‐se a mim?"""
{f:5:Virgilia},""".........Viu? A esse ponto, você já está enganada."""
{f:5:Beatrice},"""Como estou enganada?"""
{f:5:Virgilia},"""Sua vitória não é fazer o Battler‐kun se submeter. ......É fazer o Battler‐kun aceitar sua existência, não é?"""
{f:5:Beatrice},"""......O quê?! Você quer que eu amacie o Battler e diga para ele ""me aceite como uma bruxa, por favoooor?""! Que tolice! Não vou afundar tanto!"""
,"Grrrrrrrrrrr... Beato rosnava, como uma cadelinha de mau humor."
,"{f:5:Virgilia} deu de ombros, zombando da discípula dela, que estava tão irritadiça como sempre..."
{f:5:Virgilia},"""Essa é a minha dica. Agora você devia pensar profundamente. .........De qualquer forma, seus movimentos até agora não funcionarão mais com o Battler‐kun. Uma conversão tática provavelmente será requerida."""
{f:5:Beatrice},"""...Eu sei disso mesmo sem você me dizer. ......Não faço ideia do que você quer dizer com o Vento Norte e o Sol, mas, de qualquer forma, entendo que terei que mudar minha direção. ......Vou exibir um esquema esperto que surpreenderá até você, professora...!"""
{f:5:Virgilia},"""Hoh‐hoh‐ho... Esperarei ansiosa por isso. Me pergunto como Battler‐kun vai encarar isso. ......Estarei desejando boa sorte para você também."""
{f:5:Beatrice},"""Depois do Battler, certo? Hmph..."""
,""".........Você já vai desistir e resignar? Se você estiver cansada, por que não se cobre com um futon e dorme bem devagar...?"""
,"...Enquanto minha consciência vagava e eu fingia lutar contra minha sonolência, afundando mais e mais fundo no sofá, ""eu"" repreendi a ""mim mesma""."
,"""......Você não lembra o quanto sonhou em roubar a posição do Krauss de chefe da família...?"""
,"""Mesmo que eu tenha lhe dado essa chance com minha magia, você já está jogando ela fora...?"""
Ushiromiya Eva,"Você diz isso, mas...{n}............Este enigma realmente é difícil.{n}Até um quebra‐cabeça de arame seria melhor.{n}...Pelo menos é garantido que definitivamente é solucionável."
Ushiromiya Eva,"Mas, com este enigma do epitáfio, não sei nem se estou certa disso."
Ushiromiya Eva,......Eu podia estar travando uma batalha inútil.
,"...Ainda atordoada, olhei para o pequeno caderno o qual eu estive segurando o tempo todo."
,"Ele estava aberto na página com o epitáfio, a qual eu tinha encarado, quase queimado um buraco através dela, em tantas centenas de noites que eu tinha perdido a conta."
,......Essa...é verdadeiramente é uma {i:porta}.
,"Do outro lado...está a ""Terra Dourada"", aquele lugar o qual desde que eu era criança eu desejava alcançar, não poupei esforços para alcançar, ...e nunca fui capaz de alcançar."
,"Aqui estou eu, com ambas as mãos sobre a porta, ...e mesmo que o livro, não, a porta esteja aberta, ainda não consigo alcançar o outro lado?"
,"""...Isso mesmo. Você já tem suas mãos sobre a porta. Vamos, abra‐a com toda a sua força. E leia os caracteres escritos na porta."""
Ushiromiya Eva,""".........Abri‐la...com toda a minha força. ...Ler os caracteres...escritos na porta..."""
,Cerre seus olhos. ......Veja através do que jaz muito além do epitáfio escrito no caderno...
,"""...A ""amada cidade passada"" definitivamente não vai trair nossas expectativas.{n}......O único passado que o pai mantinha querido foram seus anos como um garoto."""
Ushiromiya Eva,"Isso mesmo...... Então, e quanto ao ""rio dos ayus""?{n}Há diversos rios onde eles nadam, e não é certo que tenha existido um bem próximo ao local em que o pai morou."
Ushiromiya Eva,"...Se começarmos a nos perguntar qual rio abrigando ayus é o mais próximo em um sentido geográfico, as coisas rapidamente vão ficar vagas e não seremos capazes de apontá‐lo..."
,"""......Você mesma não disse? Você disse que não tinha que ser um rio com água fluindo por ele. ......Se a palavra ayu for complicada, por que não esquecê‐la para sempre...?"""
,"""Pensa em um rio. Um rio. Ligá‐lo com uma ""árvore genealógica"" não foi uma má ideia. Tente pensar como ligar um rio com algo mais entre essas linhas......"""
Ushiromiya Eva,......Não é um rio? Mesmo que o ayu não consiga nadar nele se não for um rio?
Ushiromiya Eva,"Ah, mas talvez ""os ayus podem nadar nele"" signifique que ele se junta ao oceano......"
Ushiromiya Eva,"Meu marido disse que, apesar de serem peixes de rio, eles saem para o oceano... ..............."
Ushiromiya Eva,".......................................{n}...............Até o oceano.{n}........................Não, ...mas, .........{n}......Hã?..."
,"""......Você notou? Mas essa é só uma memória fraca. Deveria haver uma pequena biblioteca neste prédio, certo? Se você investigar, pode ter certeza."""
Ushiromiya Eva,"......Se esse for o ""rio de ayus"".........{n}.........E se a chave pode ser uma palavra de seis caracteres..."
Ushiromiya Eva,.....................A chave realmente está descansando nesse rio?
,"E‐Eu não sei, eu não sei.{n}...De qualquer forma, tenho que procurar em um atlas..."
,"Mas, mesmo se eu souber isso, não sei {i:do que} eu deveria tirar os seis caracteres..."
,"""......Você realmente não sabe? Pense profundamente. .........Somos inteligentes demais para nosso próprio bem, então nossos pensamentos são inflexíveis."""
,"""Não pense nisso como algo tão grandioso quanto ""O Enigma do Epitáfio"", mas como se fosse um quebra‐cabeça de criança. ......Homens são sempre crianças, não importa quão velhos fiquem. Mesmo se o pai avançou na velhice, isso não muda o fato que ele é essencialmente uma criança dentro do coração dele."""
,""".........Jogue fora sua admiração pelo pai. ...Pense nisso como se fosse um quebra‐cabeça inútil e infantil, como aqueles que Maria trouxe no barco."""
Ushiromiya Eva,"......Quebra‐cabeças. ......Inúteis, infantis."
Ushiromiya Eva,"........................{n}.....................Hã, .........ah."
Ushiromiya Eva,".........Tenho certeza que era, ...o que era, ......hmmm, bem......"
,"...Tenho certeza, se minha memória não falha, ......provavelmente era, hmm..."
,"Não, não tenho que confiar na minha memória vaga.{n}Eu deveria ser capaz de descobrir isso imediatamente também procurando na biblioteca."
,""".........Provavelmente já percebemos a resposta. ...Tudo o que resta é descobrir se está correta ou não."""
,"""Venha, Eva. Vamos para essa biblioteca e nos certificar de que ninguém perceba. ......Lá, devemos encontrar uma montanha de livros grossos que não caberiam no estúdio do pai. ...Tenho certeza de que encontraremos um livro que responda à nossa pergunta. .........Rápido. Esta é primeira e última chance em nossas vidas de termos nossos sonhos realizados."""
,"Quando Natsuhi tentou colocar um cobertor sobre ela, Eva pulou repentinamente."
Ushiromiya Natsuhi,"""...Desculpe. Parece que a acordei."""
Ushiromiya Krauss,"""......Eva. Se você está com sono, não se force demais. Você descansa primeiro."""
Ushiromiya Eva,"""O‐Obrigada. Só vou até o lavabo para lavar meu rosto."""
Ushiromiya Hideyoshi,"""Você deveria pegar leve e descansar. ...Vai acabar se sentindo pior, sabia?"""
Ushiromiya Eva,"""Eu disse que estou bem, estou mesmo! Eu volto logo."""
,"Deixando apenas essas palavras para trás, eu rapidamente deixei o lobby."
,"O lobby era particionado por uma porta. Por isso, logo que saí no corredor, eles não conseguiam mais me ver."
,......A biblioteca era perto da sala dos serviçais.
,"O pai sempre foi dono de uma vasta coleção de livros, mas depois que ele começou a ficar absorto em seu hobby ocultista, sua coleção ficou ainda maior, e os livros normais, adequados a um escritório normal, tiveram que ser postos para fora porque ele já não tinha mais espaço."
,Essa biblioteca era o lugar em que esses livros normais eram armazenados.
,"Eram todos livros grossos, como enciclopédias completas para intelectuais, mas agora isso era muito conveniente para mim, já que eu estava investigando algo."
,"Entrei silenciosamente......e, só por garantia, chequei o cômodo com a minha arma pronta, certificando‐me que não havia pessoas suspeitas ali."
,"Então, a tranquei por dentro."
,Na verdade eu não estava pensando que o assassino poderia estar se escondendo em algum lugar.
,...O que me assustava era o medo que um dos irmãos poderia ouvir o que eu estava investigando.
,"Meu coração começou a saltar......{n}...Eu estava meio‐acordada até um curto tempo atrás, então não fui capaz de perceber o quão significante era esta coisa que percebi."
,Mas à medida que comecei a ficar ciente... meu coração parecia prestes a explodir.
Ushiromiya Eva,""".........Eu me pergunto...se algum dos outros irmãos percebeu isso......"""
,Não acho que o Krauss e o Rudolf vão perceber.{n}......Mas não sei quanto à Kyrie.{n}Ela tem uma intuição extraordinária.
,.........E também não sei quanto à Rosa.
Ushiromiya Eva,"""A Rosa é tão fraca quanto os outros. Ela sempre foi assim, ridiculamente fraca."""
,"Mesmo...? Acho que ela foi sábia o suficiente para fazer você pensar que ela era fraca, para que ela não atraísse malícia desnecessária para si mesma."
Ushiromiya Eva,""".........Aqui está. ...Me pergunto se vou encontrar neste."""
,Puxei o livro para fora e folheei as páginas......
Ushiromiya Eva,"""...............Oh. .........Isto é.........um ""rio de ayus""...?"""
,"Entendi... Isto é o que o rio de ayus significa?{n}......Não vadie por aí, procure mais."
Ushiromiya Eva,"""S‐Sim, eu sei... Quando você descer o rio, encontrará um vilarejo ({ruby:sato:{p:0:里}})... {ruby:sato:{p:0:里}} é uma palavra mais velha para {loghint:machi:cidade} ou {loghint:mura:vila}, certo? Mas se é uma área densamente populada... Pode ser qualquer número..."""
,"Por que você parou de pensar?""{n}Se você não gosta disso, por que não desiste bem devagar...?{n}Por que não entregar a chefia Ushiromiya para Kyrie bem devagar?!"
Ushiromiya Eva,"""Não, ...eu não quero...! Eu vou me tornar o chefe. ...Esta é a minha primeira e última chance para fazer isso.........O que é {i:vilarejo}? O que isso significa?! Tem um vilarejo se você descer este ""rio""......?! ............ah, .........aaaaaaaahhh......!!"""
,"......{loghint:sono sato:Neste vilarejo}, procure pela {loghint:kishi:costa} da qual {loghint:futari:as duas} pessoas {loghint:kuchi:falam}.{n}......É uma ""costa"" ({ruby:kishi:{p:0:岸}}). Entendeu?"
Ushiromiya Eva,"""Uh, ...*gulp*... Eu, eu, eu entendo...! Costa...... Costa.........!"""
,"Todas essas partes que eu não tinha sido capaz de entender ao todo estavam......bem diante dos meus olhos, começando a......estalar, estalar no lugar, todas por conta própria......"
,Eu não conseguia nem me lembrar de fechar minha boca aberta.{n}...Minha garganta ficou completamente seca...
,Está......realmente tudo bem para esta ser a resposta?{n}M‐Mesmo? Mesmo...?!
Ushiromiya Eva,"""...Mas isso não são seis caracteres ao todo. ......Tenho certeza absoluta de que esta é a resposta, mas isto não alcança seis caracteres ao todo...!"""
,"Você parou de pensar de novo? Nesse caso, pense em uma forma que você poderia ler isso com seis caracteres."
,"Se você não conseguir pensar em uma, então pesquise.{n}......Tem que ter uma resposta. Você não deve duvidar disso."
,"Se não conseguir acreditar nisso, por que você não chora até dormir, e então só desista e morra bem devagar...?"
Ushiromiya Eva,"""............Um, dois, três, quatro, cinco, seis... ......Oooh, ...s‐......seis caracteres..."""
Ushiromiya Eva,"""......Eu, ......eu encontrei. ...Esta é.........da Terra Dourada...a c‐......chave.........!!"""
,Sim. Esta é...a chave da Terra Dourada.{n} ......A chave...para nossos sonhos de infância.
,......A única fechadura para enfiar esta chave...é aquele lugar.{n}Isto...definitivamente é o que oferece os sacrifícios.{n}Você compreende agora...certo...............?
Ushiromiya Eva,"""Uuu, ............uuuuUUUgghhHAAaaaaa...!!!"""
