Speaker,Chinese Simplified (CN)
Gohda Toshiro,「……每次举办亲族会议，就能感受到年轻人的成长。再过上几年的话，缘寿小姐也会懂得恋爱，懂得化妆，成长为一名出色的女性吧。」
Kumasawa Chiyo,「是啊……。如果是普通地，一年年长大的话…」
,残酷的命运，……强迫缘寿这只雏鸟，迎接独自一人的未来。
,卵如果不加以温度，就不能孵化。{n}她这枚卵，没法得到温暖，也就无法孵化…。
Gohda Toshiro,「缘寿小姐就只能作为冷却的卵，迎接孤独的未来吗…」
Kumasawa Chiyo,「……卵壳总是从内侧被打破的。……虽然冷却的壳会特别特别的硬，但也并非无法打破。」
Gohda Toshiro,「缘寿小姐，会有那么坚强吗。」
Kumasawa Chiyo,「缘寿小姐能否得到它。这就是这最后的游戏的意义。」
Gohda Toshiro,「我们是不是应该，给予更多的信息啊。……至少，让这无法温暖的卵能够更容易破壳，稍微从外侧敲一敲之类。」
Kumasawa Chiyo,「若是硬是让没有自己破壳而出的力量的雏鸟出来的话，肯定无法忍耐寒风吧。缘寿小姐必须要自己来获得，这份力量和坚强。」
Gohda Toshiro,「……但是，这份力量和坚强，我们就不能告诉她些什么吗？」
Kumasawa Chiyo,「语言并不是能被给予的东西，而是需要接受的。……我们不论给予了什么，缘寿小姐要是不接受的话，就没有任何意义。」
Gohda Toshiro,「…………是啊。我们不论告诉什么，缘寿小姐要是不听的话，就没有意义。」
Kumasawa Chiyo,「呵呵呵呵……。只能远远地看着啊，我们。因为就算能牵马到水槽边，也不能强迫它喝水啊。」
Gohda Toshiro,「就只能祈祷，缘寿小姐能够自己选择，……更好的未来了。」
Kumasawa Chiyo,「缘寿小姐她仅是为了排解悲伤和绝望的愤怒而无法随心所欲。……要是能将缘寿小姐真正追求的唯一的愿望，还原出原本的纯粹的话。她绝对能，实现自己最大的愿望吧。」
Gohda Toshiro,「真是讽刺。……这最大的愿望，从最开始就被否定了。」
Kumasawa Chiyo,「笑口常开福自来。摆哭脸遭不幸。信者可得救赎。……人的思念，那份坚强，自己的未来都是自己走出来的。」
Gohda Toshiro,「哪怕，只把这句话告诉她也好啊……」
Kumasawa Chiyo,「战人少爷也是严格。……这样的话都不允许说，只能希望缘寿小姐能自己察觉到了。」
Gohda Toshiro,「………我们也只能远远地看着呢。」
Kumasawa Chiyo,「所以，祈祷吧。希望她能够抓住，她最期望的未来。」
Nanjo Terumasa,「哦呀，您这是来指名我们吗。」
Ushiromiya Ange,「嗯。反正是要挑战所有人的。对吧，姑母！」
Ushiromiya Eva,「对呀！来，给我们出题吧。我们会对答如流的！」
Nanjo Terumasa,「哈哈哈哈。这样啊这样啊。那就必须得出珍藏着的大难题咯。」
Ushiromiya Kinzo,「源次。你也来出个题吧。出最难的啊。」
Ronoue Genji,「遵命。……那么，我就出个最难的。」
,唔哇。
,本以为源次先生会出个简单的问题呢，结果说是特难的。真可怕。
,但是，总归是要打倒的对手。不可以带着恐惧。
Nanjo Terumasa,「那，就从我先开始吧。因为我是个医生。那就出个关于“救”的问题吧。」
Ushiromiya Ange,「“?”是数字吧？但是“救救”是文字呀？数字＋文字要怎么计算啊？」
Ushiromiya Eva,「救救啊，有点像是俏皮话呢。你看，救救听着像不像“99”？」
Ushiromiya Ange,「也就是说，? 加上 99 就是救护车了？」
Ushiromiya Eva,「?＋99 算出来的数字，到底怎么成为救护车呢。…………啊，我知道了！」
Ushiromiya Ange,「咦，真的？！是什么，为什么？！」
Ushiromiya Eva,「给个提示。不是救护车的亮红灯的车，是指警车哟？呵呵，已经懂了吧？」
Ushiromiya Ange,「呃，……嗯——……，……不知道…」
Nanjo Terumasa,「哦呀哦呀，不知道吗？我觉得这题还挺简单的呢。」
,没能解出的问题被这么一说，让人有些生气。
,可是，就算不服气，就算很恼火，还是想不出答案来。
Ushiromiya Eva,「嗯——，真可惜啊。我觉得都已经想得差不多了…」
,绘羽姑母似乎是知道了答案。在为我没有想到一起去而遗憾着。
Ushiromiya Kinzo,「………唔唔唔唔…？啊，原来如此，我知道了！救护车加上 2 的话，就连天气都能知道了啊。」
Nanjo Terumasa,「答得漂亮，金藏先生。那么，这枚金币就得交给您了呢。」
Ushiromiya Kinzo,「哇哈哈哈哈哈哈。抱歉啊，缘寿。这枚金币是爷爷我的啦。」
Ushiromiya Ange,「………我才没有不服气呢。」
,金色的纪念币，从南条手上交给了金藏。
,那枚金币本应是我的……。就算不服气也晚了。
,救护车加上 2…？这要怎么知道天气啊…？？
Ushiromiya Eva,「会告诉你天气预报的电话号码，是多少啊？」
Ushiromiya Ange,「…………？？？」
,果然，还是不明白。{n}还是打起精神，挑战源次的问题吧。
Ushiromiya Ange,「20！20 加上救救（99），119。叫救护车的电话号码！」
Ushiromiya Eva,「从 130 减去 20，110。这是叫警车的电话号码哦。」
Nanjo Terumasa,「真棒！答对了。果然小缘寿的头脑很灵活啊。」
Ushiromiya Kinzo,「哦哦哦哦哦哦，干得不错嘛，缘寿！真聪明啊，不愧是我的孙女！」
Nanjo Terumasa,「恭喜你。这是给你的金币。」
,在南条手中闪着光亮的金色纪念币，现在就是缘寿的东西了。
,好，照这个架势战胜源次，再拿 1 枚吧。
Ushiromiya Eva,「对对，就是这个气势。一个二个，都给它答出来吧！」
Nanjo Terumasa,「那么源次先生，请吧。」
Ushiromiya Kinzo,「别看吾友不多言语，他可是相当的博识。他会出怎样的问题，我也很感兴趣。」
Ronoue Genji,「那么缘寿小姐。请做好觉悟。我就此出题了。」
,……只是出题而已，还是头一次听说要做好觉悟。
,让人一下子紧张起来，肚子都开始疼了…。
Ushiromiya Eva,「没关系的。振作起来！」
,绘羽姑母紧握着我的手，腹痛稍微有些缓和了。
Ronoue Genji,「……缘寿小姐，您会算除法吗？」
Ushiromiya Ange,「嗯。在私塾学过。」
Ushiromiya Eva,「这可真厉害，才 6 岁就会啦？」
Ronoue Genji,「那么这问题就可以出了。请听好题目。」
,不好办了…。除法姑且算是学过，但是不拿手啊……。
Ushiromiya Eva,「一个小时就会烧掉一半吧…？第一个小时是 5cm 的一半。第二个小时再一半。第三个小时再减一半……」
Ushiromiya Ange,「……不用计算器的话算不出呢。姑母算出来了吗？」
Ushiromiya Eva,「啊，……我知道了。呵呵，这可真是个欺负人的问题呢。」
Ushiromiya Ange,「欺负人是指？」
Ushiromiya Eva,「这题啊，和除法计算没关系的。好好把题目读读看？」
,……呃，……题目怎么说的……？
Ronoue Genji,「真是抱歉，您没有答对。」
Ushiromiya Ange,「诶——？！为什么？！我有好好算过的…！」
Ushiromiya Eva,「这个问题啊，是不需要计算的哟？嗯——，完全被骗了呢…」
Ushiromiya Kinzo,「哇哈哈哈哈哈哈哈。真是遗憾呀，缘寿。南条你知道答案了吗？」
Nanjo Terumasa,「嗯，当然知道。不需要算除法嘛。这题是小缘寿也能解开的，简单的问题啊。」
,不仅是绘羽姑母，就连大家也说不需要计算。
,人家分明好好地算了除法呢……。
Ronoue Genji,「我的出题就是如此了。其他人也都在等着缘寿小姐您的挑战吧。来，请去挑战下一位。」
Nanjo Terumasa,「加油啊，小缘寿。祝你好运。」
Ushiromiya Eva,「是呀。可不能现在就灰心丧气了！现在起挽回败果吧。」
Ushiromiya Ange,「嗯。多多加油，然后收集更多金币！」
,我们走了出去。
,没有出题的人还有很多呢。能拿到金币的机会还多得是。
,那，下一个去挑战谁呢…！
Ushiromiya Ange,「……5cm 过了 1 小时变成 2.5cm，再过 1 小时是 1.25cm，再过 1 小时是 0.625cm……」
Ronoue Genji,「………………………」
Ushiromiya Eva,「小缘寿。不需要计算的。好好想想题目…？蜡烛，……到几 cm 的时候就会熄灭啦…？」
Ushiromiya Ange,「啊！差点被骗了…！长度烧到 1cm 的时候就会熄灭了，再怎么烧都没关系！」
,这枝蜡烛，长度变成 1cm 之后火就会熄灭。{n}也就是说，不会比 1cm 更短。
,所以正确答案是第 5 个的「约 10mm」…！
Ushiromiya Eva,「就是这样…！」
Ronoue Genji,「答对了。」
Ushiromiya Kinzo,「哦哦，太棒了，缘寿！可是没有被唬住啊！」
Ushiromiya Ange,「这是个没必要算除法的问题。差点就上钩了…！」
Ushiromiya Eva,「源次先生也挺会欺负人啊。之前还问会不会算除法。是打算干扰思路吧？」
Ronoue Genji,「是的。真是万分抱歉。」
Nanjo Terumasa,「哈哈哈哈哈哈。源次先生有时也会面不改色地误导别人呢。」
Ronoue Genji,「恭喜您，缘寿小姐。这是作为答对我所出问题的证明的金币。」
Ushiromiya Ange,「谢谢！嘿嘿，绘羽姑母，又收到金币了…！」
Ushiromiya Eva,「呵呵，状态真好呢！」
Ushiromiya Ange,「我还要收集更多。攒够好多金币，拿到爷爷的大奖品！」
Ushiromiya Kinzo,「嗯。干劲十足地去吧，我的孙女…！」
Nanjo Terumasa,「加油啊，小缘寿。愿你越战越勇。」
Ronoue Genji,「其他诸位在等着您呢。来，去挑战下一位吧。」
Ushiromiya Ange,「嗯。谢谢。我会多多加油的…！」
,我们走了出去。
,还有很多人没出题。拿金币的机会还多得是。
,那，下一个要挑战谁呢…！
,在缘寿和绘羽离开之后，……一直观望着她们的战人走了过来。
Ushiromiya Battler,「缘寿的状态如何啊。」
Ushiromiya Kinzo,「战人啊。状态我不清楚，不过看起来挺高兴的。」
Ushiromiya Battler,「源次先生的出题，我听到了。我都差点被骗了啊。」
Ronoue Genji,「不敢当。」
Ushiromiya Battler,「不过真令人意外啊。没想到源次先生会出这种充满伪装性的问题。我还以为会出个很直白的，容易理解的问题呢。」
Ushiromiya Kinzo,「哈哈哈哈哈哈哈哈。吾友因为比较沉默，容易让人这么想啊。……别看这样，他可是个相当厉害的谋士。」
Nanjo Terumasa,「是啊。和源次先生下过国际象棋的话，就会了解这点了。」
Ushiromiya Kinzo,「我有时都会被他骗了。用那好像很认真的表情，一步一步引我上钩。过去起就是这样了。可他骗几回我还是会上钩几回。哇哈哈哈哈哈哈哈哈哈哈。」
Ushiromiya Battler,「这么说来。………源次先生和爷爷，是怎么个交情啊？」
,金藏在一瞬间，看向源次以征求他的意见。
,源次轻轻摇了摇头，似乎是不想被人谈及这里。
,但是，源次却说到如今没有什么好隐藏的了，自己开口讲述了起来。
Ronoue Genji,「……我和老爷曾经，在台湾有过因缘。」
Ushiromiya Kinzo,「哇哈哈，因缘这说法太冷淡啦…！我们可是恶友哇！他和我都是有钱人家的浪荡子。都是总让父母头疼的废物点心。」
Ushiromiya Battler,「源次先生是浪荡子…？这还真让人吃惊啊……。那，源次先生也是过去移居台湾，在那里和爷爷认识的？」
Ronoue Genji,「……………不。我是台湾人。」
Nanjo Terumasa,「源次先生出身于台湾。………不，战前那里是日本领土，所以源次先生当然还是日本人了。」
Ushiromiya Kinzo,「他是个不服输的坚强男人啊。刚认识的时候我们经常打架的。自打意气相投之后，他可以说是我的竹马之友，最棒的朋友了。」
Ronoue Genji,「……在战后我因为很多状况而十分混乱。在这混乱之中帮助我的，就是老爷。……那个时候的恩情，是我尽这一生都无以偿还的。」
Ushiromiya Kinzo,「………别这么说，吾友。……我要是更能说会道一些的话，就能把你的家人们都带来了…。就因为我太没用了，只能救你一个人…」
,虽然不太清楚台湾的历史，但还是知道在战争结束日本撤出之后，台湾陷入了一片混乱的。
,金藏早早就察觉到混乱的开端，准备安排源次他们一族人逃出那里。
,但是，源次家一族人在台湾拥有庞大的财产。他们无法抛弃那些，选择了留在台湾。
,那些财产是由和日本统治时期的台湾总督府之间的密切来往建立起来的。
,这样的他们，很难在战后的新体制下受到欢迎。
,于是发生了各种混乱的状况。最后，只有源次逃离了灾难。
,……被金藏称作废物浪荡子的他，是经历了什么才令性格激变成现在这样的，我不知道。
,那是这两人之间的，围绕着友情的故事，……无关系的人翻阅历史书，擅自加以评论，是毫无意义的。
,两人既是长年的旧友，也是救命恩人双方的关系。就算被动荡的时代所翻弄，他们的友情依然长久维持着…。
,表面上他们之间是主仆关系，……但仅有两人在书房中时，他们也会像回到年少时期一样，酌酒谈欢。
,……到如今，两人依旧如此。
,留下怀念过去的金藏和源次，战人悄悄地离开。
,再听下去就太不通人情了，没必要听。
,金藏和源次是长年以来的亲友。{n}这他早就已经知道了。
Ushiromiya Eva,「如何？下一个去挑战夏妃伯母吧？」
Ushiromiya Ange,「好。我要去。」
Ushiromiya Krauss,「哈哈哈哈，那我们就赏个脸吧。」
Ushiromiya Natsuhi,「我们已经准备好相应的问题了。」
Ushiromiya Krauss,「是由我先出啊。还是你先来？」
Ushiromiya Natsuhi,「那么我先来吧。」
Ushiromiya Krauss,「嗯。」
Ushiromiya Natsuhi,「请听好我所说的话。白黑白黑白？黑白黑白黑白。」
Ushiromiya Ange,「诶？白黑白黑…，……诶？？」
Ushiromiya Natsuhi,「我再说一遍。白黑白黑白？黑白黑白黑白。……这个？里要填入什么呢。」
,这真是，……好大个难题啊。
,白黑白黑白？黑白黑白黑白。
,看起来是黑白互相交叉排列，但？却夹在白和黑之间。
,答案是，……灰色？？会是这么单纯的问题么…？
Ushiromiya Eva,「这，……夏妃姐出的这未免也太难了点吧……」
,连绘羽姑母都抱怨。看来，真的是很难。
Ushiromiya Natsuhi,「有，有这么难吗…？」
Ushiromiya Krauss,「……对没有经验的人来说可能会完全不懂呢。」
Ushiromiya Natsuhi,「且不论绘羽，小缘寿的话，在学校和幼儿园应该经常见到过……」
Ushiromiya Eva,「什，什么啊，是说我绝对答不出来吗？！」
,是个比起绘羽姑母，我更能理解的问题吗……？
,……好难。
Ushiromiya Eva,「提示是夏妃姐说的，应该是在学校和幼儿园曾经见过的东西。……小缘寿知道吗？」
Ushiromiya Ange,「不，完全不知道。」
Ushiromiya Eva,「看，小缘寿也说完全不知道呀？！再给点提示行不行。」
Ushiromiya Natsuhi,「这，这样啊。那么，提示是……。白黑白黑……，虽然有很多，但是不论按下哪个，都会发出好听的声音来。」
Ushiromiya Eva,「好听的声音……？这个白黑是会发声的东西吗？」
Ushiromiya Ange,「按下去就会出声的白黑……？」
Ushiromiya Ange,「…………不知道。」
Ushiromiya Eva,「我也是，投降了。……夏妃姐居然会知道这么难的问题。」
Ushiromiya Krauss,「哈哈哈哈哈。这是教养上的问题嘛。对你来说可能是太难了。」
Ushiromiya Eva,「你，你说什么——————…？！」
Ushiromiya Ange,「……夏妃伯母。告诉我答案吧？」
Ushiromiya Natsuhi,「答案是，键盘哟。」
Ushiromiya Ange,「键盘？钢琴这种的？」
Ushiromiya Natsuhi,「是的。白黑白黑是键盘的颜色排列。这么说，你就应该知道答案了吧。」
,夏妃伯母微笑着这么说，但是我不太记得键盘的排列。
,……嗯，遗憾。
,下一个挑战藏臼伯父的问题，来挽回名誉吧。
Ushiromiya Eva,「好了。下一个轮到哥了哟？我和小缘寿会立马答出来，把你打个落花流水哦？」
Ushiromiya Ange,「这个白黑白黑是，……是键盘！和钢琴的一样！」
Ushiromiya Eva,「啊，……是这样？！这是，键盘啊？！」
,在幼儿园和学校都有的，排列着很多白黑白黑的东西。
,那是乐器。{n}就是指，键盘口风琴和钢琴的琴键。
Ushiromiya Eva,「两个黑键是，哆来咪之间。3 个黑键是法嗦啦西之间……」
Ushiromiya Ange,「白黑白黑白？黑，所以……，白的 3 个是哆、来、咪……」
Ushiromiya Eva,「没有咪和发之间的黑键。咪的旁边就是发！」
Ushiromiya Ange,「就是说，这个？是咪的后面，答案就是“发”。……也就是也就是，」
,「「答案是，白！」」
Ushiromiya Natsuhi,「答对了。我还觉得可能出得太难了，真不愧是小缘寿呢。」
Ushiromiya Krauss,「干得不错嘛，你们俩。是吧，夏妃。」
Ushiromiya Natsuhi,「恭喜你，小缘寿。这是我的金币。」
Ushiromiya Ange,「做到了！绘羽姑母，又攒到 1 枚了！」
Ushiromiya Eva,「很顺利呢。那，下一个轮到哥来了。我们会立马答出来，打你个落花流水哟？」
Ushiromiya Krauss,「那可正好。我就让你回击不成反遭殃。」
Ushiromiya Ange,「别这样，绘羽姑母，不要挑衅嘛。问题会变难的！」
Ushiromiya Krauss,「呵呵呵呵呵呵。要恨就去恨绘羽吧！来接招吧，是难题！这是和我的投资有关的大楼的承租者们相关的问题。」
Ushiromiya Ange,「也不知道是哪里的大楼，怎么可能知道……」
,已经知道 12 层以上都是什么了，答案是 1 层到 11 层之间的某一层。这肯定没错。
Ushiromiya Krauss,「呼呼呼呼。要投降吗？」
Ushiromiya Eva,「怎、怎么可能会投降啊，唧——！！是问村越出版在几层吧？！」
Ushiromiya Krauss,「不是几{ruby:kai:层}。是几{ruby:gai:层}。」
Ushiromiya Ange,「不论哪个不都是“层”么…？」
Ushiromiya Eva,「……啊。……………………………」
,绘羽姑母突然像是来了灵感。{n}然后一边弯着手指，从 1 层开始按顺序数了起来……。
Ushiromiya Eva,「我知道了，小缘寿…！从 1 层开始按顺序，出声读出来…！就只有 1 个！」
Ushiromiya Ange,「诶？什、什么意思……？」
Ushiromiya Ange,「………不知道。」
Ushiromiya Eva,「这个，并不是几{ruby:kai:层}，而是问几“{ruby:gai:层}”，这里是重点吧？」
Ushiromiya Krauss,「对。某种意义上，在出题的时候答案就已经揭晓了。」
Ushiromiya Ange,「怎么回事…？」
Ushiromiya Eva,「举个例子吧，不是有 14 层吗？14 层既能念 14 {ruby:kai:层}也能念 14 {ruby:gai:层}对吧？但是 1 层就念作 1 {ruby:kai:层}，不念作 1 {ruby:gai:层}。」
Ushiromiya Krauss,「就是这样。从 1 层到 11 层之间，读作 gai 的就只有一个。」
Ushiromiya Ange,「啊，………啊——…………」
,我到现在才知道答案是什么。
,要是在听题的时候，能注意到藏臼伯父那细微的发音的违和感的话……。
Ushiromiya Krauss,「哈哈哈哈哈。抱歉了。伯父的金币，不能给你了。」
Ushiromiya Ange,「3 层！」
Ushiromiya Krauss,「唔。」
Ushiromiya Eva,「漂亮，答对了…！从 1 层到 11 层之间，读作 gai 的就只有 3 {ruby:gai:层}。」
Ushiromiya Ange,「嗯！只有 3 层读作 3 gai，其余的到 11 层都读作 kai。」
Ushiromiya Krauss,「挺，……挺能干的嘛…。明明我当时在知道答案之前都完全不明白……」
,看来，藏臼伯父是过去被人问过这个问题，回答不出来的样子。
,这题被我给答了出来，他似乎有些不服气。
,……好像不是对我，而是不服气被绘羽姑母给答对。真奇怪。
Ushiromiya Eva,「好了。赶紧把金币交出来吧。」
Ushiromiya Krauss,「这是对小缘寿的智慧进行评判的金币。不是给绘羽你的。」
Ushiromiya Eva,「哼，还不服输…！」
Ushiromiya Ange,「谢谢你，藏臼伯父。缘寿很厉害？缘寿很厉害？！」
Ushiromiya Krauss,「嗯。你的头脑可比伯父的灵活多了。有你这个侄女，我都觉得骄傲。」
Ushiromiya Natsuhi,「这样，我们的问题就出完了。」
Ushiromiya Krauss,「能让你高兴就好啊。」
Ushiromiya Ange,「嗯。谢谢，夏妃伯母，藏臼伯父。」
Ushiromiya Krauss,「但愿你不要太在意金币的枚数，而是从大家的奇问难问中得到乐趣。」
Ushiromiya Natsuhi,「愿今晚，能够成为只属于你的美妙之夜。」
Ushiromiya Eva,「那是相当开心呢，我们两个。」
Ushiromiya Ange,「嗯！我们俩，特别开心！」
,藏臼和夏妃微笑着，目送两人远去。
{f:5:Beatrice},「哦哦，夏妃啊。怎么样啊，汝等的提问？」
Ushiromiya Natsuhi,「我们两个都是精心挑选了和我们相应的题目，……不知是否令她们开心了。」
,对面，缘寿和绘羽正在数已经得到的金币数量。
,缘寿和绘羽。……虽然是个不可思议的组合，但看起来还是很高兴。
{f:5:Beatrice},「……没有血缘关系的，未来的母女俩吗。现在看起来，也很像真正的母女俩啊。」
Ushiromiya Natsuhi,「是啊。………牵绊是由心来孕育的，血缘关系则是其次了。」
,夏妃这么说着，……将自己的话语细细品味，独自俯下身子。
{f:5:Beatrice},「怎么了？」
Ushiromiya Natsuhi,「………我只是吃惊，……自己竟然能说出这样的话来。」
{f:5:Beatrice},「……………………。……妾身的事，无需在意。」
Ushiromiya Natsuhi,「就因为我拒绝了你，……你在许多的世界中都，受了很多苦…。……这全都是，我的责任…」
{f:5:Beatrice},「汝的心情妾身理解。……身不能孕，多年来都抬不起颜面。就在那时突然被交予了一个不知哪里来的婴儿，还被要求收作养子，会受打击是肯定的。」
Ushiromiya Natsuhi,「……即便如此，……这也无法成为把你推下山崖的理由…」
{f:5:Beatrice},「也是啊。这是，汝这一生，必须背负的十字架吧。」
Ushiromiya Natsuhi,「……是的。我已经做好觉悟了…」
{f:5:Beatrice},「那么，要苛问汝的，是这十字架。而不是妾身。」
Ushiromiya Natsuhi,「你是说，……你不恨我吗…？」
{f:5:Beatrice},「对，别这么沮丧啊。……不不，应该是反过来。看到汝这沮丧的样子，妾身就不会想要归咎于汝。汝只要还继续背负着这十字架。妾身就不会恨汝。」
Ushiromiya Natsuhi,「你是说，……你不恨这样的我吗……」
{f:5:Beatrice},「其实真的很恨哦？超恨的说。恨到把汝的抱枕吊起来当沙袋打啊！」
{f:5:Beatrice},「但是，看到汝这样，妾身就没这个打算了。……汝在悔恨，在后悔。然后这份心情，汝肯定一生都不会忘记。」
Ushiromiya Natsuhi,「怎么可能会忘……。……因为我是个，杀人犯啊………」
{f:5:Beatrice},「背负上了个沉重的十字架啊。现在真是同情汝。是真的哦？因为，这全都是金藏的错嘛。」
{f:5:Beatrice},「是他搞出私生子来不对！而且还交给汝更是大错特错！不应该说什么因为生不出孩子就收作养子，而应该用不会伤害汝的说法，比如能养育这个可怜的孩子吗什么的。所以说男人啊，金藏啊…！」
Ushiromiya Natsuhi,「…………………………」
{f:5:Beatrice},「妾身已经不恨汝了。即便如此，汝的十字架也不会变轻吧。」
Ushiromiya Natsuhi,「是的。……因为我还不知道，该做些什么来偿还你。」
{f:5:Beatrice},「那，就这么办吧。把双臂伸开。」
Ushiromiya Natsuhi,「诶，……诶？是，……是这样吗……？」
,夏妃怯生生地伸开了双臂，然后贝阿朵飞扑了过去，紧紧地抱住了夏妃。
Ushiromiya Natsuhi,「……那，那个，……这，这是………」
{f:5:Beatrice},「妾身不会说第二遍，所以就说一次。……妾身啊，连自己的母亲都没有见过嘛。」
,贝阿朵抱着夏妃，小声地说。{n}对夏妃说着，绝对不会再度说出的话语…。
{f:5:Beatrice},「谢谢汝为了妾身而忏悔。……不过啊，妾身已经不恨汝了啊？这点汝一定要相信哟。…………妈妈。」
Ushiromiya Natsuhi,「……贝，………贝阿朵莉切……………」
