Speaker,Chinese Traditional (CHT)
{f:5:Beatrice},「呀。…本次遊戲，您看得開心嗎？」
{f:5:Bernkastel},「……一邊倒到如此地步的單邊遊戲，超出了可看的範疇，很無聊。」
{f:5:Beatrice},「呵呵呵呵，哎呀哎呀，您打分還是那麼嚴呢。……妾身還在自負著，這是配得上厭惡無聊的貝倫卡斯泰露卿的，頗有迫力的展開呢，這可真是難辦啊。」
{f:5:Bernkastel},「…關於迫力，我也承認。…不過，作為一盤公平的遊戲就太過分了。不再稍微提供些對等的條件的話…」
{f:5:Beatrice},「……就沒有勝算了嗎？貝倫卡斯泰露卿的？……呵呵呵呵呵。」
{f:5:Bernkastel},「………………這是什麼意思，貝阿朵？」
{f:5:Beatrice},「不用裝模作樣了。妾身已經知道了。…汝{i:不是旁觀者}。」
{f:5:Bernkastel},「……………………………。」
{f:5:Beatrice},「還以為瞞過了妾身？汝是千里迢迢來到他人領地，給妾身對家下注的無禮之徒。一直擺出副旁觀妾身遊戲的樣子，其實卻是下了賭妾身輸的重注。說中了吧…？」
{f:5:Bernkastel},「………………………。是又如何？」
{f:5:Beatrice},「……呵呵呵呵呵！實在是有趣！」
{f:5:Beatrice},「能獲賜與擊退了拉姆達戴露塔卿的最強魔女——貝倫卡斯泰露卿對決的機會，實在是愉快！！」
{f:5:Bernkastel},「……嗯。我也很愉快哦。我就是為想看如此充滿自信的你那輸得一敗塗地的樣子，才不遠萬里地來的。」
{f:5:Beatrice},「何等誠實的人啊。呵呵呵呵！！」
{f:5:Beatrice},「話說回來妾身與大貝倫卡斯泰露卿的對決，連一個觀戰之人都沒有的話，那再怎麼說都是太可惜了。」
{f:5:Bernkastel},「…………………………………。…你叫來了啊。把那孩子。」
{f:5:Lambdadelta},「呵呵呵呵呵呵呵！找到了，總算讓我找到了，貝倫卡斯泰露～！！」
{f:5:Bernkastel},「…………貴安，拉姆達。你也真閑呢。…同為厭惡無聊之人的再次偶遇，是否也是命運呢…？」
{f:5:Lambdadelta},「你呀真笨。為什麼就是想不到，能贏我只不過是個小小的運氣與相性的問題呢？竟還就此自認神通廣大，偏偏要和貝阿朵莉切對著幹，不知自己斤兩也該有個分寸哦？」
{f:5:Lambdadelta},「嘻嘻，貝阿朵莉切可是很強的喲。比我都要殘酷，那麼一丁點！」
{f:5:Lambdadelta},「對了還有，別隨便把人家的名字省略成拉姆達——！」
{f:5:Bernkastel},「………貝阿朵，你也真笨。就算這孩子來你的遊戲，也只是會把它搞得一團糟。」
{f:5:Beatrice},「拉姆達戴露塔卿，絕不光是作為觀眾而被妾身叫來的。」
{f:5:Beatrice},「妾身告訴了她，汝在給妾身的對家下注，卿就說了要來給汝的對家下注。」
{f:5:Bernkastel},「…………………………你，還在記仇啊。」
{f:5:Lambdadelta},「呵呵呵呵！！畢竟我是宇宙最強的魔女嘛。不過由於輸給你了，就不是最強了！」
{f:5:Lambdadelta},「所以不管和你敵對的人是誰，我都會加入你的對手那一方——！！」
{f:5:Beatrice},「呵呵呵呵！就是如此。以大貝倫卡斯泰露卿為對手，雖對您來說應該是連不利條件都算不上，不過應該很適合當作餘興吧。」
{f:5:Bernkastel},「……………隨你喜歡吧。…既然已經暴露了，我也要來真格的了。」
{f:5:Beatrice},「這倒也好。畢竟妾身的辭典裡，原本就沒有手下留情這四個字呢。呵呵呵呵呵呵呵呵呵呵！拉姆達戴露塔卿，請借這段貴緣好好樂樂吧。」
{f:5:Lambdadelta},「那自然，那就彼此彼此，請多關照了喲，貝阿朵莉切卿！這傢伙也是把我整得好慘。不兩人一起來將她打垮，雙倍奉還，我肚子裡這股氣就憋不住！！」
{f:5:Bernkastel},「…………彼此彼此，請多關照，拉姆達。還有貝阿朵。…無論勝敗如何，對我們來說這都會成為非常有意義的一戰。」
{f:5:Lambdadelta},「是呢。雖然我必定不會輸，但對我們來說它有著高於勝敗的意義。」
{f:5:Beatrice},「畢竟我們魔女，厭惡無聊。」
,三位魔女呵呵地，又或者是咯咯地，又或者是哈哈地大笑著。
{f:5:Bernkastel},「……正是如此喲。謝謝了，貝阿朵。看來總算是能從煩悶中逃出來了。就竭盡所能地讓我開心開心吧。與拉姆達戴露塔一起。」
{f:5:Beatrice},「妾身會照辦的。呵呵呵呵呵…！！」
{f:5:Lambdadelta},「既然這麼決定了，那貝阿朵，趕快來召開作戰會議！她的弱點我全都知道，我會全部都傳授給你的！」
{f:5:Beatrice},「可儘管如此，拉姆達戴露塔卿竟還是被打敗了麼，呵呵呵呵…！」
{f:5:Lambdadelta},「真是的————，不教了不教了！哼——！」
{f:5:Beatrice},「呵呵呵呵哈哈哈哈哈哈哈哈！…是位不會令人無聊的貴人呢，拉姆達戴露塔卿。」
{f:5:Bernkastel},「…………是吧？就拜託多照顧了。別看那樣，她可是很怕寂寞喲。」
{f:5:Beatrice},「原來如此。就是現在流行的那個什麼嘛。呵呵呵，不愧是拉姆達戴露塔卿。站在了時代的最先端。呵呵呵呵呵呵呵呵。」
{f:5:Bernkastel},「快去吧。那孩子，在等著你追上去喲。」
{f:5:Beatrice},「……那麼妾身告辭了。」
{f:5:Beatrice},「下一盤遊戲見。呵呵呵呵呵呵呵呵呵呵！」
{f:5:Bernkastel},……對不起。雖然來了個不好對付的，但請不要在意。
{f:5:Bernkastel},比起那些，………這可真夠慘的。
{f:5:Bernkastel},雖說我自以為已在與拉姆達的遊戲中，經歷過了不少悲慘末路，………但這次可是，……遠超前例的淒慘。
{f:5:Bernkastel},…你會抱膝封閉起心靈的感受，我也很是理解。
{f:5:Bernkastel},這種末路，再走個幾次的話，不用百年，心就會被抹殺。
{f:5:Bernkastel},……既然已被貝阿朵看穿了，我就坦白了吧。
{f:5:Bernkastel},現在的你，與曾經被囚禁在拉姆達的世界中時的我，一模一樣。
{f:5:Bernkastel},被關在了過於殘酷的命運迷宮之中，受魔女肆意玩弄。
{f:5:Bernkastel},…我是從此誕生的魔女。
{f:5:Bernkastel},……所以說不定就相當於是你的姐姐。{n}所以我決定了要幫你的忙。
{f:5:Bernkastel},不過，…………即便是與我的命運相比，……你的那個，…也實在是太淒慘了。
{f:5:Bernkastel},這可是豈止同情，連眼淚都快要流下來了的，過於悲慘的命運。
{f:5:Bernkastel},但是，請無論如何都不要氣餒。{n}請絕對不要去向那個貝阿朵屈服。
{f:5:Bernkastel},確實那孩子的遊戲實在很是卑鄙。
{f:5:Bernkastel},我讓她稍微給我看了下棋盤，而這真是既過於卑鄙又過於狡猾的機關，這個舞台機關的狡詐之處，恐怕遠遠超越了拉姆達戴露塔的棋盤。
{f:5:Bernkastel},而且可怕的是，那孩子下棋時，並不總是會下最妙一步。
{f:5:Bernkastel},這是個與拉姆達相去甚大的不同點。{n}拉姆達為了獲勝，每時每刻都會下最妙一步，以壓倒性數量的棋子殺來。
{f:5:Bernkastel},可是貝阿朵，卻時而會故意下放了水的一步棋。
{f:5:Bernkastel},令人煩惱的是，這對從對手下的步法上來猜測敵人底細的我們來說，乃是非常棘手的情報“雜音”。
{f:5:Bernkastel},它有可能會成為麻煩的擾亂信息。
{f:5:Bernkastel},……不過，以國際象棋為例，雖然毫無意義的一步或許會給對手送去“雜音”，但與此同時也肯定是損失了貴重的一步棋。
{f:5:Bernkastel},也就是說，可鑽的空子並不為零。
{f:5:Bernkastel},儘管你多半不會相信，但本次遊戲也是如此。
{f:5:Bernkastel},……雖然呈現出了壓倒性的攻勢，…但其實是有可乘之機的。
{f:5:Bernkastel},就好像想讓你破陣而入似的，有得是薄弱之處。
{f:5:Bernkastel},……雖然不知道這會不會是陷阱，或是在試探我方。
{f:5:Bernkastel},總之，請不要屈服。{n}不要停止思考。{n}不要否定各種各樣的可能性。
{f:5:Bernkastel},只要你還有戰鬥下去的意志，貝阿朵就贏不了。
{f:5:Bernkastel},魔女的爭鬥，防御可是關鍵喲？{n}比起怎麼去贏，先不要輸。
{f:5:Bernkastel},…承認就是輸了的話，就斷然不可以去承認。
{f:5:Bernkastel},……讓你承認魔女。{n}是貝阿朵莉切勝利條件中的一個，都已是不用懷疑的事實了。
{f:5:Bernkastel},我既然已經公言了是站在你這一邊，自會盡最大努力幫忙。
{f:5:Bernkastel},你也付出努力吧。
{f:5:Bernkastel},要是你還在抱著膝蓋的話，就快點振作起來。
{f:5:Bernkastel},……那——個，這種時候，是要怎麼說來著。
{f:5:Bernkastel},………那——個，這個，{n}………fi，…fight（加油）哦～。咪——，泥啪～☆ 
{f:5:Bernkastel},………………好難為情呢。這個。
{f:5:Bernkastel},……我都為你做到這個地步了，你就快點振作起來吧。
{f:5:Lambdadelta},「…在呢在呢。貝倫她是意志消沉地不知跑哪去了嗎？嘻嘻，貝倫真是有夠狼狽的。」
{f:5:Lambdadelta},不過話說回來。{n}貝倫挑的棋子又是這麼差勁呢。
{f:5:Lambdadelta},國際象棋也是如此吧？{n}棋子全部是士兵的話那就完全沒勝算了吧？{n}棋子全部是城堡或主教的話，那就絕對不會輸。
{f:5:Lambdadelta},……那、那個，上次是由於我終於忍不住可怜起她來，說了隨她喜歡把棋子放哪，結果貝倫那傢伙，連我在留情面都看不出來，竟然在把手上的士兵全——部放到我城裡的情況下，開始了遊戲！！
{f:5:Lambdadelta},這算什麼呀，這才根本不算什麼輸呢！！啊啊，光是回想一下就心頭火起。
{f:5:Lambdadelta},所以說我呀，不看到貝倫敗得沒話還口的表情，就咽不下這口氣。
{f:5:Lambdadelta},因此呢，身為貝倫棋子的你是如此醜態，我呀心情極其舒暢哦！
{f:5:Lambdadelta},而且呢那孩子別看那樣，其實個性很好強的，現在一定是懊惱得咬牙切齒，淚水橫流喲，真是沒面子哦，嘻嘻，呵——呵呵呵呵呵！
{f:5:Lambdadelta},喂，你也來一起笑嘛，哦——呵呵呵呵！
{f:5:Lambdadelta},…………喂。{n}你還要在這兒抱著膝蓋嗎？
{f:5:Lambdadelta},貝阿朵稍微認真了一點，你就這副醜態了？
{f:5:Lambdadelta},真是有夠沒出息的。
{f:5:Lambdadelta},由於你太沒出息了，所以我就稍微幫你一下吧。
{f:5:Lambdadelta},就讓本宇宙最強之絕對的魔女——大拉姆達戴露塔卿，來將你絕望的勝率，稍微去接近一點點絕對吧。來感謝我吧。
{f:5:Lambdadelta},貝阿朵莉切，雖然或許確實是個既殘酷又強大的魔女，但是她不是我的敵手。
{f:5:Lambdadelta},為什麼？因為嫩啊。
{f:5:Lambdadelta},那孩子一邊擺出只用幾步就能將死對方的局面，卻又故意不逼宮。
{f:5:Lambdadelta},吃掉毫無意義的棋子，擺下多余的棋子展現出副單方面進攻的棋局。
{f:5:Lambdadelta},精簡一下，就是說她有在看到勝利的時候，就會開始玩的惡習。
{f:5:Lambdadelta},對你和貝倫來說難以抵擋的各種進攻手段，在我看來卻基本上全部都是做過頭了，盡是無用之舉。
{f:5:Lambdadelta},…換言之，這正是薄弱之處，也是你的機會。喏？不是值得害怕的對手吧？
{f:5:Lambdadelta},時而顛倒了手段與目的。{n}而且還玩過頭了。{n}這些造成的結果，就是自己製造了個弱點公之於眾。
{f:5:Lambdadelta},在像我這樣的最強魔女看來，無法理解她為什麼要做這種裝輕鬆的事。
{f:5:Lambdadelta},自己降低了自己的勝率。
{f:5:Lambdadelta},………不過。
{f:5:Lambdadelta},出於這個原因，對像貝倫那樣，靠解讀對手來制定對策的類型的魔女來說，乃是相性非常不好呢。因為讀不出來。
{f:5:Lambdadelta},…對貝倫來說，像我這樣誠實正直的類型，應該是既是很好猜又是很好對付吧。真可氣！
{f:5:Lambdadelta},…不過嘛，像我這種超火力型對上貝阿朵那種子彈分散的大範圍彈幕型，就會是直接正面滅了她了。就像是相性的猜拳吧。
{f:5:Lambdadelta},我是手帕的話，貝阿朵是石頭。{n}貝倫就是剪刀。{n}不過——，或許這也無所謂吧。
{f:5:Lambdadelta},雖然確實我的手帕會輸給貝倫的剪刀，但這若是比手帕厲害得多得多的超帕的話，就算碰上剪刀也是會比贏的吧？！
{f:5:Lambdadelta},這也就是說，本拉姆達戴露塔卿，是超帕！{n}呵呵呵呵！
{f:5:Lambdadelta},看起來稍微有了點血色呢。{n}貝阿朵那傢伙，在玩虐著那個名叫樓座的棋子。
{f:5:Lambdadelta},乍一看是會以為她真是個性格惡劣的傢伙吧？{n}這可就錯了。
{f:5:Lambdadelta},……她只是在期望你快點振作起來回到她面前，而在消磨時間等著哦。
{f:5:Lambdadelta},這是故意做可恨的事，激發起你的義憤的計策。
{f:5:Lambdadelta},啊——，這種孩子真討厭呢！
{f:5:Lambdadelta},那，我回去了哦。
{f:5:Lambdadelta},啊！我稍微幫了你一下下的事要保密喲！
{f:5:Lambdadelta},我並不是由於想幫你，才出力相助的哦？！
{f:5:Lambdadelta},我這宇宙最強的魔女，輸給了貝倫被奪走了最強之座！
{f:5:Lambdadelta},所以我不從貝倫那裡奪回這位子可不行，但要是貝倫在這裡輸給了貝阿朵，最強之座這次不就又會轉手到了貝阿朵手裡嘛？！
{f:5:Lambdadelta},…不過，我從貝阿朵手裡奪回來還挺輕鬆的，所以也沒什麼。但這樣一來我肚子裡這口氣可就沒法出了！！
{f:5:Lambdadelta},貝倫將由我來打倒！{n}最強之座將由我來取回！
{f:5:Lambdadelta},並不是想出力幫你哦？！{n}要是讓貝倫哭了可饒不了你——！
