Speaker,Italian (Ars Magica) (Old) (ITA)
,"Un tempo, solo Beato e le sue compagne streghe si erano riunite in questa sala per fumatori per chiacchierare."
,"Ora, però, vi era presente un numero insolitamente grande di persone."
{f:5:Lambdadelta},"""Ehheheheheh. Chissà che tipo di gioco ha intenzione di mostrarci Battler."""
{f:5:Bernkastel},"""... Non mi interessa... finché è abbastanza divertente da alleviare la mia noia mentre lo distruggo."""
Furudo Erika,"""Lasci fare tutto a me, mia padrona! Mi esibirò al massimo delle mie capacità, e le darò i risultati che desidera!"""
{f:5:Bernkastel},"""Già, è meglio che lo faccia. Grazie a te non ho fatto altro che fare facce strane per tutto il tempo nell'ultimo gioco... penso che potrebbe iniziare a spuntarmi qualche ruga."""
Furudo Erika,"""N-Non ha bisogno di preoccuparsi. La bellezza del viso della mia padrona è senza pari, per quanto possa riempirsi di rughe."""
{f:5:Bernkastel},"""...!!!"""
{f:5:Lambdadelta},"""Eheheheh! È raro vedere Bern così vivace. La tavola di gioco di Beato è qualcosa di magnifico."""
Dlanor,"""... È triste che la padrona di questa tavola da gioco non sia più con NOI."""
{f:5:Lambdadelta},"""Una tigre, morendo, lascia dietro la sua pelliccia. Sembra che Beato sia morta e ci abbia lasciato il suo gioco."""
{f:5:Bernkastel},"""Sebbene gli scacchi esistano ancora, nessuno conosce il nome della persona che li ha inventati."""
{f:5:Lambdadelta},"""Oh, hai ragione! Kyahahaha, poveri inventori di giochi!"""
Furudo Erika,"""Ora che ci penso, Battler-san ci sta davvero facendo aspettare, non è vero? {n}Sta ancora preparando il sesto gioco?"""
Dlanor,"""... Gertrude. Come stanno procedendo le preparazioni di Lord BATTLER?"""
Gertrude,"""Per favore, consentitemi di parlare. ... Sappiate che concluderà molto presto."""
Furudo Erika,"""Se ci ha fatto aspettare così a lungo, deve essere piuttosto fiducioso del suo piano. ... Mi ha davvero umiliato di fronte alla mia padrona la volta scorsa. {n}Lo sconfiggerò a qualunque costo...! E tu in particolare! Fai in modo di non rovinare tutto ancora una volta...!"""
Cornelia,"""... Affronterò la sfida con tutte le mie forze."""
,"La precedente Game Master, Lambdadelta, aveva confermato che Battler aveva capito tutto riguardo il gioco di Beato."
,"Ma per dimostrarlo, Battler avrebbe dovuto gestire questo gioco e portarlo al completamento."
,"In altre parole, se Erika distruggesse questo gioco di Battler, annullerebbe, effettivamente, il disonore del gioco passato."
,"Sebbene Erika non vedesse l'ora di iniziare, Battler ci stava mettendo un sacco di tempo per mostrarsi."
,"In quel momento, uno sciame di farfalle dorate apparvero improvvisamente e formarono una sagoma umana."
,"Dalla forma di quel familiare vestito, immediatamente tutti capirono di chi si trattasse."
Furudo Erika,"""Ah, ecco, è Beatrice-san. E io che pensavo che fossi morta e scomparsa l'ultima volta."""
{f:5:Bernkastel},"""... Colei che è morta la volta scorsa è Beatrice giocatrice. Probabilmente questa è solo una pedina... la pedina di Battler."""
Dlanor,"""Nonostante sia una pedina, il fatto che sia lei non CAMBIA."""
,Beatrice fece un elegante inchino non appena apparve.
,Questa umile entrata era tanto differente dalla sua solita risata acuta che fece il lungo atteso inizio del sesto gioco ancora più infausto di quanto lo sarebbe stato altrimenti...
{f:5:Beatrice},"""Mio Padre sarà qui molto presto. Vi chiedo di attendere un momento più a lungo..."""
{f:5:Lambdadelta},"""... Aha. Padre? Che cosa? È un nuovo piano?"""
,"Non solo Beato aveva iniziato a parlare in maniera insolitamente gentile, aveva persino usato la parola ‘Padre’... probabilmente riferendosi a Battler."
,"Per un istante, tutti erano rimasti senza parole, ma si accorsero presto che ciò presupponeva un qualche piano, e sogghignarono."
,Beato non era il tipo di persona che avrebbe mantenuto quell'atteggiamento a lungo.
,"Probabilmente sarebbe caduto in pochi secondi, lasciando lei che ride e disprezza tutti."
,"Erika, che aveva un forte desiderio di combattere, cercò immediatamente di provocare Beato."
Furudo Erika,"""Non riesco a credere che quell'incompetente di Battler-san abbia raggiunto la verità del tuo gioco."""
{f:5:Beatrice},"""... Sono certa che mio Padre lo comprenda a fondo. È davvero bravo in questo genere di cose."""
Furudo Erika,"""... Sei davvero fortunata, no? Se Battler non fosse diventato Game Master, tu non saresti mai più resuscitata. O forse dovrei dire che sei molto sfortunata."""
{f:5:Beatrice},"""... Sfortunata?"""
Furudo Erika,"""Beh, dopotutto, ho intenzione di fartela pagare per la volta scorsa. Tu sei solo una delle illusioni di Battler, perciò distruggerò ogni parte di te e ti farò precipitare nell'abisso dell'oblio."""
{f:5:Beatrice},"""Nemmeno io posso permetterle una vittoria tanto facile. ... Io, uh, desidero avere un combattimento intenso e pulito."""
Furudo Erika,"""...???"""
,"A quel punto, tutti capirono che stava accadendo qualcosa di strano."
,"Non c'era dubbio che quella faccia, il vestito e i capelli appartenessero tutti a Beatrice."
,... Però... la sua espressione era differente.
,"Nonostante possedesse il volto di Beato, Beato non avrebbe mai mostrato a nessuno una tale espressione."
{f:5:Bernkastel},"""..."""
{f:5:Lambdadelta},"""... Tu... chi sei?"""
,Ci fu un pesante silenzio.
,... Lambdadelta parlò per tutti.
,"All'inizio, Beato aveva un viso sorridente ma serio. ... Ma quando si accorse che l'atmosfera si era fatta improvvisamente tesa, la sua espressione, alla fine, si rattristò, e chinò il capo."
Furudo Erika,"""Chi... sei tu?"""
Dlanor,"""... Lei sembra essere Lady Beatrice... ma è la VERITÀ...?"""
,"Persino Dlanor fu costretta a chiederglielo, nonostante la rudezza della domanda."
,Questo è quanto... quella donna... che sembrava essere Beato... non lo era.
{f:5:Beatrice},"""... Appaio in qualche modo differente... dalla Beatrice che ognuno si aspettava?"""
{f:5:Lambdadelta},"""Di cosa... stai parlando?"""
Furudo Erika,"""Aspetta un secondo, non dirmi che hai l'amnesia o qualcosa del genere...?"""
{f:5:Beatrice},"""Io... io sono nata da poco, perciò non conservo alcun ricordo. {n}C-Ciononostante, studierò a fondo... per diventare la Beatrice che tutti voi vi aspettate-"""
Ushiromiya Battler,"{a:c: ""Beato. ... Pensavo di averti detto di restare nella tua stanza.""}"
,La voce di Battler sbucò fuori dal nulla.
,... Il suo tono era un po' freddo. Il volto di Beato sembrava quello di una giovane ragazza che veniva sgridata.
,Con un vortice di farfalle dorate... apparve Battler.
,Il suo portamento e il suo aspetto erano adatti per il dominatore di questo gioco.
,... Ma aveva un'espressione cupa... e il suo sguardo era rivolto a Beato.
Ushiromiya Battler,"""... Torna nella tua stanza. Non dovresti stare qui."""
{f:5:Beatrice},"""V... Volevo semplicemente aiutarla al meglio delle mie possibilità, Padre..."""
Ushiromiya Battler,"""Va'. Nella tua stanza."""
,"Parlò sia con dolcezza, sia con forza. Battler non le lasciava spazio per controbattere."
,"Beato chinò la testa e fece un inchino, preparandosi a lasciare la stanza..."
Ushiromiya Battler,"""Inoltre..."""
{f:5:Beatrice},"""S-Sì, cosa desidera, padre?"""
Ushiromiya Battler,"""... Il mio nome è Battler. ... Non chiamarmi mai più in un altro modo."""
{f:5:Beatrice},"""... S... Sì."""
,Beato si sciolse in un turbine di farfalle dorate e sparì.
,Questa era la prima parte del racconto con Battler come Game Master.
,Le streghe avevano pensato che sarebbe arrivato con qualche vistoso e grande sviluppo... perciò erano tutte alquanto confuse.
,... La loro bocca aperta tardava a chiudersi.
{f:5:Bernkastel},"""... Questo piano è decisamente strano."""
Ushiromiya Battler,"""Perdonatemi. ... Voglio che dimentichiate cosa avete visto poco fa."""
Furudo Erika,"""Hmph, quindi, stai cercando di ingannarci con ciò? Stai pianificando di darci l'impressione sbagliata, come una nuova strategia del Vento del Nord e del Sole, non è così?"""
Dlanor,"""... È successo QUALCOSA?"""
Ushiromiya Battler,"""Non preoccupatevi. Non ha niente a che vedere con voi."""
{f:5:Lambdadelta},"""Capisco. Allora non ha nessuna importanza. Su, Battler! Per favore, inizia subito il nuovo gioco! Ci hai fatto aspettare così a lungo, ci stiamo annoiando!"""
Ushiromiya Battler,"""... Certo. Iniziamo il sesto gioco. ... Erika, e anche tu, Bernkastel. Questa sarà il mio racconto, la prova di aver raggiunto la verità riguardo Beatrice. ... Lambdadelta. Ti prego di sorvegliare questo gioco, come precedente Game Master."""
{f:5:Lambdadelta},"""Certamente, non vedo l'ora di iniziare. Il titolo?"""
Ushiromiya Battler,"""... ‘Dawn’. ... Ovvero, l'Alba della Strega Dorata."""
{f:5:Bernkastel},"""Ovviamente, il sole invernale affonda velocemente sotto l'orizzonte."""
Furudo Erika,"""Ovvio, mia padrona. Lo riporterò subito indietro per lei. Almeno il tuo titolo è {p:0:＜}good{p:0:＞}, Battler-san. Questo lo riconosco."""
Ushiromiya Battler,"""Sono felice che ti piaccia. ... Allora, incominciamo. Il sesto gioco inizierà adesso."""
,Battler annunciò solennemente l'apertura del gioco.
,"... A differenza dell'atteggiamento eccitato che aveva alla fine dell'ultimo gioco, in cui lui ed Erika avevano giurato di sistemare tutto, ora era estremamente quieto..."
{f:5:Featherine},"""... Ange. Beato sembra molto differente da come era in precedenza."""
Ushiromiya Ange,"""Anch'io sono sorpresa. ... Non ho idea di cosa stia succedendo. Infatti, non capisco nemmeno perché Beato sia resuscitata in primo luogo. Ho appena finito di leggerlo un momento fa... ma alla fine del racconto precedente, non è morta poco prima che Battler raggiungesse la verità?"""
{f:5:Featherine},"""Ci sono due tipi di morte in questo mondo. ... Uno di loro è quando una pedina viene portata via dalla tavola di gioco. Questa è solo una morte entro i limiti del gioco, e queste vite possono essere resuscitate più e più volte quando si ricomincia un gioco."""
Ushiromiya Ange,"""... Ed ecco perché le streghe sono così spietate quando si tratta di mietere quelle vite..."""
,"Per le streghe giocatrici, le vite dei personaggi che appaiono sulla tavola da gioco non sono diverse da pedine sulla tavola da gioco che mangiano gli altri pezzi e vengono mangiate."
,"Dopotutto, questi pezzi vengono preparati nuovamente quando comincia il gioco seguente."
{f:5:Featherine},"""Il Sakutarou di Maria ne è un ottimo esempio."""
Ushiromiya Ange,"""... Sakutarou è la pedina di Onee-chan...?"""
,Sì... ha senso.
,"Nella tavola da gioco che rappresenta la mente di Onee-chan, Sakutarou certamente esiste, ed è una pedina che sta sempre al suo fianco."
,"Sebbene nel mondo reale non sia altro che un peluche, sulla tavola da gioco di Onee-chan è una pedina in tutto e per tutto, senza alcuna differenza dalle altre."
Ushiromiya Ange,"""Ma... chissà. ... Potrebbe essere facile far rivivere una pedina nella tavola da gioco delle streghe... ma Onee-chan non è riuscita a far rivivere Sakutarou nel suo mondo."""
{f:5:Featherine},"""... È perché ha perso quel peluche completamente unico che rappresentava il suo medium. A causa di ciò, le condizioni dell'esistenza di quella pedina sono state violate, ed è diventato impossibile farlo rivivere nella tavola da gioco di Maria. ... Tu sei riuscita a far tornare Sakutarou sulla tavola da gioco solamente perché hai nuovamente soddisfatto le condizioni per la sua esistenza, non è così?"""
Ushiromiya Ange,"""... Vero."""
,Maria Onee-chan era incapace di resuscitarlo semplicemente perché aveva perso il peluche che rappresentava il suo medium.
,"... Se, come il resto della mia famiglia nella tavola da gioco di Beato, non avesse avuto bisogno di un ‘medium’ per lui, sarebbe riuscita a farlo rivivere quante volte voleva."
Ushiromiya Ange,"""Capito. ... Sakutarou potrebbe essere certamente considerato la pedina di Onee-chan. Almeno, finché il suo medium era a posto, sarebbe potuto essere resuscitato ancora e ancora."""
{f:5:Featherine},"""Corretto. Sin quando il suo medium è integro può essere resuscitato senza problemi. Questo è com'è la vita di una pedina..."""
Ushiromiya Ange,"""... Quello è il primo tipo di morte in questo mondo. ... Qual è la seconda?"""
{f:5:Featherine},"""È la morte degli esseri al di fuori della tavola da gioco. Continuando l'esempio di Sakutarou, questa sarebbe la morte di Maria."""
Ushiromiya Ange,"""Non la morte della pedina... ma della vera Onee-chan, giusto?"""
{f:5:Featherine},"""Non è necessario che sia morte. La perdita di interesse potrebbe sortire lo stesso effetto. ... Quando Maria crescerà e smetterà di giocare con i peluche, ‘Maria la giocatrice’ morirà. È veloce e facile, proprio come spegnere la TV quando ci si stanca di guardarla."""
Ushiromiya Ange,"""... Capisco. In questo caso, ‘Beato la giocatrice’ ha completamente abbandonato la volontà di vincere durante l'ultimo gioco... perciò è morta e scomparsa. {n}Se è così, e se Beato pensa di avere un'altra chance per sconfiggere di nuovo Onii-chan, tornerà alla vita, giusto?"""
{f:5:Featherine},"""A rigor di logica, è vero. È lo stesso per umani, streghe e persino dei. {n}Se perdono interesse o non se ne preoccupano, possono morire in qualunque momento. E se ne sono interessati nuovamente, possono rivivere in qualunque momento. ... Ciononostante, sebbene il concetto di tempo non esista nel mondo degli dei, che possono rivivere quando pare loro, nel mondo umano il tempo colpisce come una freccia, e non è così facile..."""
Ushiromiya Ange,"""Hai ragione. Saltare la scuola per un giorno potrebbe non essere un problema, ma se la si salta per tre giorni consecutivi, sarebbe davvero difficile convincere se stessi a tornare indietro."""
{f:5:Featherine},"""E cosa succederebbe se si prolungasse per un mese, un anno, un decennio? {n}E se durasse per mille anni, come nel mondo delle streghe?"""
Ushiromiya Ange,"""... Capisco. Se la si saltasse per un periodo di tempo così lungo, significherebbe la ‘morte’ nei confronti della società. ... Se rimanessi morto per così tanto tempo, non solo non riusciresti ad aggiornarti su tutto ciò che si è perso nel mondo, ma perderesti persino la motivazione che avevi quando hai abbandonato."
Ushiromiya Ange,"... Perciò, nonostante sia vivo, si potrebbe dire che sei morto una volta. {n}Non saresti mai... capace di essere la stessa persona di prima. Non resusciterebbe mai."""
{f:5:Featherine},"""Beato ha perso ogni speranza o possibilità di vincere. ... Sebbene lo sapesse, ha finto di non farlo, e ha continuato a combattere per molti, molti giochi. {n}Quindi, Beato non ritornerà. Le sue speranze sono state infrante. Ha speso tutta la volontà che avrebbe potuto usare per riottenere la volontà di combattere. {n}Per questo motivo... {p:1:quella Beatrice non rivivrà nuovamente.}"""
,"Quella Beato, che non faceva altro che stare seduta tutto il tempo con gli occhi vuoti nel quinto gioco... doveva essere il suo cadavere."
,Nonostante tutto era riuscita a rimanere sulla tavola da gioco... ma poi persino quel cadavere è stato spazzato via...
,"Se Beato fosse stata la Game Master al posto di Lambdadelta in quel momento, la stessa tavola da gioco sarebbe scomparsa, e tutto sarebbe finito."
,"Ora che ci penso, Beato iniziò a perdere la volontà di combattere verso la fine del quarto gioco."
,Quando Beato perde la sua volontà... il mondo di questo gioco scompare.
,"Tuttavia, le streghe volevano continuare a giocare nel mondo di quel tavolo da gioco, per cui Lambdadelta aveva legato Beato in quel luogo con la maledizione di quella catena."
,"Aveva usato quella catena per essere sicura che il tavolo da gioco non sparisse, anche se Beato perdesse la volontà di combattere."
,"Negli scacchi, questo equivarrebbe a togliere il limite di tempo per ogni turno, rendendolo infinito."
,"Tuttavia, tenere il gioco in pausa all'infinito sul turno di Beato farebbe morire quelle streghe per la noia."
,È per questo che Lambdadelta ha preso il posto di Game Master.
,"... Da allora, l'esistenza di Beato non era più una delle condizioni necessarie affinché il gioco esistesse."
,Probabilmente è per questo che le catene che la legavano al tavolo da gioco erano state rimosse.
,È questo spiega perché è scomparsa nel quinto gioco...
Ushiromiya Ange,"""... Quindi, quando Onii-chan è riuscito a raggiungere la verità... era in ritardo di un gioco per parlarne con Beato."""
{f:5:Featherine},"""Il quinto gioco era una specie di carità da parte di Lambdadelta. {n}Ha a malapena dimostrato a Battler della pietà come Strega della Certezza, riconoscendo il suo forte desiderio di raggiungere la verità a tutti i costi..."""
Ushiromiya Ange,"""... Come puoi chiamare pietà una cosa così? Sono solo quelle streghe infide che ammazzano il tempo. ... Torniamo al punto. Quindi, questo significa che quella strana Beato non è Beato la giocatrice. È solo una pedina Beato."""
{f:5:Featherine},"""Vero. ... Se questo fosse il caso, diventerebbe la Beato che tutti conoscono. ... Immagino che questa sia la Beato che Battler vuole..."""
Ushiromiya Ange,"""... Intendi dire... che non era soddisfatto con una semplice bambola?"""
,"Quando giochi con le bambole, puoi proiettare su di loro la personalità che più ti soddisfa."
,"... Tuttavia, dato che le interpreti, non può succedere nulla di imprevisto."
,Non puoi sperare in una felicità inaspettata.
,"Nel mondo umano, non c'è nulla di più noioso di un'armonia prestabilita."
,"È per questo che, anche se una bambola può diventare la migliore amica del mondo... le persone si annoierebbero per poi liberarsene..."
,Onii-chan vuole soltanto la vera Beato.
,Non potrebbe sopportare di avere una bambola che agisce soltanto come Beato...
{f:5:Featherine},"""... Una Beato nata come la pedina di Battler probabilmente si muoverebbe secondo i desideri di Battler."""
Ushiromiya Ange,"""È una pedina, per cui è naturale. Le pedine si muovono secondo le indicazioni dei propri giocatori. ... E sono incapaci di muoversi in altro modo. {n}Capisco cos'è che vuole Onii-chan. Allora, chi diavolo è questa strana Beato?"""
{f:5:Featherine},"""... Forse Battler sta cercando di far rivivere Beato nel vero senso della parola. {n}È il sogno immortale dei figli degli uomini."""
Ushiromiya Ange,"""Hai appena usato il rosso per dire che non sarebbe stato possibile."""
{f:5:Featherine},"""... ‘Quella Beato’ non ha possibilità di rivivere. Tuttavia, ciò non significa che è impossibile per ‘Beato’ rinascere... te ne sei dimenticata? Credo che Bernkastel stessa abbia rivelato la vera forma di Beato alla fine del primo gioco..."""
Ushiromiya Ange,"""... Ora ricordo. ... Aveva detto qualcosa riguardo al fatto che Beato esiste come incarnazione delle regole."""
{f:5:Featherine},"""Le informazioni iniziano ad accumularsi basandosi su quelle regole, e alla fine, prendono la forma della strega conosciuta come Beatrice. Se questo percorso viene seguito ancora una volta, nascerà la stessa Beatrice, e magari qualcuno potrebbe chiamarla resurrezione..."""
Ushiromiya Ange,"""... In altre parole, quella strana Beato... è come un uovo di Beato... o magari un pulcino."""
{f:5:Featherine},"""Questa interpretazione è accurata... in breve, questa Beato è un pulcino che potrebbe diventare Beato."""
Ushiromiya Ange,"""E questo significa... questa pura e amabile bambina potrebbe trasformarsi in quella perversa strega schizzata."""
,"In altre parole, quella Beato è la versione neonata della Beato che noi tutti conosciamo."
,"Quindi, proprio come ogni persona non nasce cattiva... neanche la Beato neonata è cattiva."
,Anche se è davvero una persona diversa... se la misuri dalle sue basi... la sua anima... allora forse puoi davvero definirla una resurrezione.
,... Tuttavia... questa realtà non è per niente facile da accettare.
,"Anche se tecnicamente può essere Beato stessa... è anche, senza dubbio, una persona diversa."
,E il modo in cui si comporta... fa capire a tutti che c'è qualcosa che non va...
{f:5:Featherine},"""Com'è interessante... sentirti leggere ad alta voce è tutto meno che noioso."""
Ushiromiya Ange,"""... Mi chiedo se davvero ti serva qualcuno che legga ad alta voce per te. {n}Sembra che tu sappia già tutto."""
{f:5:Featherine},"""Ci sono arrivata soltanto perché sono impegnata in una conversazione con te. ... I miei pensieri sono più numerosi delle stelle nel cielo. Solo che ad una figlia di uomo come te appaio come una persona che sa ogni cosa. ... Tuttavia, senza di te qui, non sono altro che una debole persona ammalata senza neanche il potere di pensare..."""
Ushiromiya Ange,"""Se lo avessi detto dall'inizio, avrei accettato di leggere per te molto più facilmente."""
{f:5:Featherine},"""... Il mio umore è appena migliorato. ... Non sopravvalutarti troppo. Penso alla tua vita come nient'altro che una foglia perduta da qualcuno dopo averla usata come segnalibro..."""
Ushiromiya Ange,"""‘Per favore continua a leggere’. È più o meno questo che stai cercando di dire."" Ok?"
{f:5:Featherine},"""Heh... tutt'altro che noioso. ... Sei davvero una miko eccezionale."""
,"Featherine dondolò un po' sulla sua sedia e guardò il soffitto, ridendo come se la conversazione stessa fosse piacevole per lei."
,Ange stava lentamente capendo come comportarsi con questa strana strega.
,... Anche questa persona era... annoiata.
,"Quando una persona malata è stata a letto per molto tempo e si annoia troppo, a volte si comporta in maniera ribelle. D'altra parte, si annoiano un po' ad essere trattati con gentilezza tutto il tempo."
,"Potrebbe voler essere rispettata per la sua superiorità, ma probabilmente per lei è più interessante essere trattata brutalmente."
,... Che coincidenza. Anch'io ero proprio così.
Ushiromiya Ange,"""Comunque. ... Da ciò che abbiamo imparato nel quarto gioco, non ci sono dubbi che ci sono state delle avversità tra Beato e Onii-chan in passato. {n}Imparare qualcosa di questa Beato potrebbe darci una chiave per raggiungere la verità."""
{f:5:Featherine},"""Così pare. ... Ha catturato la mia attenzione. ... Leggiamo anche la sua storia."""
Ushiromiya Ange,"""Oh, certo, come desidera, mia padrona."""
,"Quando Ange alzò la sua mano come un direttore, gli scaffali in quello studio bizzarro risposero."
,"... Ancora una volta, diversi libri volarono via e iniziarono a vorticare intorno ad Ange..."
,Lo studio di Kinzo è la stanza del padrone nel mondo umano.
,"Quindi, questo studio nel mondo dei non umani apparteneva al padrone del tavolo da gioco... ed era un posto da cui poteva osservare gli umani..."
,"Quindi, era possibile che qualcuno scambiasse l'imponente uomo col mantello al centro dello studio per Kinzo, anche solo per un secondo."
,Non era Kinzo.
,"... Era Battler, colui che aveva preso la posizione di Game Master ed era diventato il padrone del territorio in questo mondo."
Ushiromiya Battler,"""..."""
,"Attorno a Battler vi era un vortice di Frammenti scintillanti, che brillavano come il cielo notturno... e sul pavimento vi era quello che sembrava un cerchio magico rosso."
,"Ad un estraneo, sarebbe apparso come niente di più che un'assurda figura geometrica."
,"Ma per Battler, che vi era al centro, era la linea guida di una nuova storia..."
,"Una nuova linea si fece spazio nel mezzo del cerchio magico, seguendo lo sguardo di Battler."
,"Quindi, nell'istante in cui si collegò al resto della complessa figura, l'intero cerchiò magico brillò di una forte luce."
Ushiromiya Battler,"""... Allora... come ti sembra?"""
Ronoue Genji,"""Splendido, Padrone. ... Il sesto gioco è completo."""
,"Mentre Battler si asciugò la fronte e finalmente si rilassò, Genji, che era alle sue spalle controllando ogni sua mossa, si inchinò profondamente come risposta."
Ushiromiya Battler,"""... Ho sempre pensato che essere il Game Master significasse creare una storia in qualunque modo volessi... ma questo è davvero più difficile di quanto avessi pensato."""
