Speaker,Italian (IT)
{f:5:Beatrice},"""...Che tipo di tè nero dovrei preparare per dopo? Permettimi di esporre ogni varietà di tè raffinato che sia mai stato realizzato."""
,"""...Tè nero all'umeboshi... Quello da 200 yen a pacco."""
{f:5:Beatrice},"""Mhmhmh...! Ho gustato tè nero per mille anni, ma non conoscevo una varietà del genere... Non mi stancherò mai di vivere in questo mondo."""
,"""...Beato. Non c'è bisogno di mostrare così tanta ostilità. Io sono una strega errante. Non sono venuta qui con l'intento di violare le regole del tuo dominio."""
{f:5:Beatrice},"""...Mhmhmhmh, da parte mia non c'è nemmeno un grammo di ostilità...{n}È solo che ci tengo molto a non commettere errori dinanzi a Lady {f:5:Bernkastel}, la strega leggendaria."""
{f:5:Bernkastel},"""...C'è stato un malinteso. Io sono impotente. Sono del tutto impotente di fronte ad una strega del tuo calibro, che possiede lo spaventoso potere di uccidere un individuo centinaia di volte."""
{f:5:Beatrice},"""Ciò che è sconcertante è che un'impotente nobile Strega come te possegga un potere che nessuno può rivaleggiare. Dopotutto, sei stata l'unica a sconfiggere con le tue sole forze quella Grande Strega, Lady {f:5:Lambdadelta}."""
{f:5:Bernkastel},"""...Ho solo vinto una gara di resistenza. Quella ragazza si è semplicemente stancata."""
{f:5:Beatrice},"""Non è quello che dice Lady {f:5:Lambdadelta}... Mhmhmhmh, un'eccessiva modestia può risultare sconveniente, sai, Lady {f:5:Bernkastel}?"""
{f:5:Bernkastel},"""...Quella ragazza possiede un potere sbalorditivo... Il potere di uccidere un individuo in modo {i:infallibile}. Tuttavia, a questo mondo non esiste nulla di infallibile. Non importa quante volte si divida il numero 1, non si potrà mai ottenere uno zero."""
{f:5:Bernkastel},"""Quella ragazza detiene il potere di creare una {i:certezza quasi assoluta}, portando le probabilità di fallimento a {i:quasi zero}... Non voglio lottare contro una strega terrificante come lei per una seconda volta."""
{f:5:Beatrice},"""Tuttavia, tu hai il potere di compiere qualcosa senza fallire, {i:fintanto che le probabilità non siano pari a zero}... Sebbene affermi che a questo mondo non esiste nulla di infallibile, tu stessa possiedi un potere infallibile...{n}Davvero terrificante, mhmhmh...!"""
{f:5:Bernkastel},"""...Il potere di uccidere un individuo {i:all'infinito}... Penso che il tuo sia il più spaventoso."""
{f:5:Beatrice},"""Non prendermi in giro... Dal tuo punto di vista, il mio è un potere insignificante. Questo è quello che verrebbe chiamato un futile elogio."""
{f:5:Bernkastel},"""...Il mio è un complimento per compensare il costo del mio soggiorno...{n}Sono una viaggiatrice in fuga, che attraversa i {ruby:Kakera:Frammenti} per scappare dalla noia... Sono venuta qui semplicemente perché ho sentito che avevi iniziato qualcosa di interessante. Non preoccuparti, deciderò di andarmene non appena lo troverò noioso."""
{f:5:Beatrice},"""Mhmhmh...! Io, {f:5:Beatrice}, sono profondamente onorata di avere come spettatrice la Grande Lady {f:5:Bernkastel}. Mhmhmhmh! Allora, che impressioni hai avuto?"""
{f:5:Bernkastel},"""...A causa della sua immensa crudeltà, {f:5:Lambdadelta} è una ragazza terrificante, ma posso capirla... A prima vista sei una persona affettuosa, ma non riesco proprio a capirti. È per questo che sei molto più terrificante di lei."""
{f:5:Beatrice},"""Mhmhmhmhmh...! Sono capricciosa di natura. Perdonami... Tra l'altro, anche a te piace affidare il tuo fato ai lanci volubili del dado, vero, Lady {f:5:Bernkastel}?"""
{f:5:Bernkastel},"""...Quando io lancio il dado, mi è chiaro ciò che voglio ottenere. Al contrario di te.{n}I tuoi dadi, invece, non lasciano mai il palmo della tua mano."""
{f:5:Bernkastel},"""E qualunque esito verrà fuori, non rimarrai mai delusa. E qualunque risultato mostrerà il dado, ne sarai soddisfatta in maniera {i:infallibile}... Tu mi sorpassi di gran lunga in tal senso..."""
{f:5:Bernkastel},"""...Con te non vorrei mai combattere. Dentro di te, non c'è altro che lo zero.{n}È per questo che con il mio potere non posso vincere contro di te...{n}La nostra compatibilità è la peggiore... D'altro canto, {f:5:Lambdadelta} ha una buona compatibilità con te. Visto che potrebbe essere capace di uccidere il tuo {i:infinito}."""
{f:5:Beatrice},"""Mhmhmhmh, mhmhmhmhmhmh...! In fin dei conti, le streghe sono le persone migliori con cui bere del tè. Non ci si annoia mai. Mhmhmhmhmh!"""
{f:5:Bernkastel},"""...Allora sono sollevata. La noia è l'unico veleno capace di uccidermi...{n}Perciò, non uccidermi, d'accordo? Lady {f:5:Beatrice}, Strega dell'Infinito."""
{f:5:Beatrice},"""Se questo è il tuo desiderio, io, {f:5:Beatrice}, ti mostrerò qualcosa di migliore..."""
{f:5:Beatrice},"""In tal caso, non sarebbe meglio se preparassi subito la prossima scacchiera?{n}Sono convinta che la prossima storia ti farà ancor più piacere di un'altra tazza di tè nero."""
{f:5:Bernkastel},"""..."""
{f:5:Beatrice},"""Aspetta un altro po'... Mhmhmhmh!"""
{f:5:Bernkastel},...Sembra che sei stato preso di mira da una seccatura.
{f:5:Bernkastel},"Mi piacerebbe molto concederti il mio potere, ma come hai sentito, il potere di quella ragazza e il mio hanno una pessima compatibilità. Mi dispiace per te."
{f:5:Bernkastel},"Ma visto che sei davvero patetico, ti presterò un po' del mio potere..."
{f:5:Bernkastel},"Prima di tutto, riguardo quella ragazza."
{f:5:Bernkastel},"Il suo nome è {f:5:Beatrice}, ma ciò non significa che sia {i:una singola donna}."
{f:5:Bernkastel},"Capisci cosa intendo? In altre parole, non è un'{y:0:Umana}{n:0:umana}. La sua esistenza è una personificazione delle regole di questo mondo."
{f:5:Bernkastel},"Per batterla, devi scoprire le regole di questo mondo, e poi svelarle."
{f:5:Bernkastel},"Per fare un paragone, è come imparare le regole degli scacchi guardando una partita."
{f:5:Bernkastel},"Per prima cosa, osserva bene la scacchiera.{n}Poi, apprendi i movimenti ed i ruoli delle pedine.{n}Ed infine, cerca le condizioni richieste per vincere al suo gioco."
{f:5:Bernkastel},"Quando le svelerai, il suo cuore verrà esposto.{n}Dopodiché, potrai strapparlo o schiacciarlo a tuo piacimento..."
{f:5:Bernkastel},"Sono stata generosa con te. In passato, quando avevo un corpo umano, ci ho messo centinaia di anni per rendermene conto."
{f:5:Bernkastel},"Questo è il mio piccolo regalo d'addio per te, povera anima catturata da Beato. È proprio come un cucchiaio."
{f:5:Bernkastel},"Un cucchiaio puoi usarlo non solo per bere della zuppa.{n}Puoi usarlo per scavare attraverso la prigione di pietra in cui sei stato rinchiuso, o come arma per cavare gli occhi della strega..."
{f:5:Bernkastel},"Ovviamente, puoi anche usarlo per sorseggiare all'infinito la tua zuppa annacquata, tra le mura di pietra della tua eterna prigione..."
{f:5:Bernkastel},"Non farti un'idea sbagliata, non ho alcuna intenzione di diventare una tua alleata."
{f:5:Bernkastel},"Ti compatisco, ma non ti aiuterò...{n} È come se fossi seduta davanti al televisore: non importa quante volta io urli ad un personaggio dall'altra parte dello schermo, la mia voce non lo raggiungerà mai."
{f:5:Bernkastel},"{a:c:DOPOTUTTO, SAI CHE ANCH'IO SONO UNA STREGA, VERO?}"
{f:5:Bernkastel},"Intendo gustarmi questa storia infinita che Beato sta tessendo, finché non me ne stancherò. Ma non basterà a tenere vivo il mio interesse..."
{f:5:Bernkastel},È per questo che ti presterò il mio potere. Così non mi annoierò.
{f:5:Bernkastel},"Io sono la strega più crudele del mondo.{n}Qualunque sia il mio avversario, io lo piegherò senz'altro..."
{f:5:Bernkastel},"Anche se fosse {f:5:Beatrice}, la Strega dell'Infinito, chiaro...?"
{f:5:Bernkastel},"Tu sei la mia pedina. Fai del tuo meglio.{n}La terrò all'oscuro, e ti darò dei consigli di tanto in tanto."
{f:5:Bernkastel},"Non annoiarmi, va bene...?"
{f:5:Bernkastel},Uhuhuhuh...
