Speaker,Russian (RU)
,"......Шум ветра — единственное, что было слышно."
,"Звук беды, достаточно сильный, чтобы приносить печаль и беспокойство тем, кто его слышит."
,Медленно...... я пришёл в себя.
,Я наконец очнулся на кровати с твёрдым матрасом...
,Опять же...... где я?..
,"Не могу вспомнить, но смутно припоминаю...... что не должен оставаться здесь."
,Комнату освещал тусклый свет.
,"Свет был, но он только сильнее выделял мрак и ужас этой комнаты."
,"На окне не висели занавески, однако снаружи было слишком темно, чтобы всматриваться."
,"Когда я искоса посмотрел на ту кромешную тьму...... мне показалось, будто оттуда на меня смотрит лесная ведьма... и я в страхе отвёл взгляд от окна."
,"......Я не вижу и не слышу...... но чувствую, что если покину эту комнату, станет ярко и тепло, и за ней точно будет кто‐нибудь ещё."
,Нужно сейчас же добраться до остальных......
,Плохие воспоминания из моего детства били ключом.
,"Ужасные, суровые воспоминания о том, как я задремал на семейной конференции и меня отнесли спать в незнакомую комнату. Я помню, как проснулся там совсем один, всхлипывая..."
,Мне...... нельзя оставаться в этой комнате.
,"Да, нужно скорее выбраться отсюда."
,Я больше ни на секунду не хочу здесь задерживаться.
,Мне страшно. Жутко. ......Где все?{n}Хочу сейчас же уйти отсюда...
,"Я открыл дверь, стремясь покинуть комнату."
,"Через дверную щель просочился тёплый свет.{n}......Как я и думал, коридор был полон утешительного света."
,"Я не слышу их, но чувствую, что вдалеке радуются люди."
,......Все наверняка собрались в комнате напротив этой.
,"......А я заперт в этой одинокой, жуткой комнате...... совсем один."
,Нужно скорее уходить.
,"Как только я об этом подумал, раздался беспощадный металлический звук, и дверь отказалась открываться дальше."
,.........Висела цепочка.
,Я всегда ненавидел такие замки.
,Обычный замок можно открыть просто покрутив.
,"......Но цепные замки сделаны так раздражающе, что с ними легко не справишься."
,...Поэтому я ненавидел их ещё с детства.
,".........Видите? ...Даже эта цепочка... доставляет мне неудобства, и я никак не могу её снять."
,Почему так? Я просто хочу сейчас же уйти из этой жуткой комнаты...
,Всего лишь по другую сторону тонкой двери всё купается в тёплом свете...
,Не могу снять... Никак не могу снять эту цепочку.
,"Чем больше нарастало отчаяние, тем более тревожный мрак подступал к моей спине, и мне становилось всё страшнее..."
,......Тогда я наконец заметил.
,С этой цепочкой...... что‐то не так.
,"......Да, это цепочка, ...но не цепной замок."
,"Это просто цепь, приделанная к двери так, чтобы её нельзя было открыть шире..."
,"Значит, она предназначена не для того, чтобы её открывать."
,"""Ка... ......какого чёрта?.. Кто такое сделал, чтоб его..."""
,"Что бы я ни делал, сколько бы ни пытался, я не мог ни вытащить крепёж, ни снять цепочку, ни сломать механизм."
,"Эта дверь не более чем рот демона, который сначала наводит меня на мысль, что он откроется, а потом рушит мои надежды."
,"И всё же, всего лишь открыв эту дверь, я смогу выйти в приятный коридор...... Это желание чуть ли не приклеило мою руку к дверной ручке."
,Но всё было напрасно.
,"Цепь и крепёж были слишком тверды — они звенели, но не давали двери открыться шире."
,"Даже если я через щель видел уютный коридор, у меня не было возможности открыть дверь."
,"Возможно, если я закричу, кто‐нибудь придёт..."
,"Может, дверь легко открывается снаружи..."
,Подумав об этом...... я попробовал позвать на помощь...... но из меня будто выбили дух.
,"Я мог открыть рот со словами 'Кто‐нибудь, подойдите сюда', но с моих губ не срывался голос."
,"Что... за чёрт?!{n}Кто‐нибудь, придите... Почему я не могу закричать?!"
,Помогите помогите помогите.
,"То, что я не могу позвать на помощь вслух, даже страшнее."
,"Если обернусь...... ведьма, которая вглядывается в комнату из темноты снаружи...... на этот раз может стоять за моей спиной...... Жутко, страшно страшно страшно..."
,"Кто‐нибудь, помогите мне, помогите..."
,"Я не могу выйти, не могу выйти..."
,"Выпустите меня...... из этой комнаты...... Помогите, мне страшно страшно страшно, выпустите меня, выпустите меня, выпустите, помогите помогите помогите......"
,"""Леди, похоже, они пришли."""
,"""Э? .........Oх........."""
,Амакуса провёл пальцем по моей щеке.
,"Я сразу же очнулась от дремоты, в которой только что пребывала."
,"Я бросила злой взгляд на Амакусу, разбудившего меня таким жутким образом, но он лишь притворился дурачком."
,Где...... я?
,Напоминает гостиную в богатом доме...... но я совсем его не помню.
Ushiromiya Ange,""".................."""
,Где...... я?.....И...... почему я......
Amakusa Juuza,"""Никак не проснётесь, леди?"""
Ushiromiya Ange,"""......Да, извини. Где мы?.."""
Amakusa Juuza,"""Э?"""
,"Видно, он не ожидал, что я забуду нечто подобное только из‐за полусонного состояния. ......Соглашусь, довольно странно."
,"Почему я в гостиной, которую не узнаю?"
,"Те, о ком упомянул Амакуса, подошли прямо к противоположной стороне двери."
,"Я слышала разговор. Кажется, женщины..."
,"Судя по кофе и лёгким закускам, разложенным передо мной, я здесь гостья."
,"Тогда мне лучше вспомнить, зачем я пришла сюда...... или хотя бы к кому я пришла..."
,Кто я? Уширомия Энджи.
,Кто стоит за мной?
,"Амакуса Джууза. Тот, кто когда‐то охранял меня.{n}Теперь он телохранитель Оконоги, приставленный ко мне."
,"......Всё это происходит...... после смерти тёти Евы...... когда я оторвалась от своих преследователей......... и отправилась в дорогу, чтобы узнать о произошедшем 12 лет назад?.."
,......Правда?.....У меня же есть такие {i:воспоминания}?..
,"После стука дверь открылась, и вошла горничная вместе с женщиной, к которой я пришла."
,"......Приехали. ...Даже увидев её лицо, я не могу вспомнить, кто она."
,"""Простите, что так долго. Хачиджо Тойя."""
,Какое облегчение. Горничная первым делом представила мне её.
,"...И я наконец вспомнила, кто она такая..."
,"'Она'? Я была уверена, что 'он'......"
Amakusa Juuza,"""Простите... но вы?.."""
,"""Да. ......Я — Хачиджо Тойя ({p:0:八城十八})."""
Amakusa Juuza,"""Журналы рассказывали о вашей раздаче автографов. Предположительно, автор — таинственный мужчина, появившийся в тёмных очках и маске... Никогда бы не подумал, что вы женщина...... Как это понимать?"""
Hachijo Tohya,"""......Он был козлом отпущения, посланным издательством. В подписании книг я была помощницей, стоящей за его спиной."""
Amakusa Juuza,"""Хех, ничего себе......... Я не читал ваши работы, но вы наверняка ещё загадочнее своих книг."""
Hachijo Tohya,"""Мои читатели только делают вид, что читают мои книги. ......Они покупают их по имени автора и новинкам и думают, что читают."""
Hachijo Tohya,"""......Что бы я ни написала в своих книгах, они не читают всего. Только притворяются, что читают, чтобы выглядеть умными и хорошо осведомлёнными, чтобы идти нога в ногу с текущей модой. ......И я должна появляться перед ними? Зачем потакать таким ничтожествам?"""
Ushiromiya Ange,"""......Вот как. Вижу, вы и вправду...... та самая Хачиджо."""
,До чего эксцентричный человек...{n}Сомнений нет... Это та самая Хачиджо Тойя...
,"Хачиджо Тойя — писатель детективов, в последнее время ставший центром обсуждений."
,"Её книги весьма высоко оценили, но ещё больше внимания к ней привлёк её таинственный дебют."
,"В прошлом году она каким‐то образом сумела завоевать несколько наград за исключительные детективные романы, предлагаемые крупными издательствами, представив все свои работы под разными псевдонимами."
,"А после были одна за другой обнаружены несколько высоко оценённых анонимных работ, написанных ею в прошлом под вымышленными именами, и её популярность взлетела, а сама она стала ещё загадочнее своих книг."
,"Вопреки всему этому, сам автор никогда не появлялся на публике, и всё о нём было покрыто мраком. Однако несколько дней назад он наконец публично выступил для раздачи автографов, появившись в маске, скрывающей 'его' лицо, и привлёк ещё больше внимания общественности..."
,"......И всё же, даже это была ложь."
,"Учитывая её радикально нетрадиционный послужной список, неудивительно, что она вот так оскорбила своих поклонников."
Hachijo Tohya,"""Я тоже многое о вас знаю, Уширомия Энджи. Вас обсуждали на ток‐шоу..."""
Ushiromiya Ange,"""Уверена, ничего хорошего вы не услышали."""
Hachijo Tohya,"""Да. Совсем ничего. Вы нанимали людей, а потом увольняли их по своей прихоти, думали, что всё можно решить деньгами, а ещё вы — преступница и головорез."""
Amakusa Juuza,"""Звучит похоже. Хе‐хе‐хех!"""
Hachijo Tohya,"""Однако. ......Так уж вышло, что мне нравятся умные люди вроде вас."""
Ushiromiya Ange,"""......Поэтому вы согласились встретиться со мной?"""
Hachijo Tohya,"""Да. Только вам удалось выяснить, что Итойкукуро Рейгонаму ещё один псевдоним Хачиджо Тойи. Впечатляет..."""
Ushiromiya Ange,"""Итойкукуро Рейгонаму. Очень странный псевдоним. Но если соотнести японские слоги с цифрами, он читается как {nobr:{ruby:i:1}-{ruby:tou:10}-{ruby:i:1}-{ruby:ku:9}-{ruby:ku:9}-{ruby:ro:6}-0576}."""
,"11019960576.{n}Огромное число, равное 18 в восьмой степени."
,18 к восьми. 'Тойя но хачиджо'.
,......Вот так и получается 'Хачиджо Тойя'...
Hachijo Tohya,"""Хе‐хех...... прекрасно. Меня это впечатлило. По правде говоря, настолько, что я решила встретиться с вами лично. ......Добро пожаловать в мой особняк, дитя человека."""
,"Она разговаривала крайне снисходительно, но — может, из‐за её элегантных манер — это не особо раздражало."
,"Этот человек производил величественное впечатление, из‐за которого такой стиль речи выглядел почти естественным.{n}......По крайней мере, мне так показалось."
,"......Даже напомнило явление благородного создания, которому обычно не нужно появляться перед простыми смертными."
,"Я не её поклонница, поэтому, думаю, это доказывает, что её загадочная харизма явно не для смеха......"
,"Но я пришла сюда поговорить не с Хачиджо Тойей, писателем детективов."
,"......Меня интересует Итойкукуро Рейгонаму — таинственный веб‐автор, выпускающий работы только через интернет..."
,В японских частях интернета Итойкукуро — чрезвычайно известный охотник на ведьм.
,"Однако она не крупный авторитет, как профессор Ооцуки."
,"Она одна из тех 'фальсификаторов посланий в бутылках', которые всегда были центром энергичных дебатов..."
,"Фальсификаторы посланий в бутылках, как следует из названия, — это те, кто подделывает и кладёт в бутылки полные загадок послания, претендующие на историю об инциденте Роккенджимы."
,"Они утверждают, что обнаружили новое послание в бутылке, и выкладывают либо очень близкую поддельную историю, либо новую теорию со своим собственным толкованием правды, заявляя, что её написала Уширомия Мария."
,"Они открыто называют себя 'Уширомией Марией', пишут новые странные истории, словно были там и знают правду, и отправляют свои истории в новейшее море, созданное человечеством — интернет, — называя их третьим или четвёртым посланием в бутылке..."
,"Все первые фальсификаторы были либо обычными шутниками, либо мошенниками, обманывающими коллекционеров."
,"Однако в конце концов появились люди, заявившие, что разгадали загадки из посланий в бутылках и достигли 'правды', и работающие над созданием третьего или четвёртого послания в бутылке от Уширомии Марии, будто переехав на сторону рассказчика загадки."
,"Поскольку они переписывали историю ведьмы так, как сами хотели, иногда часть их теории получала широкую поддержку в сети. Многие верили в некоторые из этих творений и считали, что в них есть доля правды."
,"Более серьёзные охотники на ведьм открыто презирали таких людей, называя их фальсификаторами, фальшивомонетчиками или просто ведьмами."
,"Они утверждали, что узнали правду, но отказывались рассказать её и создавали поддельные послания в бутылках, словно проверяя всех остальных."
,"Неудивительно, что эти фальсификаторы сильно раздражали серьёзных Охотников на ведьм..."
,"Тем не менее, многие просто любили развлечься оккультной фантастикой Роккенджимы, а некоторые из них принимали эти творения за литературные произведения, радуясь расширению таинственной истории..."
,Среди всех фальсификаторов Итойкукуро один из самых уважаемых.
Ushiromiya Ange,"""Я читала. ......Конец Золотой ведьмы. ......Вижу, вам нравится убивать чужие семьи."""
Hachijo Tohya,"""За этим вы пришли сюда? Просто чтобы сказать это?.. Думаю, нет, последний потомок семьи Уширомия."""
,"В своей последней подделке, 'Конце', она убила семерых моих родственников — по крайней мере, в самой истории."
,"Нет, если учесть 'Альянс' и 'Банкет' — другие её подделки, — она снова и снова ужасными способами убивала большую часть моей семьи..."
,"Конечно же, я хочу пожаловаться."
,"Однако все её работы и по форме, и по степени завершённости известны как ближайшие к написанным самой 'Уширомией Марией' историям."
,"В первой подделке, 'Банкете Золотой ведьмы', Итойкукуро удалось показать всё, в том числе и побег Уширомии Евы в Кувадориан. Люди задавались вопросом, реальная ли это история Роккенджимы, и даже обсуждали её на ток‐шоу..."
,Пока что все эти истории не более чем электронный текст в интернете.
,"......Но в конце концов люди поймут, что Итойкукуро на самом деле Хачиджо Тойя."
,"Тогда эти работы станут работами 'того странного Хачиджо', и никто уже не будет считать их обычными фанатскими выдумками. Люди начнут интересоваться, действительно ли это третья бутылка с посланием, найденная и переделанная ею в историю. И тогда эти истории будут казаться ещё более странными и правдоподобными..."
Ushiromiya Ange,"""......Вы хитрите, да?"""
Hachijo Tohya,"""С чего такой вывод?"""
Ushiromiya Ange,"""Вы делаете так, чтобы ваши подделки были более загадочными и правдоподобными."""
Hachijo Tohya,"""А что значит правдоподобными?"""
Ushiromiya Ange,"""Когда вам станут доверять, ваши подделки возвысятся до уровня правды."""
Hachijo Tohya,"""Возвысятся до уровня правды? Хмф, как глупо. Моим работам это не нужно."""
Ushiromiya Ange,"""......Потому что ваши работы — правда, а не простые подделки?.."""
Hachijo Tohya,"""Верно. Они — правда, поэтому им не нужно до чего‐либо возвышаться."""
Ushiromiya Ange,"""Вы не Мария. Вас не было в тот день на Роккенджиме. Как вы можете так абсурдно заявлять, что это правда?"""
Amakusa Juuza,"""Леди, вам кровь ударила в голову."""
Ushiromiya Ange,"""Заткнись. Ничего подобного."""
Hachijo Tohya,"""*хи‐хи*......"""
,"Энджи поняла, что поддаётся эмоциям."
,Она вздохнула и пожала плечами...
Hachijo Tohya,"""Ваша причина приехать сюда. Она же не в том, чтобы кричать на меня за многочисленные убийства вашей семьи в моих подделках?.."""
,Хачиджо любезно улыбалась Энджи...... но снисходительно... или же как когда мать наблюдает за очень маленьким ребёнком.
,Энджи это поняла и не могла сдержать гнев.
,"Видимо, Амакуса всё понял."
,"Он подшутил над ней, чтобы они могли начать разговор с самого начала."
Hachijo Tohya,"""Вы ведь пришли сюда услышать... 'правду', которую я узнала?"""
Ushiromiya Ange,""".........Почему вы так уверены, что достигли правды?.."""
Hachijo Tohya,"""Потому что я поняла все эти истории."""
Ushiromiya Ange,"""А я спрашиваю, почему вы так в этом уверены."""
Hachijo Tohya,"""......Как думаете, Солнце вращалось вокруг Земли?"""
,Хачиджо вдруг заговорила о теории Птолемея.
,"......Энджи хотела сказать ей не отвечать вопросом на вопрос, но быстро поняла, что та имеет в виду."
Hachijo Tohya,"""......{y:0:Люд}{n:0:люд}и поддерживали теорию Птолемея. Однако в современную эпоху она была опровергнута. ......Значит ли это, что в тот момент, когда теория была опровергнута, Солнце остановилось, и Земля стала вращаться вокруг Солнца?"""
Ushiromiya Ange,"""......Конечно нет. Правда не меняется в зависимости от того, во что {y:0:Люд}{n:0:люд}и верят."""
Hachijo Tohya,"""Так же и в этом случае. Даже если мою теорию станут отрицать, она не изменится."""
,Некоторые учёные до Галилея выдвигали теорию Коперника.{n}......Но тогда было сложно объективно доказать её доступными в то время научными методами.
,Однако правда осталась неизменна.{n}'Земля всё равно по‐прежнему вращается вокруг Солнца'.
Ushiromiya Ange,"""......Хотите сказать, правда остаётся правдой независимо от того, можно ли её доказать?.."""
Hachijo Tohya,"""Именно. В будущем, когда наконец будет известна вся правда, люди вспомнят прошлое и поймут, что я уже раскрыла её."""
,"Энджи никак не могла смириться с позицией Хачиджо.{n}Она продолжала злиться, и время от времени Амакуса шутил, чтобы снова успокоить её."
,"И всё же, несомненно, Хачиджо — гений, собравший благодаря своей необычайной интуиции наиболее интересный взгляд на события, произошедшие на острове..."
,Вот почему Энджи захотела связаться с Итойкукуро и выслушать её точку зрения.
,"Но всё‐таки, как же ей повезло с этой встречей."
,"Энджи не была абсолютно уверена в том, что Итойкукуро — это Хачиджо Тойя. Она не думала, что издательство действительно свяжется с автором...... и кроме того, даже не мечтала, что таинственный автор в маске встретится с ней так скоро."
,"Чем больше она об этом думала, тем лучше понимала, что цепочка событий, приведших к этой встрече, есть не что иное, как чудо."
,......Да. Чудо.
,"......Ведь на самом деле издательство так и не связалось со мной, и на следующий день я покинула Нииджиму."
,............?
,.........Я уехала с Нииджимы и отправилась на Роккенджиму.
,......Потом отдала сестрёнке... Сакутаро.
,......А?
,.........Как Сакутаро оказался у меня?..
,............
,Все мои воспоминания о будущем спутались... Голова...... болит...
,"Сказав, что покажет Энджи кое‐что интересное, Хачиджо встала с дивана и направилась к письменному столу."
,"Когда она повернулась спиной, Амакуса спросил обеспокоенную Энджи, всё ли в порядке."
Ushiromiya Ange,"""......Эй, Амакуса. ......Как... давно я здесь?.."""
Amakusa Juuza,"""Что? Какая‐то вы странная. В чём дело?"""
Ushiromiya Ange,""".........Я не могу вспомнить, сколько уже сижу здесь."""
Amakusa Juuza,"""Никак не проснётесь?"""
Ushiromiya Ange,"""Да нет же. ......Я ведь попала на приём к профессору Ооцуки, но издательская компания так и не ответила мне по поводу Итойкукуро...... поэтому сегодня я так ничего и не сделала, верно?"""
Amakusa Juuza,"""Э?"""
Ushiromiya Ange,"""Амакуса...... ты ведь ходил за той большой чёрной сумкой?.."""
,"Точно. Перед тем как покинуть Нииджиму, мы с Амакусой на время разделились. ......Он сказал, что ему нужно забрать оружие у своего знакомого, и пошёл за той чёрной сумкой."
,Разве это было не...... сегодня?..
,О чём... я говорю?..
,В смысле...... я ведь поехала на Нииджиму...... встретила капитана Кавабату... и в магазине постельных принадлежностей......... Э? .........Что?..
Hachijo Tohya,"""......Что‐то не так?.."""
,Я вздохнула вслух из‐за замешательства и неопределённости?..
,"Хотя Хачиджо стояла ко мне спиной...... она медленно повернулась...... и улыбнулась, как будто заглянула мне в душу."
Ushiromiya Ange,"""Не... ......нет, ничего."""
,"Странные воспоминания, которые даже я не понимаю."
,Я попыталась скрыть замешательство......... но у Хачиджо почему‐то по‐странному блестели глаза...... словно она могла читать мои мысли.
Hachijo Tohya,"""Я несколько раз воскресила и убила вашу семью в разных подделках. ......Почти как ведьма."""
Ushiromiya Ange,"""Воскрешать и убивать сколько захочешь. .........Бесконечно. Словно {f:5:Беатриче}..."""
Hachijo Tohya,"""Да, верно. ......Так что последуйте примеру всех тех людей в интернете и рассмотрите вероятность того, что я ведьма."""
,Она достала из запертого ящика толстый коричневый конверт.
,Он был до краёв забит печатной бумагой.
,"......Наверное, рукопись одной из её работ."
,И на конверте было аккуратно написано пером...... 'Рассвет'.
,Нет подделки с таким названием.{n}......Значит...
,"......Энджи поняла. Это новая.{n}Новая, неизданная подделка Хачиджо......"
Ushiromiya Ange,'Рассвет Золотой ведьмы'...
Hachijo Tohya,"""Для таких всезнающих, как я, всё скучное. ......Но я не против давать несведущим читать мои работы, чтобы посмотреть на их реакцию. ......Поэтому я хочу, чтобы ты её прочитала."""
Ushiromiya Ange,"""......Хотите, чтобы я прочитала вашу новейшую работу, которую вы создали как новая Ведьма Бесконечности?"""
Hachijo Tohya,"""Правильно, дитя человека. Независимо от того, негодовать ты будешь или же восхищаться, ты поможешь мне ненадолго забыть о моей болезни."""
Ushiromiya Ange,"""..................Может, положим конец этому фарсу? ...Кто вы? ......Не помню, чтобы я встречалась с вами."""
,"Да, я пыталась связаться с Хачиджо Тойей.{n}Но в итоге мне так и не выпал шанс встретиться с ней."
,"Иначе говоря, всё это ложь."
Ushiromiya Ange,"""Чья фигура я на этот раз?......Извини, но если, по‐твоему, Уширомию Энджи так легко приручить, ты глубоко ошибаешься."""
Hachijo Tohya,"""......Пф‐ф. ......*хи‐хи*хи‐хи*...... Да... как я и думала, ты интересна. Эхе‐хе‐хе‐хе‐хех..."""
,В конце концов она не выдержала и рассмеялась...
,Постепенно их начал окутывать странный фиолетовый туман...
,Сама комната крутилась и сгибалась...
,"Её фигура тоже скривилась...... и после того, как произошло неописуемое, она стала той, кем себя и назвала...... ведьмой."
,"""Великолепно. Ты раскусила мой трюк..."""
Ushiromiya Ange,""".........Да я просто магнит для ведьм. .........Все вы разговариваете с людьми одинаково снисходительно. Я сразу поняла, что ты ведьма."""
,"Писательницы, сидевшей на диване, нигде не было.{n}Пропал даже телохранитель Энджи, который в таких ситуациях должен быть рядом."
,"Была лишь нечеловеческая фигура в большом, богатом кресле‐качалке."
,"""Ты очень интересна, дитя человека. ......Твоя очаровательная сущность идеальна для избавления от скуки."""
Ushiromiya Ange,"""Вот уж в чём я не вижу ничего очаровательного. ......Почему я жива?...Разве меня не убили ужасным образом за то, что я нарушила правило не раскрывать своё имя?.."""
,"Впрочем...... я сомневалась, что они так просто меня отпустят."
,......В каком фарсе я должна буду принять участие на этот раз?
,"Мне всё равно. Я просто сделаю всё в рамках роли, которую они мне отведут... Всё, чтобы помочь братику."
,Конечно же я понимаю.
,......Даже в случае победы он никогда не вернётся ко 'мне'.
Ushiromiya Ange,"""Но всё равно...... я буду бороться. Я прослежу, чтобы братик вернулся ко мне того дня."""
,"""Не нужно терять самообладание. Я не прошу тебя стать фигурой..."""
Ushiromiya Ange,"""Тогда зачем ты позвала меня сюда? Только не говори, что хочешь, чтобы я прочитала твою новую историю."""
,"""Именно так. ......Мне не нужно, чтобы ты становилась моей фигурой. Я всегда была простым наблюдателем и не собираюсь липнуть к их игре..."""
Ushiromiya Ange,"""......Не понимаю. Что тебе от меня нужно?"""
,"""Будь моим наблюдателем. Наблюдателем фрагментов, сотканных {f:5:Беатриче}."""
Ushiromiya Ange,"""Наблюдателем?.. Не знаю, о чём ты, но так не пойдёт."""
,"""Раньше я наблюдала за фрагментами глазами Баттлера. ......Но он унаследовал позицию Владельца игры и больше не подходит. Я следую за этой историей с истинно важными намерениями. Пустая трата времени наблюдать за ней глазами нынешнего Баттлера. Как читать детектив с конца к началу..."""
Ushiromiya Ange,"""......Братик — Владелец игры? О чём ты говоришь?"""
,"""Естественно, ты не знаешь. Но ведь хочешь знать?......Я тоже хочу узнать. Какую историю создаст Баттлер, заняв позицию Владельца игры? ...Более того, поиск достигнутой им правды — часть моего умственного путешествия. .........Моя болезнь сильно на меня влияет. Когда я не думаю, моё сердце даже не бьётся..."""
Ushiromiya Ange,""".........В общем, ...ты хочешь, чтобы я вслух прочитала твою книжку с картинками?.."""
,"""Можно сказать и так. Взамен ты тоже сможешь принять участие в путешествии своего сознания. Даже ты вроде как ещё не узнала правду. .........Думаю, ты хочешь продолжить... путешествие в поисках правды."""
Ushiromiya Ange,"""Я ничем тебе не обязана."""
,"""Не испытывай удачу. Я могу быть мягкой время от времени, но обычно это не так..."""
Ushiromiya Ange,"""............"""
,Энджи тоже ещё не узнала правду.
,"Даже зная, что эта игра немногим больше игрушки для ведьм, она хотела возобновить её, чтобы последовать за историей и приблизиться к королю под названием 'правда'......"
Ushiromiya Ange,"""......Я могу следовать истории так, чтобы самой найти правду...... но я не обязана ради тебя читать её до конца. ...Ясно?"""
,"Энджи была готова прочитать историю вслух, но она может в любой момент перестать, если эта ведьма её взбесит."
,"Она, по сути, предупреждала ведьму не раздражать её..."
,"""Конечно. ......Ты называешь её книжкой с картинками, но для меня она — единственное лекарство от смертельной болезни. Мне не принять его без твоей помощи. ......Иными словами, взаимовыгодная договорённость."""
Ushiromiya Ange,"""......И ты хочешь, чтобы я читала тебе книжку, пока ты не заснёшь, а взамен ты позволишь мне тоже её прочитать. ......Так?"""
,"""Именно. ......Если ты согласна, я прошу тебя на время стать моим Читателем."""
Ushiromiya Ange,"""Конечно хорошо получить собственный титул, но читать книги — это правда всё, что ты от меня хочешь?"""
,"""Стать моим Читателем всё равно что стать моей знакомой. ......Всё, что будет направлено против тебя, будет направлено против меня. Я никому не позволю мешать моему единственному интересу — прочтению оставшейся истории {f:5:Беатриче}. ......Я не дам {f:5:Бернкастель}, {f:5:Лямбдадельте} или даже {f:5:Беатриче} направить силы против тебя..."""
,"Эта ведьма, которая выглядела почти что божеством, говорила и спокойно, и решительно..."
,В её словах не было угрозы.
,"......Но всё равно было ясно, что она на другом уровне, нежели {f:5:Бернкастель} и другие ведьмы, и что лучше не воспринимать её легкомысленно."
Ushiromiya Ange,"""Так ты предлагаешь мне защиту в обмен на прочтение твоей книжки?.."""
,"""Разумеется. Я хочу, чтобы ты прочитала мне её, ......и не пощажу никого, кто станет мешать."""
Ushiromiya Ange,"""............"""
,"""......Если моя позиция кажется высокомерной, я прошу прощения, дитя человека. Может, так и не скажешь, но я обращаюсь к тебе предельно уважительно."""
Ushiromiya Ange,"""Возможно. ......Даже этот ведьмин стиль речи... должно быть, более уважителен, чем всё то, что ты сказала за последние несколько сотен лет."""
,"""Когда берёшь книгу, ты говоришь 'большое спасибо', прежде чем листать страницы?.."""
Ushiromiya Ange,"""......Думаю, да. Я всё поняла."""
,"Просто согласившись на разговор с Энджи, она проявила невероятное уважение и готовность к компромиссу."
,"Энджи пожала плечами, но тоже кивнула в знак согласия."
Ushiromiya Ange,"""Ладно. ......Я стану твоим Читателем. Ты же, как‐никак, проявила уйму уважения, чтобы получить моё согласие."""
,"""Правильно понимаешь, дитя человека."""
Ushiromiya Ange,"""......Меня зовут Энджи. Ни 'дитя человека', ни как‐либо ещё."""
,"""Хе‐хе‐хе‐хех. ......Хорошо. В доказательство моего уважения к тебе, я признаю твоё имя."""
,"Для неё признать имя человека всё равно что признать имена листьев, разбросанных по земле."
,"Поэтому...... чудо, что она признала имя Энджи.{n}Нет, скорее, безмерно хорошая удача."
,"""...Отныне Уширомия Энджи будет служить Читателем и {c:86EF9C:мико} ведьме театра, {f:5:Фезарин Августус Авроре}. До тех пор, пока ты не закончишь читать, я ввергну в бедствие любого, кто попробует помешать твоей задаче."""
,"Когда ведьма театра, {f:5:Фезарин}, сказала это...... Энджи окружил яркий свет."
,"Она не почувствовала в себе никаких особых изменений...... но ей явно было дано что‐то, что ощущали только те, кто не относился к людям."
,Теперь Энджи привязана к ведьме театра.
,"Это не значит, что она получила какую‐то особую силу...... но, по крайней мере, всем тем, кто захочет навредить ей, сначала придётся иметь дело с {f:5:Фезарин}..."
Ushiromiya Ange,"""......У тебя очень длинное имя. Как у древнего римлянина. ......Как мне тебя называть?"""
{f:5:Featherine},"""Незнакомцы называют меня Августус Авророй."""
Ushiromiya Ange,""".........После всего твоего уважения логично будет ответить тем же. Буду звать тебя {f:5:Фезарин}. Возражения?"""
{f:5:Featherine},"""Никаких. ......Для больных ведьм вроде меня даже быть названными по имени — опыт, который будет храниться и обдумываться. Дитя человека."""
Ushiromiya Ange,"""У меня есть имя. Энджи."""
{f:5:Featherine},"""......Хе‐хех. Даже такие разговоры время от времени приятны. ......Энджи, моя мико."""
,Энджи приняла свою роль.{n}Она будет наблюдать за этой историей вместе с ведьмой театра.
,Занавес над шестой игрой поднимается......
