Speaker,Turkish (TR)
Ushiromiya Battler,"""Öncelikle, kilisenin kilitli bir oda olduğunu söylüyorsun. ...Kısa bir süre önce, ben de içeride biraz zaman geçirdim ve evet, gerçekten de kapı dışında herhangi bir giriş veya çıkış yolu bulamadım."""
Ushiromiya Battler,"""......Ama bu, {i:sadece bulamadığım anlamına gelir}—kilitli bir oda olduğunu kanıtlamaz!!"""
Ushiromiya Battler,"""Eğer bulamadığım bir ""gizli geçit"" ya da başka bir şey varsa, dayanak noktaların tamamen uçup gider! Başka bir deyişle, gizli bir geçit bulsam da bulamasam da, kilitli odaya girilmesini sağlayacak bir X yöntemini asla inkâr edemezsin!"""
Ushiromiya Battler,"""Ve bu X yöntemi büyü olmadan da gerçekleştirilebilir. Ne de olsa bu bir ""gizli geçit""! Eminim bu kilisede bulunması imkansız gizli bir geçit vardır. Bu yüzden tahminde bulunmaya başlamama bile gerek yok ve büyünün imkansız olduğunu söyleyebilirim!!"""
{f:5:Beatrice},""".........Hohoh, demek bu muhakeme tarzını kullanıyorsun. *cackle*cackle*, ne kadar safça."""
{f:5:Beatrice},"""Beklenen bir hamle. Ben de cevabımı vereyim. ......Değersiz insanların dedektiflik romanlarında yer alan ""kilitli odalar""ın her zaman saçma olduğunu düşünmüşümdür."""
{f:5:Beatrice},"""Neden mi? Çünkü yanlış şekilde kullanılıyorlar. ......Bir dedektiflik romanında ""kilitli bir oda"" ortaya çıktığında, bunun gerçekten kilitli bir oda olduğunu düşünüyor musun? Düşünmüyorsun, değil mi?!"""
{f:5:Beatrice},"""{i:Bunu kilitli bir oda gibi göstermek için hangi numarayı kullandılar}! İşte böyle düşünüyorsun."""
{f:5:Beatrice},"""Başka bir deyişle, insanlığın yüz yıl boyunca inşa ettiği tüm kilitli oda cinayetlerinden tek bir tanesi bile eksiksiz değil!!"""
Ushiromiya Battler,"""Oooh!! Ne konuşma ama—ama biliyorsun ki gizem hayranları oldukça korkutucu. Christie muhtemelen mezarında dişlerini gıcırdatıyordur!"""
{f:5:Beatrice},"""Hmph!! Ama ben farklıyım. Ben gerçek bir kilitli oda yarattım! Ve bunu kanıtlayabilirim. Nasıl mı? Ben bir cadı olduğum için!!"""
{f:5:Beatrice},"""Şeytan'ın İspatı için tek yapman gereken bunu kanıtlayacak bir şeytan getirmek, değil mi? Bu kullanışlı—bir cadı olarak, şeytanlar ve iblisler benim iyi dostlarım, istediğin kadar getirebilirim!!"""
Ushiromiya Battler,"""Kulağa harika geliyor!! ""Babam ve diğerleri kiliseye gizli bir kapıyı kullanarak girdiler ya da bir kapıdan içeri taşındılar""! Bu hamleyi nasıl yenmeyi planlıyorsun?!"""
{f:5:Beatrice},"""Bununla. Ölü ya da canlı olmalarına bakılmaksızın, altısı kesinlikle kapıdan girdi!"""
Ushiromiya Battler,"""Ha?!?! Salak!! Kapı kilitliydi, bunu nasıl yaptılar?!!"""
{f:5:Beatrice},"""Büyüyle açtım ve onları içeri davet ettim!!"""
Ushiromiya Battler,"""Böyle bir şey olamaz!! Büyüyü kabul edemem, o yüzden bunu kabul etmemin imkânı yok!! Yalan söylüyorsun!! O kapı bir numara ile açılabilir. Ya da belki gizli bir kapı var—başka türlüsünü kabul etmem!!"""
{f:5:Beatrice},"""......<Perpetual>!! Satrançta sonsuz hamle tekrarı denilen şey budur. Her iki tarafın da birbirlerinin iddialarının temelini inkâr etmesi ve tartışmayı ilerletememesi, bizim oyunumuzda hamlelerin bitmek bilmeyen bir şekilde tekrarlanmasıyla aynı şeydir."""
{f:5:Beatrice},"""......Çoğu oyunda bu durum beraberlikle sonuçlanırdı, ancak bu durum bu oyuna olan ilgiyi korkunç derecede azaltırdı!! Oyunumuzda beraberlik olmayacak. Özetle, ya beni kabul edecek ve bana boyun eğeceksin ya da eğmeyeceksin!"""
Ushiromiya Battler,"""En azından bu konuda seninle aynı fikirdeyim!! Bunu senin de arzu ettiğin gibi mutlaka halledeceğiz!!"""
{f:5:Beatrice},"""*cackle*cackle*! Bu tavır hoşuma gitti! .........Ve aklıma bir fikir geldi. Sanırım aramızdaki bu oyuna yeni bir kural ekleyeceğim."""
Ushiromiya Battler,"""Yeni bir kural mı?! ...Bahse girerim sana avantaj sağlayacak bir kuraldır, değil mi?!"""
{f:5:Beatrice},"""Tabii ki de hayır. Senin gibi insanların talep etmekten asla bıkmadığı şeyi sana vereceğim. Siz beceriksiz aptallar her zaman düşünmekten vazgeçer ve sonra da ""bilgi eksikliği"" diye sızlanırsınız! Daha sonra size bilgi verildiğinde de, ""dayanağı inkâr ederek"" bilginin doğru olup olmadığından şüphe etmeye başlıyorsunuz!"""
{f:5:Beatrice},"""Ne kadar kullanışlı değil mi? Kendi beceriksizliğinizi gizlemek için ne kadar da zekice kelimeler. Bu kullanışlı bahaneleri eleyeceğim. Bana teşekkür etmelisin, *cackle*!"""
Ushiromiya Battler,"""Kapıdan geçtiklerini söyledin, ve ben de bunun mümkün olamayacağını söyleyerek reddettim. ......Bunun kaçamak bir cevap olduğunu mu söylüyorsun?"""
{f:5:Beatrice},"""Evet. Yani şimdiden itibaren, {p:1:gerçeği söylerken kırmızı kullanacağım}."""
Ushiromiya Battler,"""B-Bu da ne demek......?! Açıklamaya devam et!"""
{f:5:Beatrice},"""Hangi büyülü hamleyi kullanırsam kullanayım, her zaman ""bilgi eksikliği"" ve ""dayanağı inkâr etme""yi tekrarlayarak kaçmaya devam edebilirsin."""
{f:5:Beatrice},"""...Bu şekilde eninde sonunda kazanacak olsam da, bu son derece sıkıcı olurdu. ......Bu nedenle, sana arzu ettiğin ""bilgiyi"" ve ""dayanağı"" vereceğim."""
{f:5:Beatrice},"""Ancak yine de, muhtemelen söylediğim her kelimeden şüphe duyacaksın. Bu kendi içinde kötü değil. Ayrıca boyun eğmen için mümkün olan her şeyi yapacağım. Kendi hedeflerimiz için en iyi hamlelerimizi arayıp bulma konusundaki tutumumuzdan hoşlanmıyor değilim."""
{f:5:Beatrice},"""......Ama bu bir oyun olmaz. Bu nedenle bu kuralı koydum."""
{f:5:Beatrice},"""{p:1:Kırmızıyla söylediğim her şey gerçektir}! Bundan şüphe duymaya kesinlikle gerek yok!"""
Ushiromiya Battler,"""Bana buna inanmamı mı söylüyorsun...?!"""
{f:5:Beatrice},"""Bu seninle benim aramda bir oyun. Bir oyunda, kurallar kutsaldır!! Bunları hafife alanlar oyunu oynamaya layık değildir!!"""
Ushiromiya Battler,"""Tamam, anladım, bu kuralı kabul ediyorum!! Bir ilkokul çocuğu bile sonu gelmez bir tartışmaya girebilir ve her şeyde bir hata bulabilir."""
Ushiromiya Battler,"""O zaman hemen şimdi yeniden başlayalım ve kaldığımız yerden devam edelim. Tekrar ediyorum. ""Babam ve diğerleri kiliseye gizli bir kapıyı kullanarak girdiler ya da bir kapıdan içeri taşındılar""!"""
{f:5:Beatrice},"""O zaman söylediklerimi tekrarlayacağım. ""{p:1:Ölü ya da hayatta olmalarına bakılmaksızın, altısı içeriye kesinlikle kapıdan girdi}""!"""
Ushiromiya Battler,""".........H-Herhangi bir kanıt var mı?!"""
{f:5:Beatrice},"""<Stop>!! Kuralı tamamlayacağım."""
{f:5:Beatrice},"""......Gerçeği söylerken kırmızı kullanacağım, ve {i:bunu yaptığımda kanıt göstererek bunu kanıtlama sorumluluğunu taşımıyorum}! Bu açıkça bir doğrudur ve gerçektir!!"""
{f:5:Beatrice},"""Sebebi basit. Tüm suçları büyü ile işliyorum. Yani herhangi bir imkansız suç için tek yapmam gereken gözlerinin önünde büyülü asamı sallamak."""
{f:5:Beatrice},"""Ama bu bir oyun olmaz! Bu, bir satranç oyununda zafer ve yenilgiyi görmezden gelip rakibini yumruklamak gibi bir barbarlık olur!"""
Ushiromiya Battler,"""G-......Gerçekten, bu doğru. ...Eğer bir cadı olsaydın, {i:kanıt göstermene gerek kalmazdı}. ......Çünkü büyüyle her şeyi yapabilirdin... Adice... Ne adaletsiz bir oyun...!"""
{f:5:Beatrice},"""Yani, bir kez daha devam edelim mi? Altı kişi kesinlikle kapıdan girdi. Kilidi büyüyle açtım. ......Bu büyüyü, bu kilitli odayı nasıl yeneceksin?!"""
Ushiromiya Battler,"""......A-Anahtar! Genji-san ve diğerleri sadece bir tane anahtar olduğunu söylediler ama bunu kanıtlamak imkansız! Suçlu gizlice anahtarı kopyaladı...!"""
{f:5:Beatrice},"""*cackle*cackle*cackle*cackle*! {p:1:Kilisenin yalnızca bir anahtarı var}!"""
Ushiromiya Battler,"""Arg...... O-O zaman peki ya bu? Suçlu, kapıyı açmak için orijinal bir anahtardan başka bir şey kullandı! Ne olduğunu bilmiyorum, ama belki bir tel! Kilit açmak için bir alet!!"""
{f:5:Beatrice},"""Bu safça hareket de ne? {p:1:Kilisenin kilidini, kilisenin anahtarından başka bir şeyle açmak imkansız}!! Elbette büyü gücüyle açılabilmesine rağmen...?"""
Ushiromiya Battler,"""Peki ya bu!! Kapının kendisinde bir sorun var! Kilitli olsa bile, geçmenin bir yolu vardı...! Bunun ne olduğuna gelince, aklıma birkaç yol geliyor!"""
Ushiromiya Battler,"""Belki de bir kalenin büyük kapılarının üzerinde daha küçük bir kapı olması gibi, burada da başka bir kapı vardı! İçeri girmeden önce menteşeleri söküp daha sonra tüm kapıyı yerinden çıkarmış olmaları da mümkün!!"""
{f:5:Beatrice},"""Wahahahahahahahahahaha! İnsanlığın yüz yıllık zekası bu mu, Battleeeeeeer?! {p:1:Kilisenin kapısı kilitlendiğinde, her türlü giriş ve çıkış yöntemi engellenmiş olur}!!"""
{f:5:Beatrice},"""Tabii büyü kullanamadığın sürece...? *cackle*! Şah mat zamanı geldi mi?!"""
Ushiromiya Battler,"""Yakın bile değil!! Altı kişinin ""kapıdan"" girdiğini söyledin, ama bunun ön kapı olduğunu söylemedin! Başka bir gizli kapıdan girmiş olabilirler!!"""
{f:5:Beatrice},"""Çok konuşuyorsun, seni beceriksiz aptal. O zaman daha önceki hamlemi biraz daha ilerleteyim. {p:1:altısı içeriye kesinlikle {i:bu ön kapıdan} girdi}!!"""
Ushiromiya Battler,"""Bu saçmalık!! Kapı kilitliydi, bu tek anahtarı kullanmadan kilidi açmak olanaksızdı ama yine de altı kişi de bu kapıdan mı içeri girdi?!?! Bunu nasıl yaptılar?!! Büyü mü dedin?! Kahretsin, kahretsin kahretsin kahretsin kahretsin kahretsin!!!"""
{f:5:Beatrice},"""Wahahahahahahaaah!! Bir insanın limitlerine çoktan ulaştık mı?"""
{f:5:Beatrice},"""Öyleyse <Resign> vakti!! Teslim olan oyuncunun böyle bağırması ve şahını devirmesi adettendir. Hadi, pes ediyor musun?! Öyleyse teslim olduğunu ilan et ve kralını devirirmiş gibi diz çök!!"""
{f:5:Beatrice},"""Ve sonra da ayakkabılarımı öp! Senin gibi bir adamı ayakkabılarımı yalamaya zorlamaktan daha büyük bir zevk olamaz, *cackle*cackle*cackle*cackle*kakaka{0}ka{0}ka{0}ka{0}ka{0}ka{0}kakaka!!"""
,".........Kahretsiiiiiiin... Bu hiç iyi değil, hiç iyi değil, hiç iyi değil...{n}Yani cadıya karşı kazanamıyor muyum...?!"
,Bu hiç de satranç değil—Bir satranç probleminde kaybeden taraf olmak zorunda bırakıldım...! Yapabileceğim en iyi şey ayrıntılar hakkında tartışmak ve bir beraberlik almak mı...?
{f:5:Beatrice},"""Bu kesinlikle olmayacak...! Ya ben teslim olacağım, ya da sen teslim olacaksın!! Bunlardan başka bir çözüm olmayacak!! Bunun ikimiz için de bir işkence olacağını söylediğin zamanki cesaretine ne oldu?!"""
{f:5:Beatrice},"""Bekle bekle bekle bekle, bu ne hayal kırıklığı, bu ne hayal kırıklığııı! Ushiromiya Battleeeeeeeeeeer...????"""
,"Kahretsin, ne yapmalıyım, ne?!! Görebiliyorum, kendimi mat olurken görebiliyorum...!!"
,"Aaaaaaaaah, hiç iyi değil, hiç iyi değil, güçlükle yaptığım tüm o hamleler şahımı umutsuzca hareket ettirip, mattan kaçmaktan başka bir işe yaramıyor."
," ......Ne kadar hareket edersem edeyim şah çekilmekten kurtulamıyorum. Yani sonraki birkaç hamleyi beklemeden bile, mat olacağımı görebiliyorum!! Aaaaaaaaaaaaaaaaaaaaahhh, kahretsiiiiiiiiiin.........!!"
,".........Birkaç hamle daha yaptıktan sonra, ......şat-mat olduğumu......görebiliyor muyum......?"
,.................................
,"......Pes etme, Ushiromiya Battler.{n}Eğer kendimi kapana kısılmış görürsem..."
,"......O zaman satranç tahtasını ters çevirebilir...... ve bir sonraki hamleyi tahmin edebilirim, değil mi...?"
,"Kyrie-san'ın dediğini hatırla... Bir şeyi düşünürken, sona ne kadar, ne kadar yakın olursan, ......onu tahmin etmek de o kadar kolaylaşır."
,Ters çevir.{n}......Satranç tahtasını...ters çevir...!!
Ushiromiya Battler,"""......................................................"""
{f:5:Beatrice},"""......Sorun ne? Birdenbire sessizleştin. Endişelenme. Teslim olmak sadece anlık bir utançtır. Sonrasında, sadece her şeyi oluruna bırakmanın zevki kalır..."""
{f:5:Beatrice},"""......*cackle*cackle*cackle*cackle*!! Haydi, teslim ol, haykır. .........Seni duyamıyorum... Gür bir sesle net bir şekilde söyle."""
Ushiromiya Battler,""".............Bu kadar gevezelik yeter. Dinlemeyi reddediyorsun. ...O yüzden bir kez daha söyleyeceğim. ......Teslim olmayacağım. ......Devam ediyoruz. Oyuna devam ediyorum."""
{f:5:Beatrice},"""...............Hoh. Pekâlâ. Sıra sende. ...*cackle*cackle*."""
Ushiromiya Battler,"""Koymuş olduğun bu kuralın kendi silahın olduğunu düşünme hatasına düştüm. ......Ancak, bunun benim için de bir silaha dönüşebileceğini fark ettim. ............Yani, her şey şuna geliyor."""
{f:5:Beatrice},"""Lütfen dene."""
Ushiromiya Battler,"""Bütün zamanımı kilisenin kilitli odasına nasıl girdiklerine odaklanarak geçirdim... .........Bu düşünce tarzı iyi değildi."""
Ushiromiya Battler,"""......Evet, hiç iyi değil, hem de hiç iyi değil. ......Satranç tahtasını ters çevir."""
Ushiromiya Battler,""".........Bu doğru. Düşüncelerimin yönü tersti. ......Şöyle düşünmem gerekiyor. ............İlk etapta kilitli bir oda olmayan kilise nasıl kilitli bir oda gibi gösterildi?"""
{f:5:Beatrice},"""İşte geldi. ......İnsanların yüzyıl önce ortaya çıkardığı düşünme tekniği. Denemekten çekinme, *cackle*cackle*!!"""
Ushiromiya Battler,"""...Bunu benim için kırmızıyla söyle. Eğer imkansızsa, reddet. ...İşte geliyor."""
,......Bu adam...savunma pozisyonunu tersine çevirmeye mi çalışıyor?{n}Küstahlık...
Ushiromiya Battler,"""Kiliseye girmenin tek yolunun kapıdan geçmek olduğunu...ve sadece bir anahtar olduğunu anladım. .........Ama bekle. ...Asıl soru, anahtarın dün öğleden önce Maria'ya gerçekten teslim edilip edilmediği."""
{f:5:Beatrice},""".........Hmph, bu işi uzatıyorsun. Sadede gel."""
Ushiromiya Battler,"""Şöyle bir şey. ...Dün öğle saatlerinden bu yana anahtarın kullanılamaz durumda olduğu izlenimine kapıldık. Dolayısıyla, dün öğle saatlerinden bu sabaha kadar buranın kilitli bir oda olduğunu düşündük!"""
Ushiromiya Battler,"""Bunun sadece bir izlenim değil, bir gerçek olduğunu açıkça belirtmeni istiyorum."""
{f:5:Beatrice},"""İlginç. ......Yani kapıyı değil de, anahtarın kendisini düşünüyorsun."""
Ushiromiya Battler,"""Maria dün senden bir zarf aldı. Maria zarfı açmadı ama içindekini hissetmiş ve içinde bir anahtar olduğunu anlamış olabilir. ......Ama bunun kesinlikle kilisenin anahtarı olup olmadığını kontrol etmiş olamaz."""
Ushiromiya Battler,""".........Demek istediğim şu: ......Maria'ya verilen zarfın içindeki sahteydi."""
{f:5:Beatrice},"""...Bunca zaman bu saçmalık için mi bekledim? {p:1:Rosa bu sabah Maria'nın çantasından kesinlikle bir zarf aldı,} {p:1:ve içinden kilisenin orijinal anahtarını elde etti}. ...İddia ettiğin gibi sahte değildi."""
Ushiromiya Battler,"""Heheh... O kadarını biliyorum. Devam ediyorum."""
Ushiromiya Battler,"""......Peki, Maria zarfı aldığında, içinde gerçekten de kilisenin anahtarı mı vardı?"""
{f:5:Beatrice},"""................................. .........Hoh."""
Ushiromiya Battler,"""Demek istediğim bu. ......Dün öğlen Maria'ya içinde anahtar olan bir zarf verdin. Ve ona zarfı açmaması gerektiğini söyledin. .........Maria muhtemelen içinde bir anahtar olduğunu fark etti."""
Ushiromiya Battler,"""Ve daha sonra, Rosa Teyze zarfın içindekini kilisenin kapısını açmak için kullandığından, {i:onun kilisenin anahtarı olduğunu düşündük}. Şüpheli kısım burası!"""
{f:5:Beatrice},"""........................Yani söylemeye çalıştığın şey bu mu? Maria'ya bir anahtar emanet ettiğimde, o anahtarın sahte olduğu mu? Ve sonra, Rosa onu elde ettiğinde, gerçek olanla mı değiştirilmişti...?"""
Ushiromiya Battler,"""Evet, işte o. ......Neyiniz var, {f:5:Beatrice}-sama? Bir süredir kendinizi iyi hissetmiyor gibisiniz...?"""
{f:5:Beatrice},"""......Bana yakın olanlar bana Beato derler. Beato daha iyi."""
Ushiromiya Battler,"""Beato, senin sıran."""
Ushiromiya Battler,"""<{ruby:Altın Cadı'nın Hamlesi:Turn of the Golden Witch}!> ......Bunu nasıl yeneceğini göster."""
{f:5:Beatrice},"""............Pekâlâ. ...{p:1:Maria'ya verdiğim zarfın içindeki nesne gerçekten de kilisenin anahtarıydı}."""
Ushiromiya Battler,"""Devam ediyorum. ......Kırmızı ile tekrar edebilir misin? ......‘O zarf, Rosa Teyze onu açana kadar tamamen Maria'nın gözetimi altındaydı’."""
{f:5:Beatrice},""".........................................."""
Ushiromiya Battler,"""...Eğer imkansızsa, o zaman reddettiğini söyle. Şah."""
{f:5:Beatrice},"""............kh, ...............Reddediyorum."""
Ushiromiya Battler,"""Şimdi bir turluk avantajın tersine döndü. ...Şimdi senin kralının kaçma vakti, Beato."""
{f:5:Beatrice},"""......Ehh, reddetmemin bir sebebi var. Bu, ""onun gözetimi altında"" ifadesinin tanımıyla ilgili. ...En net anlamıyla, Maria'nın günün her saatinde gözünün üzerinde olması gerekirdi."""
{f:5:Beatrice},"""...Ama Maria o kadar ileri gitmedi. Çantasının dışında tuttuğu süre boyunca muhtemelen tamamen onun gözetimi altındaydı, ancak çantasına koyduktan sonra görüş alanından kayboldu. ......Yalnızca ""onun gözetimi altında"" ifadesi bu bakımdan uygunsuz, bu yüzden kırmızı kullanamadım. ...........................kh..."""
Ushiromiya Battler,"""......Bu muhtemelen acı verici bir hamleydi. Yüzün bana sıradaki hamleyi tahmin ettiğini söylüyor."""
Ushiromiya Battler,"""...............Üzgünüm. Kadınlara karşı naziğimdir. Kadınları incitmem. {i:Bir kadının beklentilerine ihanet etmem}!"""
Ushiromiya Battler,""".........Benim için kırmızıyla tekrarla—tabii eğer yapabiliyorsan. ""Maria'nın çantasına, Rosa Teyze zarfı alıncaya kadar kimse dokunmadı""."""
{f:5:Beatrice},"""........................Bunu da......reddediyorum. ...Nedenini açıklamayacağım."""
Ushiromiya Battler,"""Yanlış. ......Açıklamayacağından değil. Açıklayamazsın. .........Bu hamleyle şah mat oldu, değil mi...?"""
{f:5:Beatrice},""".................................kh..."""
Ushiromiya Battler,"""Eğer yapamıyorsan, senin yerine ben açıklayacağım. .........Senin Maria'ya verdiğin zarfın içinde gerçekten de kilisenin anahtarı vardı. ...Sonra Maria onu çantasına koydu ve ertesi sabah Rosa Teyze onu alıp kilidi açtı."""
Ushiromiya Battler,"""............Ancak! Maria çantayı tamamen gözetim altında tutmuyordu! Büyüye gerek yok. Bu bir insan için mümkün olan bir kilitli oda numarası!"""
Ushiromiya Battler,"""Suçlu {y:0:İnsan}{n:0:insan}, Maria'ya anahtarı verdi, ve ertesi sabah Rosa Teyze'nin anahtarı kullanmasını sağlayarak ortada kilitli bir oda olduğu illüzyonunu yarattı."""
Ushiromiya Battler,"""Bu süre zarfında Maria'nın çantasından anahtarı alan suçlunun anahtarı kullanmış, ve sabaha karşı çantaya geri koymuş olma ihtimalini inkâr edemezsin!!"""
Ushiromiya Battler,"""Kırmızıyla söyleyebilir misin?!"""
Ushiromiya Battler,"""Tekrarla—söyleyebilirsen söyle! Bir kez daha, şah!!!"""
{f:5:Beatrice},"""D-......Daha değil. Şahtan kurtulacağım... ...İçinde anahtar olan zarf balmumu ile mühürlenmiş olmalıydı...! Rosa onu açılmamış bir zarftan aldı—"""
Ushiromiya Battler,"""Öyle mi? Duyalım o zaman!!"""
Ushiromiya Battler,"""Tekrarla!! ""Dün öğle saatlerinde teslim edilen zarf ile Rosa Teyze'nin açtığı zarf aynı zarftı""."""
{f:5:Beatrice},"""B-Bunu tekrarlayabilirim. {p:1:Maria'ya verdiğim zarf ile Rosa'nın açtığı zarf aynı zarftı}!!"""
Ushiromiya Battler,"""......Haah...! ...Aaaaah, bu hiç iyi değil, hiç de iyi değil. Bu artık kimin umrunda?"""
Ushiromiya Battler,"""...Senden beklentilerim vardı. ......Eğer burada teslim olmuş olsaydın, senin satır aralarını okumakta oldukça iyi biri olduğunu düşünebilirdim. ......Bu yüzden hayal kırıklığına uğradım. ............{i:Beklentilerime ihanet ettin}."""
{f:5:Beatrice},"""N-............Ne......dedin.........!!"""
Ushiromiya Battler,"""Zarfların aynı olup olmaması önemli değil. ......Çünkü zarflar balmumu ile tekrar tekrar mühürlenebilir! Önemli olan içindeki anahtar."""
{f:5:Beatrice},"""...kh.....................kuuuuuuu........."""
Ushiromiya Battler,"""Bu sefer, her şey bitti, Altın Cadı. Bu gerçek bir şah mat. ......Bir kez daha soracağım, tekrarla!! Söyleyebilirsen söyle!"""
Ushiromiya Battler,"""‘Maria'nın aldığı zarfın içindeki kilisenin anahtarı, Rosa Teyze zarfı açana kadar bir kez bile kullanılmadı’!!"""
{f:5:Beatrice},"""..................h...............kh..................nasıl...............! Nasıl.........o-......olur da.........aşağılık bir insana.........!!"""
Ushiromiya Battler,"""Söylemeye devam edeceğim, {f:5:Beatrice}!!!"""
Ushiromiya Battler,"""Tekrarla!! ""Maria'nın aldığı zarfın içindeki kilisenin anahtarı, Rosa Teyze zarfı açana kadar bir kez bile kullanılmadı""!!"""
{f:5:Beatrice},"""......u...ku......ooooooooooooooooooooooooooohhh!!!"""
Ushiromiya Battler,"""Eğer bağıracaksan, o zaman kelimelerle yap—<Resign>, değil mi?! İşte bu!! Gerçek bu."""
Ushiromiya Battler,"""Maria'nın anahtarı bu sabah Rosa Teyze'nin eline geçmeden önce, bir noktada başka birinin eline geçti."""
Ushiromiya Battler,"""Sonra onu kullandılar, zarfı tekrar mühürlediler ve Maria'nın çantasına geri koyarak hiç kullanılmamış gibi gösterdiler!"""
Ushiromiya Battler,"""Bu, mühürlü balmumu bozulmadığı için anahtarın kullanılmadığı iddiasına dayanan ucuz bir hile!"""
Ushiromiya Battler,"""Şah mat!! Büyü falan yok, insanlar için mümkün olan bir numaradan başka bir şey değil!!"""
{f:5:Beatrice},"""O zaman... Anahtarı kim çaldı diyorsun?! Cevap vermeyi dene! Bu sefer, sen tekrar etmeyi dene...!!"""
Ushiromiya Battler,"""Evet, sana sürekli bir şeyleri tekrar ettiriyorum. Muhtemelen arada bir benim de cevap vermem gerekiyor......"""
Ushiromiya Battler,"""{i:Ama reddediyorum}!!! Benim zafer şartım cadıların varlığını inkâr etmek. Senin imkansız suçlarının insan eliyle işlenebileceğini kanıtladıktan sonra işim bitti!!"""
Ushiromiya Battler,"""Kilitli odanı insanlar için bile mümkün olan bir şeyle darmadağın ettim. Fakat, suçlunun kim olduğunu özellikle araştırmayacağım."""
Ushiromiya Battler,"""Çünkü ben insanlara inanıyorum!! Çünkü aramızda Maria'dan anahtarı çalacak, onu kullanacak ve bu kadar korkunç bir şey yapacak bir insan olduğunu kesinlikle kabul etmeyeceğim!!"""
{f:5:Beatrice},"""Heh, hehehehehhahahahahahahaha!!! Pes ediyorum, <Resign>! Bu oyun tahtası için şimdilik pes ediyorum. ...Ama sen gerçekten safsın, Battler."""
Ushiromiya Battler,"""Veda sözleri kaybedenlerin ayrıcalığıdır. İstediğin kadar tadını çıkar."""
{f:5:Beatrice},"""......kh...! Varlığımı inkâr etmeye devam ettiğin sürece, eninde sonunda köşeye sıkışacaksın..."""
{f:5:Beatrice},"""Ne de olsa, beni inkâr ettiğin sürece, o sonsuz sevgi beslediğin akrabalarından şüphelenmek zorunda kalacaksın...! En sonunda, senin için değerli olan birinden şüphelenmek zorunda kaldığında, o zaman benim varlığımı kesinlikle kabul edeceksin...!!"""
{f:5:Beatrice},"""*cackle*cackle*, kesinlikle, bu tahtayı aldın. ......Ancak, bu saf mantık seni kesinlikle yok edecek... ......Sonuçta bana karşı kazanamazsın!! Ushiromiya Battleeeeeeeeeeeeeeeeeeeer!!"""
