Speaker,Vietnamese (VI)
,Con thuyền rung lên dữ dội.
,Có vẻ như chúng tôi đã cập bến rồi.{n}Người lái thuyền bước ra và nhảy lên bến với sợi dây buộc thuyền.
,Một người đàn ông to lớn mặc tuxedo đang đợi chúng tôi với một khuôn mặt ấm áp và nở nụ cười thân thiện.
,"......Tôi không quen ông ta, nhưng dựa vào quần áo, tôi đoán ông ấy là gia nhân của nhà chính Ushiromiya."
Gohda Toshiro,"""Chào mừng tiểu thư trở về nhà. Cô về trễ quá, làm tôi lo lắng rồi đó."""
Ushiromiya Jessica,"""Ưm, cảm ơn vì đã lo cho tôi nhé! Chiếc thuyền làm Battler sợ vãi cả linh hồn ra. Cho nên tụi tôi phải đi chậm lại vì em ấy đó. Thật là phiền phức chết đi được!"""
Ushiromiya Battler,"""I‐im đi... Em sẽ nhớ chuyện này nếu lần sau chị gặp chuyện gì đó tương tự đấy... ugghh."""
,"Với cái đà này, cả gia đình sẽ đồn ầm lên mất. Tôi sẽ trở thành chủ đề nóng hổi để mọi người bàn khi ăn tối cho mà xem."
,"Chỉ riêng việc vắng mặt sáu năm đã đủ khiến họ xì xào rồi... mà nay tôi còn tự vẽ ra thêm cái chuyện ""hấp dẫn"" như vậy nữa...!"
,"Chết tiệt, tại sao nhánh chính của gia tộc Ushiromiya lại phải sống trên cái hòn đảo hẻo lánh này chứ!"
,"Trong lúc đó, con thuyền đã được buộc dây xong.{n}Một tấm ván nhỏ được hạ xuống để chúng tôi bước xuống."
,"Cha mẹ chúng tôi bước ra khỏi thuyền, từng người một."
Gohda Toshiro,"""Các vị hẳn đã rất mệt sau chuyến đi dài. Thưa phu nhân, xin hãy để tôi giúp bà."""
Ushiromiya Eva,"""Cảm ơn nhé. Lâu rồi không gặp, anh Gohda. Dạo này anh thế nào rồi?"""
Gohda Toshiro,"""Cảm ơn vì đã hỏi thăm. Tôi luôn rất vinh hạnh được phục vụ các vị."""
Ushiromiya Kyrie,"""Battler à, đây là lần đầu cháu gặp chú Gohda có phải không? Nếu cô nhớ không nhầm thì sáu năm trước chú ấy chưa làm ở đây, đúng chứ?"""
Gohda Toshiro,"""Quả thật vậy. Vậy nên, xin phép cho tôi được giới thiệu với cậu. Rất hân hạnh được gặp cậu, thưa cậu Battler."""
Ushiromiya Battler,"""......Tôi khá tự tin về chiều cao của mình, nhưng anh thật sự to lớn đấy. ...Chắc chắn đây là lần đầu ta gặp mặt. Nếu từng gặp người cao lớn thế này, thì tôi chắc chắn không thể quên được đâu...!"""
Ushiromiya Battler,"""Rất hân hạnh. Tôi là Battler."""
Gohda Toshiro,"""Mọi người đã rất mong ngài trở về, thưa ngài. Tôi đã phục vụ cho nhà chính của gia tộc Ushiromiya từ năm kia. Tôi tên là Gohda ({p:0:郷田}), gia nhân của cậu."""
Gohda Toshiro,"""Rất hân hạnh được làm quen. Nếu có bất kỳ điều gì cậu cần, xin hãy cứ nhờ tôi nhé."""
Ushiromiya George,"""Chú Gohda à, lâu rồi không gặp."""
Gohda Toshiro,"""Quả thật đã quá lâu, thưa cậu George. Xin để tôi được giúp cậu."""
Ushiromiya Hideyoshi,"""Anh đúng là chuyên gia đón tiếp như mọi khi... Nếu anh cần công việc gì thì cứ gọi cho tôi nhé? Tôi sẽ thuê anh ngay lập tức!"""
Gohda Toshiro,"""Ngài khen quá lời rồi ạ. Xin để tôi được giúp đỡ, thưa ngài Hideyoshi."""
,"Chú Gohda sau đó giúp từng người xuống thuyền, chào hỏi họ khi họ đi qua."
,Cách nói năng và thái độ của chú ấy có sự trau chuốt và tinh tế theo một cách rất chuyên nghiệp.
,"Chú Gohda rất thanh lịch, trái ngược hoàn toàn với vẻ ngoài có phần thô kệch ban đầu."
,"Vóc dáng to lớn khiến chú có vẻ hơi đáng sợ lúc đầu, nhưng chú ấy lại lịch sự hơn nhiều so với ấn tượng đầu tiên của tôi."
,"Chú Gohda nói đã phục vụ trên đảo được hai năm, nhưng chắc chắn đã từng làm công việc tương tự ở đâu đó trước đó."
,"Sau khi mọi người đã lên bờ, dây neo được tháo ra, và con thuyền bắt đầu rời khỏi bến."
,Có lẽ nó đang trở về cảng chính ở Niijima.
,Thuyền trưởng vẫy tay chào tạm biệt.{n}Maria nhiệt tình vẫy tay đáp lại.
Ushiromiya Battler,"""............Hmm, em vừa nhận ra vì sao em thấy có gì đó lạ lạ. Em không nghe thấy tiếng hải âu."""
Ushiromiya Jessica,"""Hải âu á? Mấy con chim ấy à?"""
,"Tôi nhớ rằng mỗi khi đến hòn đảo này, bầy hải âu luôn chào đón chúng tôi bằng những tiếng kêu ""nyaa nyaa"" rộn ràng."
,"Vì vậy, mỗi khi nghe tiếng hải âu ở nơi khác, tôi lại có cảm giác như mình đang ở buổi họp mặt gia đình mình."
,"Ngoại trừ phần nhỏ của đảo nơi nhà chính của gia tộc Ushiromiya sinh sống, Rokkenjima gần như bị bỏ hoang, trở thành thiên đường cho những loài chim hoang dã."
,"Hình như có vách đá nào đó đã trở thành nhà của cả một đại gia đình hải âu, vì vậy hòn đảo này lúc nào cũng đầy ắp tiếng chim."
,"Vì lũ hải âu không ra chào đón, nên tôi cảm thấy có đôi chút cô đơn."
Ushiromiya Rosa,"""Có chuyện gì vậy, Battler?"""
Ushiromiya Battler,"""Ồ, cô Rosa à. ...Không có gì đâu ạ, chỉ là cháu đang bảo là vì không nghe thấy tiếng hải âu nên cháu cảm thấy hơi trống vắng một chút."""
Ushiromiya Rosa,"""Ồ, cháu nói đúng. Bình thường chúng ồn ào lắm, mà hôm nay chẳng thấy bóng dáng con nào cả."""
Ushiromiya Maria,"""......Uu? Sao không có hải âu?"""
Ushiromiya Rosa,"""Hmm, có lẽ là lũ hải âu cũng đang họp mặt đâu đó? Maria, con có muốn thấy hải âu không?"""
Ushiromiya Maria,"""Uu, muốn thấy."""
Ushiromiya Battler,"""Có chuyện gì mà tụi nó biến mất hết vậy? Chắc chị Jessica đã đem hếtttt tụi nó để làm thịt xiên nướng rồi ăn sạch rồi!"""
Ushiromiya Maria,"""......Uu?!"""
Ushiromiya Jessica,"""Cái quái gì thế hả, đừng nói mấy chuyện ghê rợn như vậy chứ! Em làm Maria rối tung lên rồi kìa!!"""
Ushiromiya Maria,"""Uu‐uu‐uu! Chị Jessica xiên tụi nó, xiên tụi nó làm thịt xiên! Uu!!"""
Ushiromiya Jessica,"""Không có nha, chị không có làm vậy! Tại sao chị lại làm chuyện đó chứ?!"""
Ushiromiya Battler,"""Đúng rồi, đúng roài~, chị Jessica xiên tụi nó hết rồi! Xiên da, xiên thịt, xiên gan với hành tây~!"""
Ushiromiya Maria,"""Xiên dan viên thịt! Gan với hành tây!! Uu‐uu‐uu! Ahaha, ahaha! *cười khúc khích*!"""
,"Khi tôi trêu Jessica, Maria cũng nhập cuộc với vẻ mặt thích thú như thể đang rất vui."
,"Ồ, con bé đúng là biết cách hòa chung không khí đấy!{n}Được rồi, từ hôm nay anh sẽ coi em là fan số một của anh nhé!"
,"Khi tôi mỉm cười với Maria, em ấy cũng đáp lại bằng một nụ cười rạng rỡ, có lẽ cũng rất vui vì cảm giác thân thiết nhỏ bé này."
Ushiromiya George,"""Không phải vậy đâu, Maria à. Anh nghe nói rằng những loài chim hoang dã rất nhạy cảm với những thay đổi của thời tiết và áp suất không khí. Và có vẻ như thời tiết sẽ xấu đi vào tối nay. Có thể chúng đã vội vàng trở về tổ rồi."""
Ushiromiya Maria,"""............Uu. Không phải thịt xiên? Chị Jessica không làm thịt xiên chim?"""
Ushiromiya Jessica,"""Không có, không có!! Chị đã nói rồi, chị không làm mấy chuyện đó mà! Này, Battler, em mau nhận ngay rằng em đã nói dối đi!"""
Ushiromiya George,"""Battler à. bé Maria còn ngây thơ lắm, nên là em ấy tin tưởng vào cả mấy câu đùa đấy. Em nên lựa chọn những câu đùa cẩn thận hơn."""
,...Anh George nhẹ nhàng trách tôi.
,"...Dù tôi có cao hơn anh ấy đi chăng nữa, thì anh ấy vẫn khiến tôi phải tôn trọng như một người anh của mình. Không còn lựa chọn nào khác ngoài ngoan ngoãn xin lỗi vậy."
Ushiromiya Battler,"""N-này, anh xin nhận lỗi nhé... Maria à, ban nãy anh chỉ đùa thôi. Hôm nay bầy hải âu chỉ đang yên lặng bên trong tổ của chúng thôi."""
Ushiromiya Maria,"""......Battler nói dối? Anh George nói thật?"""
,"{i:""Em đã rất vui mà, hóa ra anh đã lừa em sao...""?}{n}Đôi mắt ngây thơ của em ấy như thể đang chất vấn tôi.{n}......Có lẽ tôi đã hơi quá đà khi đùa giỡn với em ấy rồi."
Ushiromiya Battler,"""Ừ ừ, đúng đó, đúng đó. Những gì anh George nói đều là sự thật. Thời tiết xấu nên có thể chúng đã về nhà rồi. Điều đó không có nghĩa là chúng đã biến mất, phải không nè? Đúng không, cô nhỉ?!"""
Ushiromiya Rosa,"""Đúng vậy. Ngày mai, khi thời tiết tốt hơn, mẹ chắc chắn bầy chim sẽ quay lại và cho con nghe tiếng kêu ""myaa myaa"" thôi."""
Ushiromiya Maria,"""Uu. Con sẽ đợi thời tiết tốt hơn để bầy chim quay lại. Chờ đến ngày mai. Chờ thời tiết tốt hơn. Uu‐uu!"""
,"Tâm trạng của Maria đã phấn chấn trở lại, và con bé bắt đầu háo hức chờ đến ngày mai, khi mà bầy hải âu quay lại và dang rộng đôi cánh, lấp đầy bầu trời."
,"Dù vậy, anh George đúng là giỏi chăm sóc trẻ con thật."
,"...Tôi nhớ là anh cũng từng chăm sóc tôi rất tốt, khi tôi còn là một thằng nhóc hồi sáu năm trước."
,......Anh ấy chắc hẳn có năng khiếu với mấy chuyện thế này.
Ushiromiya Rosa,"""George à, cháu thật sự rất giỏi trong việc chăm sóc trẻ con đấy. Cô nghĩ cháu có thể làm trong ngành giáo dục mầm non luôn cơ!"""
Ushiromiya Jessica,"""Đúng đó, cứ như là anh sinh ra để làm việc đó vậy. Với em thì công việc đó hợp với anh hơn là làm giám đốc ở công ty nào đó đấy."""
Ushiromiya George,"""Ồ không. Chăm trẻ con là một {i:công việc} rất đáng kính trọng. Không thể chỉ cần mình thích trẻ con là có thể làm được đâu."""
Ushiromiya Rosa,"""Cháu thật sự khiêm tốn quá, George ạ. Nhưng mà Battler này, cháu cũng giỏi chơi với trẻ con phết nhé! Khi nãy thôi, dù chỉ được một lúc, nhưng mà Maria trông rất vui đó. Hãy tiếp tục chơi với con bé như lúc nãy nhé. Chỉ là, hãy đùa sao cho phù hợp hơn, được chứ? *cười khúc khích*."""
,"Cô Rosa nháy mắt với tôi, khúc khích cười."
,"Tôi thầm nghĩ, cô đúng là một người mẹ thật sự, chỉ cần thấy con mình vui là đã thấy hạnh phúc rồi."
Ushiromiya Rudolf,"""{i:Thôi đi}, Rosa. Còn mấy đứa này nữa, tụi bây còn đứng đó làm gì, nhanh cái chân lên nào!"""
Ushiromiya Rosa,"""Rồi rồi, tụi em tới liền."""
,Lão già nhà tôi đang ra hiệu bảo chúng tôi nhanh lên.{n}Tốt hơn là nên đi tiếp thôi.
,Mang hết hành lý về phòng rồi nói những chuyện như vừa rồi thì vẫn chưa muộn mà.
Gohda Toshiro,"""Vậy thì, xin mời các vị. Tôi sẽ dẫn các vị đến nhà khách, nơi các vị sẽ lưu trú. Xin mời đi lối này."""
,Chú Gohda gọi mọi người và bắt đầu dẫn đường.{n}Bà Kumasawa thì đi ở phía sau cùng.
,"Một con đường quanh co, uốn lượn dẫn xuyên qua khu rừng mờ tối.{n}Nó hơi dốc lên một chút."
,"Tôi đoán họ làm đường vòng để người đi không cảm thấy dốc quá, nhưng cá nhân tôi thì thích kiểu đường thẳng tắp và có bậc cầu thang hơn."
,"......Chắc chắn họ cố tình làm cho đường đi quanh co, để cho có vẻ xa xôi và trang trọng..."
,"Chẳng mấy chốc, chúng tôi thấy những bậc thang đá mang phong cách của một khu vườn."
,"...Ahhh, đúng rồi, tôi nhớ đoạn này rồi.{n}Đi lên mấy bậc này, và..."
,"Trên đỉnh bậc thang đá, một nhà khách tuyệt đẹp hiện ra."
,"Mặt tiền thì dĩ nhiên là rất trang nhã, nhưng hơn cả điều đó thì ......chúng tôi không thể không bị mê hoặc bởi vẻ tráng lệ của vườn hồng trải rộng phía trước."
Ushiromiya Hideyoshi,"""Haah~! Năm nay vẫn đẹp như mọi khi nhỉ... Nhìn đã mắt thật đó..."""
,"Khi đã bước lên đoạn trên cùng của bậc thang đá, những người được chào đón bởi vườn hồng đều hết lòng khen ngợi vẻ đẹp diệu kỳ của khung cảnh này."
Ushiromiya Eva,"""Không phải hoa năm nay kém rực rỡ hơn sao? Có khi do mùa hè vừa rồi không đủ nóng nhỉ."""
Gohda Toshiro,"""Tôi cũng tin là vậy ạ. So với hoa nở năm ngoái, thì hoa năm nay lại có phần kém hơn. Thật đáng tiếc."""
,"Dù vậy thì, đây vẫn là một vườn hồng tuyệt đẹp.{n}Tôi nhớ, đã từ rất lâu rồi, lúc nào tôi cũng được chào đón bởi một rừng hoa hồng như thế này; hơn cả sáu năm về trước luôn."
,"...Khu vườn này luôn là thứ đầu tiên chào đón những người đến Rokkenjima. Ngay cả cha mẹ chúng tôi, những người đến đây hằng năm, cũng không thể kìm được mà buông lời thán phục."
,"Và hơn nữa, lần này nó trông như một phiên bản ""nâng cấp"" của khu vườn trong ký ức tôi từ sáu năm trước."
Ushiromiya Kyrie,"""Chỗ này lúc nào cũng tuyệt vời nhỉ. Nếu có một vườn hoa hồng như này ở nhà thì hay biết mấy."""
Ushiromiya Rudolf,"""Thôi đi, em nghĩ ai sẽ chăm sóc nó chứ? Hoa hồng rắc rối lắm đấy, nào là sâu bệnh đủ thứ."""
Ushiromiya Rosa,"""Đúng vậy nhỉ. Em còn nghe nói là chị Kyrie ngày nào cũng chăm sóc ""bông hồng"" của mình đấy, để đảm bảo rằng không có con côn trùng nào cắn trộm mà chị lại không biết cả."""
Ushiromiya Rudolf,"""Hả? Anh chưa từng nghe chuyện đó luôn, em đang nói gì thế?"""
Ushiromiya Kyrie,"""Vâng, đúng là như vậy. Tuy nhiên, bông hồng nhà chị lại là kiểu thích ve vãn bọn côn trùng cơ, như thể nó là một thứ cây ăn thịt gớm ghiếc ấy."""
Ushiromiya Rudolf,"""...Ồ, hóa ra ý em là vậy sao. Thôi mà Rosa, hôm nay em không tha cho anh được hử? Bây giờ anh đã khác xưa rồi mà."""
Ushiromiya Rosa,"""Em chẳng biết đâu á. Sau cùng thì anh vẫn là cái loại trăng hoa từ trong máu rồi mà...!"""
Ushiromiya Kyrie,"""Không phải lo nhé cô Rosa. Nếu có bông hồng nào làm phiền chị quá, thì chị chỉ cần chặt nó đi ngay phần gốc là được."""
Kumasawa Chiyo,"""Hoh‐hoh‐hoh‐ho... cuộc trò chuyện này đáng sợ ghê."""
Ushiromiya Hideyoshi,"""Đàn ông được phụ nữ mê, sinh thời sẽ gặp trăm bề nguy nan."" Anh chỉ mong kiếp sau mình đẹp trai hơn thôi!"""
Ushiromiya Rudolf,"""Anh Hideyoshi à, em đã nói không biết bao nhiêu lần rồi, mọi chuyện không như anh nghĩ đâu. ...Còn em nữa, Kyrie... đủ rồi đấy, em làm anh nổi da gà luôn đó. Em làm cho bông hồng của anh héo queo luôn rồi."""
Ushiromiya George,"""Này, Maria ơi, em nhìn chỗ này đi. Mấy bông hoa hồng này đẹp lắm nè."""
Ushiromiya Maria,"""...Hoa hồng đẹp. ...Uu!"""
Ushiromiya Battler,"""Hmmm~~, hương hoa thơm ngát luôn á. Nhìn nè, đúng là hợp với vẻ thanh tao của anh lắm đó~."""
Ushiromiya Jessica,"""Này, đừng làm vậy! Maria mà bắt chước em thì sẽ bị gai đâm đó!"""
,"Chị ấy quát khi thấy tôi cúi xuống, làm bộ ngửi hoa một cách quá lố."
,"...Tôi tưởng chị ấy phản ứng thái quá cơ, nhưng khi quay lại, tôi thấy Maria đang bắt chước từng cử chỉ của mình, làm anh George nở một nụ cười thật tươi."
Ushiromiya George,"""Này này, Maria ơi, cẩn thận nhé. Gai hoa hồng nhọn lắm đấy."""
Ushiromiya Maria,"""......Uu? ............anh George ơi. Bông hồng này lạ quá. Uu."""
Ushiromiya Jessica,"""Lạ à? Có chuyện gì thế?"""
,Maria chỉ vào một bông hồng duy nhất.{n}Tôi lập tức hiểu ngay vì sao con bé thấy nó lạ.
,"Giữa một rừng hoa hồng rực rỡ, chỉ có duy nhất một bông đang héo tàn."
,"Cũng không có lý do đặc biệt gì cả.{n}Có hoa nở, thì cũng có hoa tàn."
,"Chỉ đơn giản là vậy thôi, nhưng Maria có vẻ rất bận tâm vì có duy nhất một bông hồng ""ốm yếu"" giữa muôn vàn bông đang khoe sắc đua hương."
,...Có lẽ con bé cảm thấy như bông hoa ấy đang bị bỏ rơi.
Ushiromiya George,"""Vậy là em buồn vì bông hoa này là bông duy nhất không khỏe...?"""
Ushiromiya Maria,"""......Uu. Mấy bông khác đều khỏe mạnh, nhưng bông này thì buồn thiu."""
Ushiromiya Jessica,"""Thật ra thì mỗi bông có thời điểm nở và tàn khác nhau. Chị đoán bông này chỉ là đã nở sớm hơn các bông khác thôi, cho nên nó mới tàn trước."""
Ushiromiya Battler,"""Ừ, đúng đó. Có lẽ nó đã từng nở rộ rực rỡ, rồi hoàn thành vai trò của mình, và giờ thì đến lúc nó nghỉ ngơi rồi. Em không cần buồn vì điều đó đâu nhé."""
Ushiromiya Maria,""".........Uu."""
,Có vẻ như bản tính trong sáng và nhạy cảm của Maria khiến con bé cảm thấy buồn bã vì bông hồng đơn độc đang tàn úa kia.
,"Dù lý trí có hiểu, nhưng em ấy vẫn cảm thấy cô đơn thay cho nó."
Ushiromiya George,"""Vậy thì, bé Maria này, sao em không chăm sóc cho bông hồng này đến lúc chúng ta rời đi nhỉ?"""
Ushiromiya Maria,"""Uu?"""
,Anh George đứng thẳng lên và lục lọi trong túi áo.{n}Anh lấy ra vỏ kẹo mà anh đã ăn trên máy bay.
,"Sau đó, anh xoắn nó thành một sợi dây nhỏ, rồi nhẹ nhàng buộc vào bông hồng như để ghi dấu."
Ushiromiya Jessica,"""Oaaa, đáng yêu quá!"""
Ushiromiya George,"""Chúng ta đánh dấu nó bằng cái này nhé. Lát nữa em có thể quay lại tưới nước cho nó đấy. Chắc chắn ""anh Hồng"" sẽ vui lắm đấy."""
Ushiromiya Maria,"""......Uu! Quay lại tưới nước cho nó!"""
Ushiromiya George,"""Anh nghĩ em nên đặt tên cho ""anh Hồng"" này nữa. Như vậy chắc nó sẽ vui hơn, và em cũng sẽ thân thiết hơn với nó đấy."""
Ushiromiya Maria,"""Tên...? Tên... ......Uu...uu..."""
,"Dù vẫn giữ vẻ mặt buồn rầu quen thuộc, Maria khoanh tay lại và bắt đầu suy nghĩ một cách nghiêm túc."
,"Ít nhất thì con bé đã hoàn toàn thoát khỏi tâm trạng ủ dột ban nãy. Tốt lắm, anh George ạ."
Ushiromiya Jessica,"""Anh George quả thật là lúc nào cũng rất tinh tế nha. Không thể không nể phục anh ấy được."""
Ushiromiya Battler,"""Ừ. Chắc đó là tài năng thiên phú của anh ấy rồi. Chị em mình còn phải học hỏi thêm nhiều!"""
Ushiromiya Hideyoshi,"""Lúc em còn nhỏ, khu vườn này đã đẹp như vậy chưa?"""
Ushiromiya Eva,"""Có mà đến khi em rời khỏi nhà thì nó mới thành ra lộng lẫy thế này ấy. Em lại thích cái vườn cũ đơn sơ ngày xưa hơn. Anh cả cứ thích vọc vạch sửa sang hơi quá đà với cái gu thẩm mỹ đáng ngờ của mình rồi. Hồi trước nó đẹp hơn nhiều."""
Ushiromiya Hideyoshi,"""Eva, em phải suy nghĩ tích cực lên chứ! Dù trông như thế nào, thì vẻ đẹp hiện tại vẫn rất đáng để ngắm nhìn mà. Nghĩ như vậy sẽ giúp em thư thái hơn nhiều đó."""
Ushiromiya Eva,"""Em không có ý đó... Em chỉ muốn nói là, em cũng muốn mọi người được thấy cái khu vườn cổ kính, tuyệt vời ngày xưa thôi."""
Gohda Toshiro,"""Vậy thì, xin mời mọi người. Tôi sẽ hướng dẫn các vị đến phòng nghỉ ngay bây giờ."""
,"Chú Gohda gọi mọi người để hỏi xem chúng tôi đã sẵn sàng chưa, nhưng trái tim chúng tôi đã hoàn toàn bị mê hoặc bởi khu vườn hồng sau một năm xa cách, và chẳng ai để ý đến lời gọi ấy."
,"Vì đây không phải là một tour du lịch, nên chúng tôi đâu cần tuân theo lịch trình nghiêm ngặt nào."
,"Vả lại, với cha mẹ chúng tôi, đây chính là ngôi nhà trong ký ức tuổi thơ mà họ được trở về, cho nên không một ai thấy cần phải vội vã theo lời ai cả."
,"Hiểu được điều đó, chú Gohda tiếp tục đứng chờ với một nụ cười rộng mở, cho đến khi cha mẹ chúng tôi chán ngắm hoa và bảo chú dẫn về phòng nghỉ..."
Ushiromiya Hideyoshi,"""Ôi chà...! Ô kìaaaaa! Có phải là Kanon đó không?! Lâu quá rồi, cháu khỏe không?!"""
,Chú Hideyoshi đột nhiên hét lên.
,"Hướng mà chú đang vẫy tay về, .........là một cậu bé gầy gò."
,Gặp ngay sau một người khổng lồ như Gohda có lẽ càng làm dáng người nhỏ nhắn của cậu ta nổi bật hơn.
